Unnamed: 0,NOS Title
semme3005.pdf,installing marine power generation and distribution equipment and systems
semme3008.pdf,installing marine sensor equipment and systems
semme3009.pdf,installing marine computer equipment and systems
semme3010.pdf,installing marine weapons equipment and systems
semme3012.pdf,"installing marine lighting, alarm, detection and monitoring equipment and systems"
semme3014.pdf,"setting to work, testing and trialling marine communication equipment and systems"
semme3053.pdf,lining off for assembly and erection of marine steelwork and components
semme3054.pdf,cutting materials using hand and machine tools
semme3062.pdf,outfitting marine steelwork
semme3065.pdf,checking marine fabrications for quality and dimensional accuracy
semme3067.pdf,installing marine propulsion systems and equipment
semme3068.pdf,installing marine power transmission systems and equipment
semme3070.pdf,installing marine hydraulic systems and equipment
semme3073.pdf,installing marine mechanical control systems and equipment
semme3076.pdf,installing marine ancillary plant and equipment
semme3079.pdf,installing marine fire main systems and equipment
semme3105.pdf,maintaining marine fuel systems and equipment
semme3106.pdf,maintaining marine hydraulic systems and equipment
semme3108.pdf,maintaining marine auxiliary power units
semme3109.pdf,maintaining marine mechanical control equipment and systems
semme3110.pdf,"maintaining marine steering gear, control systems and equipment"
semme3118.pdf,overhauling marine propulsion systems
semme3120.pdf,overhauling marine fuel systems and equipment
semme3134.pdf,marking out for the installation of marine wooden assemblies
semme3150.pdf,repairing marine composite components and assemblies
semme3156.pdf,installing marine sheet metal components and assemblies
group 1263,testing marine electrical equipment and circuits;testing marine electrical and electronic equipment and circuits;carrying out tests on marine electrical and electronic equipment and circuits;carrying out tests on marine electrical equipment and circuits
group 1395,preparing marine coatings for application;preparing marine coating materials for application;preparing coating materials for application on yachts and boats;preparing holding primer for application
group 1440,producing/finishing wooden structural components for yachts and boats;shaping marine wooden components using hand tools;producing marine wooden components using hand tools;shaping marine wooden components using machines;producing marine outfitting components in wood based materials;producing wooden structural components for yachts and boats using machines;producing furniture and structural components for leisure vehicles;producing marine wooden components using machines;producing wooden furniture/outfitting components for yachts and boats using;producing/finishing wooden furniture/outfitting components for yachts and
group 1441,producing assemblies of marine wooden components;producing marine wooden outfitting assemblies;assembling furniture and structural units for leisure vehicles;assembling wooden furniture/outfitting units for yachts and boats;assembling marine wooden components
group 1604,carrying out the installation of cable runs and circuits in marine structures;installing cable runs and circuits in marine structures
group 1607,modifying and rewiring marine electrical circuits;carrying out modifications and rewiring of marine electrical circuits;modifying and rewiring electrical circuits in yachts and boats
group 1609,using bending machines to form marine pipe;bending and forming marine pipe using bending machines;bending and forming marine pipe using hand methods;using hand methods to bend and form marine pipe
group 1610,joining non-ferrous marine pipework;assembling non-ferrous marine pipework;joining non-metallic marine pipework;assembling ferrous marine pipework by mechanical means;assembling non-metallic marine pipework;joining ferrous marine pipework by mechanical means
group 1611,assisting in the installation of marine pipework and components;installing marine pipework and components
group 1612,assisting in the testing of marine pipework systems;preparing and testing marine pipework systems
group 1613,joining marine pipework by manual torch brazing and soldering;joining materials using manual torch brazing and soldering;joining marine materials by manual torch brazing and soldering;carrying out manual torch brazing and soldering of marine pipework
group 1614,marking off marine structural steelwork components;marking off for the manufacture of marine steelwork components
group 1615,shaping marine steelwork using a power press;forming marine components using a power press
group 1616,marking out for manufacture and assembly of marine wooden components;marking out for the manufacture and assembly of marine wooden components;marking out for the manufacture of structural components for wooden yachts and boats;marking out for the manufacture of wooden furniture/outfitting components for yachts and boats
group 1621,marking out for fabrication and assembly of marine sheet metalwork;marking out marine sheet metalwork
group 1624,preparing loads for moving;setting up and preparing loads for moving
group 1625,preparing for rigging activities;carrying out preparations for rigging activities
group 1627,maintaining rigging and lifting equipment;carrying out maintenance on rigging and lifting equipment
group 1629,preparing docks and slips for vessel operations;assisting in the preparation of docks and slips for vessel operations;prepare docks and slips for the receiving of boats and yachts
group 1632,carrying out the installation of rigging and lifting equipment;installing rigging and lifting equipment
group 1633,preparing marine material surfaces using hand and mechanical tools;preparing yacht and boat surfaces for painting/finishing;carrying out patch preparation of material surfaces using hand and mechanical tools;preparing yacht and boat surfaces for coating/finishing using hand and
group 1635,applying surface coatings to yachts and boats using spray methods;applying marine coatings using spray methods;carrying out the application of marine coatings using spray methods;applying holding primer by spray methods
group 1637,carrying out the manual application of marine coatings;applying yacht and boat paints/coating materials manually;applying surface coatings manually to yachts and boats;applying yacht and boat paints/coatings manually;applying marine coatings manually
group 1646,installing marine communication equipment and systems;installing marine navigational equipment and systems
group 1647,"setting to work, testing and trialling marine electrical power generation and distribution equipment and systems;setting to work, testing and trialling marine electrical rotating machines and domestic equipment"
group 1648,"setting to work, testing and trialling marine navigational equipment and systems;setting to work, testing and trialling marine computer equipment and systems"
group 1650,"setting to work, testing and trialling marine lighting, alarm, detection and monitoring equipment and systems;setting to work, testing and trialling marine weapons equipment and systems"
group 1651,"maintaining marine lighting, alarm, detection and monitoring equipment and systems;maintaining marine electrical power generation and distribution equipment and systems;maintaining marine electrical rotating machines and domestic equipment;maintaining marine sensor equipment and systems;maintaining electronic equipment in yachts and boats;maintaining marine navigational equipment and systems;maintaining marine communication equipment and systems;maintaining marine computer equipment and systems"
group 1653,overhauling and repairing marine electrical rotating machines and domestic equipment;overhauling electrical marine rotating machines and domestic equipment
group 1654,assembling sub-assemblies and components to produce major marine structural assemblies;siting and levelling for the assembly of marine structures
group 1657,installing marine wooden components;installing wooden furniture/outfitting units in yachts and boats;installing marine outfitting components and assemblies;installing skirting assemblies onto the hovercraft;installing sponson assemblies onto the rigid inflatable boat (rib)
