,45,47,25,17,15,40,31,28,32,48,4,33,35,7,41,29,49,34,24,26,50,21,36,8,39
lenght,24,28,4,3,5,3,3,4,3,3,25,3,5,7,6,18,109,3,6,4,11,18,59,108,5
avg dist,0.088,0.186,0.221,0.234,0.255,0.266,0.428,0.457,0.516,0.568,0.568,0.586,0.595,0.602,0.604,0.614,0.625,0.629,0.632,0.636,0.639,0.64,0.656,0.663,0.668
0,"apply core land-based engineering principles: material preparation, shaping and assembling",assess body damage to buses/coaches,measuring engineering software quality,dismantling and removing aircraft access structures,blast to specification,carry out monitoring of traction and rolling stock equipment,de-commission assets on the electricity network;commission assets on the electricity network,excavate and maintain holes and trenches for utilities network construction,contribute to the handover of production activities,contribute to preparations for engineering surveying operations,assist in searching for specified targets,join materials by electrofusion processes for site operations in gas network construction,assess the configuration of metered areas,audit stock levels and stock inventories for explosive substances and/or articles,adjusting and sustaining electronic circuit manufacturing processes,applying coatings or coverings to finish surfaces,"accept, and return, responsibility for the control of traction and rolling stock assets",organise the working environment,elevate and track camera dollies,fix solar thermal/photovoltaic panels into a roof structure ,conduct and commission specified connections to gas network assets,"assess and prepare permanent way materials, components and equipment for moving","accept, verify and store materials required for process operations",adapt an existing disposal procedure for explosive substances and/or articles,bending and forming aircraft components
1,apply core land-based engineering principles: mechanical principles,carry out basic vehicle checks and servicing in bus/coach engineering and maintenance,performing engineering software analysis techniques;testing engineering software;determining engineering software requirements,positioning and securing aircraft access structures,charge blast holes to specification,"carrying out condition monitoring of mould, press tool or die equipment",manage commissioning and handover of plant and equipment in food manufacture,locate and avoid supply apparatus in non routine operations for gas network construction,"hand over and confirm completion of traction and rolling stock maintenance activities;handing over and confirming the completion of mould, press tool or die equipment maintenance activities",use hand tools and equipment in bus/coach engineering and maintenance,assist with the movement and transportation of munitions,joint materials by butt fusion  processes in non routine operations for gas network construction,contribute to health and safety in the blasting workplace,carry out stock checks of explosive substances and/or articles,assembling and checking printed and allied electronic circuits,"applying fairing, filling and specialist protective coatings to marine components;applying specialist finishes to marine components",adjust signalling components and equipment to meet operational requirements,oversee the work environment,rig camera dollies,prepare the structure for photovoltaic/solar thermal panel installation - existing structure,conduct specified testing of gas network engineering components and assets in gas network construction,complete pre-driving preparations ,carry out a hand-based processing operation,adapt an existing trial procedure for explosive substances and/or articles;design a new test procedure for explosive substances and/or articles;design a new trial procedure for explosive substances and/or articles;adapt an existing test procedure for explosive substances and/or articles,forming pipework for motorsport vehicles
2,apply core land-based engineering principles: servicing and maintenance,carry out basic vehicle repairs in bus/coach engineering and maintenance,performing engineering software safety assessments;performing computer system security assessments for engineering software,positioning and securing marine access structures;setting up and securing marine access structures;dismantling and removing access structures;removing marine access structures,design and arrange for the authorization of the blast specification,carrying out condition monitoring on marine mechanical equipment,"support commissioning of plant, equipment and process in food manufacture",reinstate excavation and pavement surfaces in site operations gas network construction,provide relevant people with technical and functional information,working in a rail engineering environment,"assist with the preparation, maintenance and use of search or munition clearance equipment",prepare resources for pipe jointing activities,"meet safety, health and environmental requirements in the workplace for the polymer industry",maintain stock control systems for explosive substances and/or articles,designing electronic circuit layouts using cad tools,applying protective metallic coatings by spraying,adjust telecoms components and equipment to meet operational requirements,work in an efficient and effective way in the utilities sector,rig car mounts in or on vehicles,produce specifications for solar thermal/photovoltaic installations,configure electricity networks to asset owner's requirements,couple and uncouple the vehicle,carry out complex manual operations,analyse and identify aggregated hazards and risks for explosives,producing pipe assemblies for motorsport vehicles
3,apply core land-based engineering principles: thermal joining processes,carry out bus/coach servicing,performing low level programming for engineering software,,determine the blast requirements,,,reinstate excavations and surfaces during utilities network construction operations,,,complete munitions or specified targets search reports,,organize own work and maintain standards,manage stock levels and stock inventories of explosive substances and/or articles,evaluating and recommending circuit design options,applying signature reduction coverings;carrying out the application of signature reduction coverings,allocate and monitor resources for electrification and plant engineering activities,,rig remote heads and systems,solar thermal/photovoltaic panels post installation activities ,determine the requirements for operations and maintenance of electricity network assets,drive the vehicle in restricted spaces,carry out complex sampling operations,analyse the acceptability of safety control measures for specific explosive substances and/or articles,"programme, deploy and collect data from data-logging equipment"
4,apply core land-based engineering principles: tools and equipment,carry out roadside recovery of buses/coaches,,,supervise the blasting operation,,,,,,confirm the presence of munition(s),,work safely,select and prepare explosive substances and/or articles for despatch,monitoring and analysing data from electronic circuit manufacturing processes,applying surface treatments,allocate and monitor resources for permanent way engineering activities,,rig static mounts for productions,,implement work on electricity network assets,"lift and move permanent way materials, components and equipment",carry out testing operations,assess an organization’s explosives safety management system,surveying marine pipework systems
5,carry out the handover and installation of land-based equipment,carry out scheduled electrical maintenance on buses/coaches;carry out scheduled body maintenance on buses / coaches;carry out scheduled mechanical maintenance on buses/coaches,,,,,,,,,contribute to identifying and describing the area to be searched,,,"supervise the selection, preparation and despatch of explosive substances and/or articles",providing technical guidance to others,applying surface treatments to marine wooden assemblies;finishing marine wooden assemblies by applying surface treatments,allocate and monitor resources for signal engineering activities;allocate and monitor resources for telecoms engineering activities,,rig tracking  cars and trailers,,install engineering components and assets in gas network construction,load the vehicle with explosive substances and articles,configure and set processing systems to meet production requirements,assess and document research and findings on explosive substances and/or articles,
6,deliver customer care in land-based engineering,complete routine assembly of bus/coach body components,,,,,,,,,contribute to locating and gaining access to specified targets,,,unit 28: pick polymer stock and make up orders within polymer processing and related operations,,applying yacht and boat paints/coating materials using spray methods,allocate and supervise traction and rolling stock resources,,,,maintain and develop own technical and operational engineering expertise related to electricity network assets,maintain awareness of driving conditions,contribute to a machine-based processing operation,assess explosives licence applications,
7,handle refrigerants,complete thermal joining of bus/coach components,,,,,,,,,contribute to locating the disposition of potential munitions,,,,,carrying out the application of deck screeds and other deck coverings;applying deck screeds and other deck coverings,assess the performance and condition of permanent way assets,,,,rectifying aeronautical engineering problems,"maintain the safety and the security of the load, self and property",contribute to the validation and optimization of new or modified explosives processes and equipment,assess the explosive substances and/or articles for disposal,
