,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
0,apply total productive maintenance (tpm) in food and drink operations,"apply core land-based engineering principles: material preparation, shaping and assembling",assess body damage to buses/coaches,allocate and monitor resources for electrification and plant engineering activities,assist in planned maintenance of signalling equipment,adjust signalling components and equipment to meet operational requirements,applying finishes to aircraft composite mouldings,carrying out tests on aircraft control systems,assembling and fitting wiring looms to vehicles;assembling electrical and electronic equipment to vehicles,machining components for commercial and passenger carrying vehicle applications,carrying out maintenance activities on electrical equipment within an engineered system,applying surface finishes to yacht and boat wooden assemblies,cutting and shaping marine steelwork using gas cutting machines;cutting and shaping materials using gas cutting machines;cutting marine steelwork using handheld thermal cutting equipment;cutting and shaping materials using portable thermal cutting equipment;cutting materials using hand operated thermal cutting equipment,bending and forming plate using press brakes or bending machines,cutting and shaping marine sheet metal using hand and machine tools;cutting sheet metal to shape using hand and machine tools,applying surface finishes to yacht and boat wooden assemblies,cutting and shaping marine sheet metal using hand and machine tools;cutting sheet metal to shape using hand and machine tools,assembling sub-assemblies and components to produce major marine structural assemblies;siting and levelling for the assembly of marine structures,assembling sub-assemblies and components to produce major marine structural assemblies;siting and levelling for the assembly of marine structures,bending and forming marine sheet metal using hand and machine tools;forming sheetmetal using hand and machine tools;forming marine sheet metal components using hand and machine tools,bending and forming plate using press brakes or bending machines,cutting and shaping marine sheet metal using hand and machine tools;cutting sheet metal to shape using hand and machine tools,assembling electronic circuits,"carrying out fault diagnosis on mechanical equipment;carrying out fault diagnosis on mould, press tool or die equipment;carry out fault diagnosis on traction and rolling stock systems;carrying out fault diagnosis on aircraft avionics components or systems;carrying out fault diagnosis on engineered systems",cutting and shaping marine sheet metal using hand and machine tools;cutting sheet metal to shape using hand and machine tools
1,assist in the installation of equipment to produce an engineered system in food and drink operations,apply core land-based engineering principles: mechanical principles,carry out bus/coach servicing,carry out preventative and corrective maintenance of traction cabling systems ;assist in preventative and corrective maintenance of traction cabling systems;carry out installation of electrification and plant equipment and components;carry out maintenance on electrification and plant equipment and components;carry out maintenance on electrification and plant assets,assist in planned maintenance of telecoms equipment,adjust telecoms components and equipment to meet operational requirements,"carrying out fault diagnosis on aircraft airframe, mechanical components and systems","carrying out tests on aircraft pneumatic and vacuum systems;carrying out tests on aircraft communication systems;carrying out tests on aircraft pitot static systems;carrying out tests on aircraft passive warning and optical/surveillance systems;carrying out tests on aircraft navigational and computing systems;carrying out tests on aircraft hydraulic systems;carrying out tests on aircraft electrical power control, distribution and protection systems;carrying out tests on aircraft flight guidance and control systems;carrying out tests on aircraft radar systems;carrying out tests on aircraft fuel and storage systems;carrying out tests on aircraft environmental systems",assembling commercial and passenger carrying vehicle body sub-assemblies to produce a vehicle;producing commercial and passenger carrying vehicle body sub-assemblies,machining components for experimental vehicle engineering,carrying out maintenance activities on fluid power equipment within an engineered system,assembling and testing electronic circuits,cutting and shaping materials using nc/cnc laser profiling machines;cutting and shaping materials using cnc laser profiling machines;cutting and shaping materials using cnc water jet cutting machines;cutting and shaping using cnc plasma or gas cutting machines,cutting and shaping marine steelwork using gas cutting machines;cutting and shaping materials using gas cutting machines;cutting marine steelwork using handheld thermal cutting equipment;cutting and shaping materials using portable thermal cutting equipment;cutting materials using hand operated thermal cutting equipment,cutting and shaping marine steelwork using gas cutting machines;cutting and shaping materials using gas cutting machines;cutting marine steelwork using handheld thermal cutting equipment;cutting and shaping materials using portable thermal cutting equipment;cutting materials using hand operated thermal cutting equipment,assembling and testing electronic circuits,cutting materials using saws and abrasive discs;cutting marine steelwork using saws and abrasive discs,assembling wooden furniture/outfitting units for yachts and boats;assembling marine wooden components;producing marine wooden outfitting assemblies;assembling furniture and structural units for leisure vehicles;producing assemblies of marine wooden components,assembling wooden furniture/outfitting units for yachts and boats;assembling marine wooden components;producing marine wooden outfitting assemblies;assembling furniture and structural units for leisure vehicles;producing assemblies of marine wooden components,cutting and shaping marine sheet metal using hand and machine tools;cutting sheet metal to shape using hand and machine tools,cutting and shaping marine steelwork using gas cutting machines;cutting and shaping materials using gas cutting machines;cutting marine steelwork using handheld thermal cutting equipment;cutting and shaping materials using portable thermal cutting equipment;cutting materials using hand operated thermal cutting equipment,cutting and shaping marine steelwork using gas cutting machines;cutting and shaping materials using gas cutting machines;cutting marine steelwork using handheld thermal cutting equipment;cutting and shaping materials using portable thermal cutting equipment;cutting materials using hand operated thermal cutting equipment,assembling engineering woodwork components,maintaining electrical equipment,joining marine sheet metal components using mechanical fasteners;using mechanical fasteners to join marine sheet metal components;assembling components using mechanical fasteners;joining fabricated components using mechanical fasteners
2,assist in the installation of instrumentation and control equipment used in food and drink operations,apply core land-based engineering principles: servicing and maintenance,carry out roadside recovery of buses/coaches,carry out technical assessment of electrification and plant,assist in the installation of signalling equipment,allocate and monitor resources for telecoms engineering activities;allocate and monitor resources for signal engineering activities,carrying out flight servicing and routine maintenance of aircraft,testing aircraft communication systems;testing aircraft countermeasure systems;testing aircraft cableforms/looms;testing aircraft radar systems;test aircraft electro-optical and infrared systems;testing aircraft engine control units;testing aircraft flight guidance and control systems;testing aircraft navigational systems;testing aircraft visual display units and computer systems,diagnosing and rectifying faults in vehicle electrical and electronic systems,machining components for jigs and fixtures,carrying out maintenance activities on instrumentation and control equipment,assembling and testing fluid power systems,forming pipework by machine bending,cutting materials using saws and abrasive discs;cutting marine steelwork using saws and abrasive discs,cutting materials using saws and abrasive discs;cutting marine steelwork using saws and abrasive discs,assembling and testing fluid power systems,cutting plate and sections using shearing machines;cutting marine steelwork using shearing machines,assisting in the installation of marine pipework and components;installing marine pipework and components,assisting in the installation of marine pipework and components;installing marine pipework and components,forming marine components using power rolling machines;shaping marine steelwork using power rolling machines;forming platework using power rolling machines,developing and marking out templates for metalwork,forming marine components using power rolling machines;shaping marine steelwork using power rolling machines;forming platework using power rolling machines,carrying out pipe fitting activities,maintaining mechanical equipment,producing pipe fabrications;assembling fabricated components to produce marine sub-assemblies;producing marine sheet metal assemblies;producing platework assemblies;producing marine sheet metal outfitting assemblies;assembling marine sheet metal components;producing sheetmetal assemblies;producing major structural components/sub-assemblies;producing sheet metal assemblies
3,carry out condition monitoring of plant and equipment used within food and drink operations,apply core land-based engineering principles: thermal joining processes,carry out scheduled mechanical maintenance on buses/coaches;carry out scheduled electrical maintenance on buses/coaches;carry out scheduled body maintenance on buses / coaches,contribute to safe working practices in the rail engineering industry,assist in the installation of telecoms equipment,assist with establishing compliance with specifications for signalling equipment,carrying out test bed runs on aircraft engines (uninstalled),testing aircraft de-icing systems;testing aircraft assisted escape systems;testing aircraft hydraulic systems;testing aircraft armament systems,fitting ancillary units to commercial and passenger carrying vehicles,producing components by manual machining;producing aircraft components by manual machining,carrying out maintenance activities on mechanical equipment within an engineered system ;carrying out maintenance activities on mechanical equipment,assembling mechanical components;producing mechanical assemblies,heat treating materials for fabrication activities,cutting plate and sections using shearing machines;cutting marine steelwork using shearing machines,cutting plate and sections using shearing machines;cutting marine steelwork using shearing machines,assembling mechanical components;producing mechanical assemblies,erecting structural steelwork;assembling structural steelwork,bending and forming marine pipe using bending machines;bending and forming marine pipe using hand methods;using hand methods to bend and form marine pipe;using bending machines to form marine pipe,bending and forming marine pipe using bending machines;bending and forming marine pipe using hand methods;using hand methods to bend and form marine pipe;using bending machines to form marine pipe,joining marine materials/structures using the manual metal arc (mma) welding process;welding plate using multiple manual arc welding processes;welding marine pipe/tube using multiple manual arc welding processes;producing fillet welded joints using a manual/semi-automatic welding process;welding pipe/tube using multiple manual arc welding processes;joining components for commercial and passenger carrying vehicles using a manual welding process;producing socket and flange fillet welded joints in low pressure marine pipework using a manual welding process;tack welding marine plate using a manual/semi-automatic welding process;welding marine materials and structures using manual tig and plasma arc welding processes;welding marine materials and structures using semi-automatic mig/mag and;assembling jig and fixture structures using a manual welding process;tack welding marine plate using a manual welding process;producing fillet welded joints using a manual welding process;joining materials by the manual mig/mag and other continuous wire processes;welding marine plate and structures using multiple manual arc welding processes;producing socket and flange fillet welded joints in pipe using a manual welding process;tack welding fillet joints in marine steelwork;joining marine materials/structures using manual tig and plasma-arc welding processes;joining marine materials/structures using semi-automatic mig/mag and flux cored arc processes;welding marine materials and structures using the manual metal arc process,forming pipework by machine bending,preparing mechanised arc welding equipment for production,carrying out routine servicing of mechanical equipment,producing replacement components for maintenance activities,welding materials using mechanised arc welding equipment;welding materials with mechanised arc welding equipment
4,carry out fault diagnosis on engineered systems within food and drink operations;carry out fault diagnosis on services and systems for food and drink operations,apply core land-based engineering principles: tools and equipment,complete routine assembly of bus/coach body components,establish the operational condition of electrification and plant assets;restore the contact systems to operational condition in the rail engineering industry ,assist with establishing compliance with specifications for signalling equipment,carry out installation of signalling assets,carrying out tests on aircraft control systems,testing aircraft environmental systems,fitting electrical and electronic components to commercial and passenger carrying vehicles,"producing mould, press tool or die components by manual machining",carrying out maintenance activities on process controller equipment within an engineered system,"assembling pattern, model and engineering woodwork components",heat treating materials for marine fabrication activities;heat treating materials for fabrication activities,developing and marking out templates for metalwork,erecting structural steelwork;assembling structural steelwork,"assembling pattern, model and engineering woodwork components",producing holes using drilling machines;producing and finishing holes using drilling machines;drilling and finishing holes in marine steelwork,bending and forming marine sheet metal using hand and machine tools;forming sheetmetal using hand and machine tools;forming marine sheet metal components using hand and machine tools,bending and forming marine sheet metal using hand and machine tools;forming sheetmetal using hand and machine tools;forming marine sheet metal components using hand and machine tools,joining marine sheet metal components using mechanical fasteners;using mechanical fasteners to join marine sheet metal components;assembling components using mechanical fasteners;joining fabricated components using mechanical fasteners,forming structural sections using machines,producing pipe fabrications;assembling fabricated components to produce marine sub-assemblies;producing marine sheet metal assemblies;producing platework assemblies;producing marine sheet metal outfitting assemblies;assembling marine sheet metal components;producing sheetmetal assemblies;producing major structural components/sub-assemblies;producing sheet metal assemblies,cutting and shaping platework components,repair or modify traction and rolling stock electrical circuits;modifying or rewiring electrical circuits,working efficiently and effectively in engineering
5,carry out fault diagnosis on instrumentation and control equipment and circuits used in food and drink operations,carry out the handover and installation of land-based equipment,complete thermal joining of bus/coach components,isolate and earth contact systems to meet defined isolation requirements in the rail engineering industry,assist with tests and checks of telecoms equipment,carry out installation of telecoms assets,carrying out tests on aircraft engines and systems,testing aircraft pneumatic systems,fitting internal and external trim and fitments to commercial and passenger carrying vehicles,,"commission engineering products, processes or facilities",assembling structural sub assemblies to produce a public service vehicle;fitting sub assemblies and components to public service vehicles,joining marine materials and components using adhesives;bonding marine materials and components using adhesives;bonding engineering materials using adhesives,erecting structural steelwork;assembling structural steelwork,producing holes using drilling machines;producing and finishing holes using drilling machines;drilling and finishing holes in marine steelwork,assembling structural sub assemblies to produce a public service vehicle;fitting sub assemblies and components to public service vehicles,producing pipe fabrications;assembling fabricated components to produce marine sub-assemblies;producing marine sheet metal assemblies;producing platework assemblies;producing marine sheet metal outfitting assemblies;assembling marine sheet metal components;producing sheetmetal assemblies;producing major structural components/sub-assemblies;producing sheet metal assemblies,carrying out maintenance on rigging and lifting equipment;maintaining rigging and lifting equipment,carrying out maintenance on rigging and lifting equipment;maintaining rigging and lifting equipment,"moving materials and components in a marine environment;slinging, lifting and moving materials and components;slinging, lifting and moving materials, machinery and components in a marine environment",heat treating materials for fabrication activities,welding materials using mechanised arc welding equipment;welding materials with mechanised arc welding equipment,making components from wood-based materials,,
6,carry out preventative planned maintenance on engineered systems within food and drink operations,deliver customer care in land-based engineering,conduct inspections of buses/coaches,plan electrification and plant engineering activities,determine requirements for the safe access to work locations for telecoms engineering;determine requirements for safe access to work locations for signal engineering,carry out planned maintenance of signalling assets,"carrying out tests on aircraft pneumatic and vacuum systems;carrying out tests on aircraft communication systems;carrying out tests on aircraft pitot static systems;carrying out tests on aircraft passive warning and optical/surveillance systems;carrying out tests on aircraft navigational and computing systems;carrying out tests on aircraft hydraulic systems;carrying out tests on aircraft electrical power control, distribution and protection systems;carrying out tests on aircraft flight guidance and control systems;carrying out tests on aircraft radar systems;carrying out tests on aircraft fuel and storage systems;carrying out tests on aircraft environmental systems",,fitting pipework systems to commercial and passenger carrying vehicles,,"configure engineering products, processes or facilities","assembling, wiring and testing electrical panels/components mounted in enclosures",joining materials by manual torch brazing and soldering,forming pipework by machine bending,producing pipe fabrications;assembling fabricated components to produce marine sub-assemblies;producing marine sheet metal assemblies;producing platework assemblies;producing marine sheet metal outfitting assemblies;assembling marine sheet metal components;producing sheetmetal assemblies;producing major structural components/sub-assemblies;producing sheet metal assemblies,"assembling, wiring and testing electrical panels/components mounted in enclosures",producing structural steel ancillary components,carrying out modifications and rewiring of marine electrical circuits;modifying and rewiring electrical circuits in yachts and boats;modifying and rewiring marine electrical circuits,carrying out modifications and rewiring of marine electrical circuits;modifying and rewiring electrical circuits in yachts and boats;modifying and rewiring marine electrical circuits,preparing mechanised arc welding equipment for production,heat treating materials for marine fabrication activities;heat treating materials for fabrication activities,,using and communicating technical information,,
7,carry out preventative planned maintenance on instrumentation and control equipment used in food and drink operations,handle refrigerants,contribute to safe working practices in bus/coach engineering and maintenance,transfer responsibility of electrification and plant equipment and components,diagnose faults in telecoms assets,carry out removal of components from signalling assets,carrying out tests on aircraft power transmission systems;carrying out checks and tests on replaced airframe major assemblies,,modifying commercial and passenger carrying vehicles,,create engineering designs,assisting in the installation of wooden furniture/outfitting units in yachts and boats;assisting in the installation of wooden furniture/outfitting units for yachts and boats,,forming structural sections using machines,producing structural steel ancillary components,assisting in the installation of wooden furniture/outfitting units in yachts and boats;assisting in the installation of wooden furniture/outfitting units for yachts and boats,producing structural steel ancillary components,carrying out preparations for rigging activities;preparing for rigging activities,carrying out preparations for rigging activities;preparing for rigging activities,producing pipe fabrications;assembling fabricated components to produce marine sub-assemblies;producing marine sheet metal assemblies;producing platework assemblies;producing marine sheet metal outfitting assemblies;assembling marine sheet metal components;producing sheetmetal assemblies;producing major structural components/sub-assemblies;producing sheet metal assemblies,joining marine materials and components using adhesives;bonding marine materials and components using adhesives;bonding engineering materials using adhesives,,using lathes for turning operations,,
8,comply with statutory regulations and organisational safety requirements in food and drink operations,implement organisational procedures in land-based engineering,diagnose electrical faults in bus/coach systems and components;recondition electrical components in buses/coaches;diagnose mechanical faults in bus/coach systems and components,,establish information for signal engineering maintenance and/or fault finding,carry out removal of components from telecoms assets,dismantling aircraft gas turbine engines to module/unit level,,preparing vehicle body surfaces for finishing,,determine the requirements for engineering activities,bending and forming plate using power operated machines,,heat treating materials for fabrication activities,producing structural steel ancillary components,bending and forming plate using power operated machines,"slinging, lifting and moving materials and components",carrying out the application of marine coatings using spray methods;applying marine coatings using spray methods;applying holding primer by spray methods;applying surface coatings to yachts and boats using spray methods,carrying out the application of marine coatings using spray methods;applying marine coatings using spray methods;applying holding primer by spray methods;applying surface coatings to yachts and boats using spray methods,welding materials using mechanised arc welding equipment;welding materials with mechanised arc welding equipment,joining materials by the manual gas welding process;welding marine materials and structures using the manual oxy/fuel gas;welding materials by the manual gas welding process;joining plastics using manual welding processes;joining marine materials/structures using the manual oxy/fuel gas welding process;welding materials by the oxy/fuel gas welding process,,using milling machines,,
9,hand over and confirm completion of maintenance activities within food and drink operations,service and repair braking systems on land-based equipment,establish customer technical requirements for buses/coaches,,establish information for telecoms engineering maintenance and/or fault finding,carry out replacement of components from signalling assets,drilling and finishing holes in composite and/or metallic aircraft structures or components;drilling and finishing holes in aircraft components,,repairing and refurbishing commercial and passenger carrying vehicles,,determining welding and related technical requirements to achieve objectives,carrying out aircraft detail fitting activities,,heat treating materials for marine fabrication activities;heat treating materials for fabrication activities,"slinging, lifting and moving materials and components",carrying out aircraft detail fitting activities,welding materials using mechanised arc welding equipment;welding materials with mechanised arc welding equipment,carrying out the manual application of marine coatings;applying marine coatings manually;applying yacht and boat paints/coating materials manually;applying surface coatings manually to yachts and boats;applying yacht and boat paints/coatings manually,carrying out the manual application of marine coatings;applying marine coatings manually;applying yacht and boat paints/coating materials manually;applying surface coatings manually to yachts and boats;applying yacht and boat paints/coatings manually,,marking out components for metalwork,,using oxy-fuel gas cutting equipment,,
