,15,9,26,8,18,40,3,37,21,28,16,11,27,39,32,25,33,19,4,34,13,41,29,10,20,30,22,31
lenght,4,3,3,6,3,57,26,18,3,3,4,18,7,61,92,5,27,65,120,59,8,8,10,4,16,455,16,204
avg dist,0.221,0.234,0.266,0.453,0.516,0.575,0.586,0.614,0.629,0.632,0.636,0.64,0.657,0.662,0.665,0.668,0.684,0.687,0.69,0.692,0.695,0.7,0.72,0.724,0.725,0.731,0.751,0.759
0,measuring engineering software quality,positioning and securing aircraft access structures,carrying out condition monitoring on marine mechanical equipment,supervise the blasting operation,contribute to the handover of production activities,vacuum forming aircraft components,plan munition clearance and search operations and programmes,carrying out the application of surface treatments on composite mouldings,work in an efficient and effective way in the utilities sector,identifying and following clean room/clean work area protocols,prepare the structure for photovoltaic/solar thermal panel installation - existing structure,maintain awareness of driving conditions,designing electronic circuit layouts using cad tools,cutting and shaping aircraft components,carry out the maintenance of treatment processing plant and equipment,"programme, deploy and collect data from data-logging equipment",install gas water heating and wet central heating ,organize own work and maintain standards,carry out the research strategy and analyse the information collected on explosive substances and/or articles,prepare to carry out air tightness testing ,elevate and track camera dollies,manufacturing vehicle components by resin casting,contribute to preparations for engineering surveying operations,moor and berth boats and yachts,configure electricity networks to asset owner's requirements,comply with statutory regulations and organisational safety requirements in food and drink operations,determine and manage control and protection resources for utilities network construction ,assist in the installation of engineering services equipment used in food and drink operations
1,performing low level programming for engineering software,dismantling and removing aircraft access structures,carry out monitoring of traction and rolling stock equipment,charge blast holes to specification,"hand over and confirm completion of traction and rolling stock maintenance activities;handing over and confirming the completion of mould, press tool or die equipment maintenance activities",identifying defects in aircraft composite mouldings,assist in searching for specified targets,rectifying metallic surfaces using hand and power tools,oversee the work environment,monitoring and analysing data from semiconductor processes,fix solar thermal/photovoltaic panels into a roof structure ,operate the vehicle systems,evaluating and recommending circuit design options,cutting and shaping soft furnishing materials,carry out routine servicing procedures on polymer process plant and equipment,bending and forming aircraft components,install gas pipework up to 35mm ,contribute to health and safety in the blasting workplace,carry out investigations and analyse the information collected on explosive substances and/or articles,"carry out air tightness testing on large and complex, high rise and phased hand over zonal buildings",rig camera cranes and jib arms,preparing sand for moulding and coremaking,maintain compressed air systems and equipment used in food and drink operations,inspecting lifting equipment and accessories;checking rigging and lifting equipment;inspect boat lifting and storage equipment,install engineering components and assets in gas network construction,understand how to comply with statutory regulations and organisational safety requirements in food and drink operations,install equipment for safe working on construction sites during gas network construction,installing aircraft mechanical controls
2,performing engineering software analysis techniques;testing engineering software;determining engineering software requirements,positioning and securing marine access structures;setting up and securing marine access structures;dismantling and removing access structures;removing marine access structures,"carrying out condition monitoring of mould, press tool or die equipment",blast to specification,provide relevant people with technical and functional information,producing aircraft composite mouldings using spray lay-up laminating techniques,contribute to removing the threat of munitions,preparing yacht and boat paints/coating materials for application,organise the working environment,adjusting and sustaining semiconductor processes,solar thermal/photovoltaic panels post installation activities ,drive the vehicle in restricted spaces,providing technical guidance to others,producing aircraft components by plastic injection moulding,contribute to the maintenance of plant and equipment in food and drink operations,forming pipework for motorsport vehicles,install and commission communication systems for smart meters,"receive, store and issue explosive materials",contribute to carrying out investigations and analysing the information collected on explosive substances and/or articles,prepare building for air tightness testing,rig camera dollies,manually casting components,work in engineering food and drink operations ,assisting in mooring and berthing operations;carrying out mooring and berthing operations,conduct specified testing of gas network engineering components and assets in gas network construction,use engineering drawings and documents in maintenance activities in food and drink operations,operate powered tools and equipment and small mobile plant for site operations on gas network construction,modifying airframes
3,performing engineering software safety assessments;performing computer system security assessments for engineering software,,,deal with misfires,,producing aircraft composite mouldings using resin transfer moulding techniques,move and transport munitions,applying yacht and boat paints/coating materials using spray methods,,,produce specifications for solar thermal/photovoltaic installations,couple and uncouple the vehicle,monitoring and analysing data from electronic circuit manufacturing processes,setting cnc turning machines for production of aircraft components,maintain industrial refrigeration equipment used in food and drink operations,producing pipe assemblies for motorsport vehicles,handover mechanical fire protection system to customer,shut down the explosives process,evaluate and document complex research and findings on explosive substances and/or articles,carry out air tightness testing for single dwellings and other small buildings  ,rig car mounts in or on vehicles,fettling cast components,understand how to work in engineering food and drink operations,carrying out manual splicing operations;carrying out manual splicing of wire and fibre ropes,manage commissioning and handover of plant and equipment in food manufacture,understand how to use engineering drawings and documents in maintenance activities in food and drink operations,join materials by electrofusion processes for site operations in gas network construction,modifying aircraft mechanical systems
4,,,,determine the blast requirements,,producing aircraft composite mouldings using filament winding techniques,contribute to the movement or transportation of munitions,preparing yacht and boat material surfaces by abrasive blasting,,,,load the vehicle with explosive substances and articles,adjusting and sustaining electronic circuit manufacturing processes,machining aircraft components using cnc turning machines,understand how to maintain industrial refrigeration equipment used in food and drink operations,surveying marine pipework systems,establish customer requirements for a mechanical fire protection system,supervise the shutdown of explosives processing,assess and document research and findings on explosive substances and/or articles,carry out air tightness testing for non-simple buildings,rig remote heads and systems,producing and preparing molten materials for casting,read and extract information from service drawings and specifications for food and drink operations,,implementing quality assurance systems in an aeronautical engineering environment,hand over and confirm completion of maintenance activities within food and drink operations,plan engineering activities for gas network construction,carrying out routine servicing of aircraft
5,,,,design and arrange for the authorization of the blast specification,,producing aircraft components using wet lay-up techniques,enable areas cleared of munitions or specified targets to be remediated,applying protective metallic coatings by spraying,,,,unload explosive substances and articles from the vehicle,assembling and checking printed and allied electronic circuits,setting cnc milling machines for production of aircraft components,carry out preventative planned maintenance on services systems and equipment used in food and drink operations,,prepare and produce quotations for mechanical fire protection systems,separate recoverable materials and waste produced by the explosive process,develop a dissemination plan for explosive substances and/or articles,prepare and issue the air tightness test report  ,rig static mounts for productions,producing cast components by manual means,understand how to read and extract information from service drawings and specifications for food and drink operations ,,rectifying aeronautical engineering problems,understand how to hand over and confirm completion of maintenance activities within food and drink operations,excavate and maintain holes and trenches for utilities network construction,installing aircraft domestic equipment
6,,,,,,producing aircraft components using pre-preg laminating techniques,complete munitions or specified targets search reports,finishing yacht and boat wooden furniture/outfitting units by applying surface finishes,,,,complete pre-driving preparations ,checking the compliance of electrical equipment,machining aircraft components using cnc milling machines,maintain plant and equipment in food and drink operations,,design systems for mechanical fire protection,contribute to the validation and optimization of new or modified explosives processes and equipment,carry out small scale processing for explosive substances and/or articles,initiate and progress contracts with clients to carry out air tightness testing ,rig tracking  cars and trailers,"fettling, finishing and checking cast components",use hand tools and equipment in bus/coach engineering and maintenance,,carrying out project management of aeronautical engineering activities,maintain mechanical equipment within an engineered system used in food and drink operations,"operate powered tools, equipment and small mobile plant for utilities network construction",installing aircraft lockers and storage units
7,,,,,,producing aircraft components using resin infusion techniques,assist with the movement and transportation of munitions,applying coatings or coverings to finish surfaces,,,,"maintain the safety and the security of the load, self and property",,setting cnc machining centres for production of aircraft components,monitor and maintain treatment processing plant and equipment at optimum performance,,install mechanical fire protection,prepare the explosives process area and equipment,design the scale-up process for explosive substances and/or articles,quality assure the air tightness testing process ,track and swing crane and jib arms,producing and preparing sand moulds and cores for casting;making sand moulds and cores for casting,working in a rail engineering environment,,"support commissioning of plant, equipment and process in food manufacture",understand how to maintain mechanical equipment within an engineered system used in food and drink operations,plan utility network construction operations,installing aircraft interior panels and soft furnishings
