,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46
0,apply total productive maintenance (tpm) in food and drink operations,"apply core land-based engineering principles: material preparation, shaping and assembling",assess body damage to buses/coaches,allocate and monitor resources for electrification and plant engineering activities,allocate and monitor resources for telecoms engineering activities;allocate and monitor resources for signal engineering activities,adjust signalling components and equipment to meet operational requirements,applying finishes to aircraft composite mouldings,installing aircraft de-icing systems,installing aircraft de-icing systems,installing aircraft de-icing systems,installing aircraft de-icing systems,installing aircraft electro-optical and infrared systems,carrying out tests on aircraft control systems,"carrying out tests on aircraft pneumatic and vacuum systems;carrying out tests on aircraft communication systems;carrying out tests on aircraft pitot static systems;carrying out tests on aircraft passive warning and optical/surveillance systems;carrying out tests on aircraft navigational and computing systems;carrying out tests on aircraft hydraulic systems;carrying out tests on aircraft electrical power control, distribution and protection systems;carrying out tests on aircraft flight guidance and control systems;carrying out tests on aircraft radar systems;carrying out tests on aircraft fuel and storage systems;carrying out tests on aircraft environmental systems",carrying out tests on aircraft control systems,installing aircraft electro-optical and infrared systems,carrying out repairs on composite mouldings,preparing and using cnc turning machines;preparing and using cnc machining centres;preparing and using cnc milling machines,preparing and using cnc turning machines;preparing and using cnc machining centres;preparing and using cnc milling machines,preparing and using cnc turning machines;preparing and using cnc machining centres;preparing and using cnc milling machines,preparing and using cnc fabrication machinery,preparing and using cnc fabrication machinery,preparing and using cnc turning machines;preparing and using cnc machining centres;preparing and using cnc milling machines,manufacturing vehicle composite mouldings using wet lay-up techniques,manufacturing vehicle composite mouldings using wet lay-up techniques,assembling aircraft composite components,carrying out repairs on composite mouldings,carrying out repairs on composite mouldings,assembling and disassembling mechanical equipment on experimental vehicles,assembling and disassembling mechanical equipment on experimental vehicles,assembling and fitting wiring looms to vehicles;assembling electrical and electronic equipment to vehicles,machining components for commercial and passenger carrying vehicle applications,carrying out maintenance activities on electrical equipment within an engineered system,bending and forming plate using press brakes or bending machines,assembling sub-assemblies and components to produce major marine structural assemblies;siting and levelling for the assembly of marine structures,assembling sub-assemblies and components to produce major marine structural assemblies;siting and levelling for the assembly of marine structures,assembling electronic circuits,assembling composite components,"carrying out fault diagnosis on mechanical equipment;carrying out fault diagnosis on mould, press tool or die equipment;carry out fault diagnosis on traction and rolling stock systems;carrying out fault diagnosis on aircraft avionics components or systems;carrying out fault diagnosis on engineered systems",loading and proving cnc fabrication machine tool programs;loading and proving aircraft component cnc machine tool programs;loading and proving programs for cnc wood routing and sawing activities;carrying out cnc fabrication machine tool programming;carrying out aircraft component cnc machine tool programming,bending and forming plate using press brakes or bending machines,applying surface finishes to yacht and boat wooden assemblies,bending and forming plate using power operated machines,cutting and shaping marine sheet metal using hand and machine tools;cutting sheet metal to shape using hand and machine tools,cutting and shaping marine sheet metal using hand and machine tools;cutting sheet metal to shape using hand and machine tools,cutting and shaping marine sheet metal using hand and machine tools;cutting sheet metal to shape using hand and machine tools,bending and forming marine sheet metal using hand and machine tools;forming sheetmetal using hand and machine tools;forming marine sheet metal components using hand and machine tools
1,assist in the installation of equipment to produce an engineered system in food and drink operations,apply core land-based engineering principles: mechanical principles,carry out bus/coach servicing,carry out preventative and corrective maintenance of traction cabling systems ;assist in preventative and corrective maintenance of traction cabling systems;carry out installation of electrification and plant equipment and components;carry out maintenance on electrification and plant equipment and components;carry out maintenance on electrification and plant assets,assist in planned maintenance of signalling equipment,adjust telecoms components and equipment to meet operational requirements,"carrying out fault diagnosis on aircraft airframe, mechanical components and systems",installing aircraft electro-optical and infrared systems,installing aircraft domestic equipment,installing aircraft electro-optical and infrared systems,installing aircraft electro-optical and infrared systems,installing aircraft engine control units,"carrying out tests on aircraft pneumatic and vacuum systems;carrying out tests on aircraft communication systems;carrying out tests on aircraft pitot static systems;carrying out tests on aircraft passive warning and optical/surveillance systems;carrying out tests on aircraft navigational and computing systems;carrying out tests on aircraft hydraulic systems;carrying out tests on aircraft electrical power control, distribution and protection systems;carrying out tests on aircraft flight guidance and control systems;carrying out tests on aircraft radar systems;carrying out tests on aircraft fuel and storage systems;carrying out tests on aircraft environmental systems",testing aircraft communication systems;testing aircraft countermeasure systems;testing aircraft cableforms/looms;testing aircraft radar systems;test aircraft electro-optical and infrared systems;testing aircraft engine control units;testing aircraft flight guidance and control systems;testing aircraft navigational systems;testing aircraft visual display units and computer systems,"carrying out tests on aircraft pneumatic and vacuum systems;carrying out tests on aircraft communication systems;carrying out tests on aircraft pitot static systems;carrying out tests on aircraft passive warning and optical/surveillance systems;carrying out tests on aircraft navigational and computing systems;carrying out tests on aircraft hydraulic systems;carrying out tests on aircraft electrical power control, distribution and protection systems;carrying out tests on aircraft flight guidance and control systems;carrying out tests on aircraft radar systems;carrying out tests on aircraft fuel and storage systems;carrying out tests on aircraft environmental systems",installing aircraft flight guidance and control systems,carrying out repairs to aircraft composite mouldings,producing toolroom components using cnc machining centres,producing toolroom components using cnc turning machines,producing toolroom components using cnc milling machines,preparing and using cnc turning machines;preparing and using cnc machining centres;preparing and using cnc milling machines,preparing and using cnc turning machines;preparing and using cnc machining centres;preparing and using cnc milling machines,producing toolroom components using cnc machining centres,producing aircraft components using wet lay-up techniques,producing aircraft components using wet lay-up techniques,assembling composite components,carrying out repairs to aircraft composite mouldings,carrying out repairs to aircraft composite mouldings,assembling body sub-assemblies to produce a vehicle,assembling body sub-assemblies to produce a vehicle,assembling commercial and passenger carrying vehicle body sub-assemblies to produce a vehicle;producing commercial and passenger carrying vehicle body sub-assemblies,machining components for experimental vehicle engineering,carrying out maintenance activities on fluid power equipment within an engineered system,cutting and shaping marine steelwork using gas cutting machines;cutting and shaping materials using gas cutting machines;cutting marine steelwork using handheld thermal cutting equipment;cutting and shaping materials using portable thermal cutting equipment;cutting materials using hand operated thermal cutting equipment,assembling wooden furniture/outfitting units for yachts and boats;assembling marine wooden components;producing marine wooden outfitting assemblies;assembling furniture and structural units for leisure vehicles;producing assemblies of marine wooden components,assembling wooden furniture/outfitting units for yachts and boats;assembling marine wooden components;producing marine wooden outfitting assemblies;assembling furniture and structural units for leisure vehicles;producing assemblies of marine wooden components,assembling engineering woodwork components,assembling mechanical components;producing mechanical assemblies,maintaining electrical equipment,preparing and proving cnc fabrication machine tool programs,cutting and shaping marine sheet metal using hand and machine tools;cutting sheet metal to shape using hand and machine tools,assembling and testing electronic circuits,cutting and shaping marine sheet metal using hand and machine tools;cutting sheet metal to shape using hand and machine tools,cutting materials using saws and abrasive discs;cutting marine steelwork using saws and abrasive discs,cutting and shaping marine steelwork using gas cutting machines;cutting and shaping materials using gas cutting machines;cutting marine steelwork using handheld thermal cutting equipment;cutting and shaping materials using portable thermal cutting equipment;cutting materials using hand operated thermal cutting equipment,cutting and shaping marine steelwork using gas cutting machines;cutting and shaping materials using gas cutting machines;cutting marine steelwork using handheld thermal cutting equipment;cutting and shaping materials using portable thermal cutting equipment;cutting materials using hand operated thermal cutting equipment,cutting and shaping marine sheet metal using hand and machine tools;cutting sheet metal to shape using hand and machine tools
2,assist in the installation of instrumentation and control equipment used in food and drink operations,apply core land-based engineering principles: servicing and maintenance,carry out roadside recovery of buses/coaches,carry out technical assessment of electrification and plant,assist in planned maintenance of telecoms equipment,allocate and monitor resources for telecoms engineering activities;allocate and monitor resources for signal engineering activities,carrying out flight servicing and routine maintenance of aircraft,installing aircraft engine control units,installing aircraft electro-optical and infrared systems,installing aircraft engine control units,installing aircraft engine control units,installing aircraft environmental systems,testing aircraft communication systems;testing aircraft countermeasure systems;testing aircraft cableforms/looms;testing aircraft radar systems;test aircraft electro-optical and infrared systems;testing aircraft engine control units;testing aircraft flight guidance and control systems;testing aircraft navigational systems;testing aircraft visual display units and computer systems,testing aircraft de-icing systems;testing aircraft assisted escape systems;testing aircraft hydraulic systems;testing aircraft armament systems,carrying out tests on avionic indication and gauging components of aircraft systems,installing aircraft navigational systems,repairing aircraft composite mouldings,producing toolroom components using cnc turning machines,setting cnc fabrication machines for production operations,producing toolroom components using cnc turning machines,producing toolroom components using cnc machining centres,producing toolroom components using cnc turning machines,producing toolroom components using cnc milling machines,producing composite mouldings using wet lay-up techniques,producing marine composite components using wet lay-up techniques,assembling marine composite components,carrying out repairs to marine composite mouldings,repairing defects in vehicle composite mouldings,assembling commercial and passenger carrying vehicle body sub-assemblies to produce a vehicle;producing commercial and passenger carrying vehicle body sub-assemblies,assembling structural sub assemblies to produce a public service vehicle;fitting sub assemblies and components to public service vehicles,diagnosing and rectifying faults in vehicle electrical and electronic systems,machining components for jigs and fixtures,carrying out maintenance activities on instrumentation and control equipment,cutting and shaping materials using nc/cnc laser profiling machines;cutting and shaping materials using cnc laser profiling machines;cutting and shaping materials using cnc water jet cutting machines;cutting and shaping using cnc plasma or gas cutting machines,assisting in the installation of marine pipework and components;installing marine pipework and components,assisting in the installation of marine pipework and components;installing marine pipework and components,carrying out pipe fitting activities,assembling structural sub assemblies to produce a public service vehicle;fitting sub assemblies and components to public service vehicles,maintaining mechanical equipment,preparing and proving cnc machine tool programs,cutting and shaping marine steelwork using gas cutting machines;cutting and shaping materials using gas cutting machines;cutting marine steelwork using handheld thermal cutting equipment;cutting and shaping materials using portable thermal cutting equipment;cutting materials using hand operated thermal cutting equipment,assembling and testing fluid power systems,cutting materials using saws and abrasive discs;cutting marine steelwork using saws and abrasive discs,cutting plate and sections using shearing machines;cutting marine steelwork using shearing machines,cutting materials using saws and abrasive discs;cutting marine steelwork using saws and abrasive discs,forming marine components using power rolling machines;shaping marine steelwork using power rolling machines;forming platework using power rolling machines,forming marine components using power rolling machines;shaping marine steelwork using power rolling machines;forming platework using power rolling machines
3,carry out condition monitoring of plant and equipment used within food and drink operations,apply core land-based engineering principles: thermal joining processes,carry out scheduled mechanical maintenance on buses/coaches;carry out scheduled electrical maintenance on buses/coaches;carry out scheduled body maintenance on buses / coaches,contribute to safe working practices in the rail engineering industry,assist in the installation of signalling equipment,assist with establishing compliance with specifications for signalling equipment,carrying out test bed runs on aircraft engines (uninstalled),installing aircraft environmental systems,installing aircraft environmental systems,installing aircraft environmental systems,installing aircraft environmental systems,installing aircraft flight guidance and control systems,testing aircraft de-icing systems;testing aircraft assisted escape systems;testing aircraft hydraulic systems;testing aircraft armament systems,testing aircraft environmental systems,testing aircraft communication systems;testing aircraft countermeasure systems;testing aircraft cableforms/looms;testing aircraft radar systems;test aircraft electro-optical and infrared systems;testing aircraft engine control units;testing aircraft flight guidance and control systems;testing aircraft navigational systems;testing aircraft visual display units and computer systems,installing aircraft power supplies,repairing defects in vehicle composite mouldings,setting cnc machining centres for production of aircraft components,setting cnc machining centres for production of aircraft components,setting cnc fabrication machines for production operations,producing toolroom components using cnc turning machines,setting cnc fabrication machines for production operations,producing toolroom components using cnc turning machines,producing motorsport composite mouldings using wet lay-up techniques,using wet lay-up laminating techniques to produce composite mouldings,carrying out composite assembly operations;assembling composite vehicle components,repairing defects in vehicle composite mouldings,repairing leisure vehicle composite mouldings,assembling sub-assembly units to vehicles,assembling sub-assembly units to vehicles,fitting ancillary units to commercial and passenger carrying vehicles,machining toolroom components using a range of machines,carrying out maintenance activities on mechanical equipment within an engineered system ;carrying out maintenance activities on mechanical equipment,cutting materials using saws and abrasive discs;cutting marine steelwork using saws and abrasive discs,bending and forming marine pipe using bending machines;bending and forming marine pipe using hand methods;using hand methods to bend and form marine pipe;using bending machines to form marine pipe,bending and forming marine pipe using bending machines;bending and forming marine pipe using hand methods;using hand methods to bend and form marine pipe;using bending machines to form marine pipe,carrying out routine servicing of mechanical equipment,carrying out composite assembly operations;assembling composite vehicle components,producing replacement components for maintenance activities,preparing and using cnc fabrication machinery,cutting materials using saws and abrasive discs;cutting marine steelwork using saws and abrasive discs,assembling mechanical components;producing mechanical assemblies,cutting plate and sections using shearing machines;cutting marine steelwork using shearing machines,erecting structural steelwork;assembling structural steelwork,cutting plate and sections using shearing machines;cutting marine steelwork using shearing machines,joining marine sheet metal components using mechanical fasteners;using mechanical fasteners to join marine sheet metal components;assembling components using mechanical fasteners;joining fabricated components using mechanical fasteners,joining marine materials/structures using the manual metal arc (mma) welding process;welding plate using multiple manual arc welding processes;welding marine pipe/tube using multiple manual arc welding processes;producing fillet welded joints using a manual/semi-automatic welding process;welding pipe/tube using multiple manual arc welding processes;joining components for commercial and passenger carrying vehicles using a manual welding process;producing socket and flange fillet welded joints in low pressure marine pipework using a manual welding process;tack welding marine plate using a manual/semi-automatic welding process;welding marine materials and structures using manual tig and plasma arc welding processes;welding marine materials and structures using semi-automatic mig/mag and;assembling jig and fixture structures using a manual welding process;tack welding marine plate using a manual welding process;producing fillet welded joints using a manual welding process;joining materials by the manual mig/mag and other continuous wire processes;welding marine plate and structures using multiple manual arc welding processes;producing socket and flange fillet welded joints in pipe using a manual welding process;tack welding fillet joints in marine steelwork;joining marine materials/structures using manual tig and plasma-arc welding processes;joining marine materials/structures using semi-automatic mig/mag and flux cored arc processes;welding marine materials and structures using the manual metal arc process
4,carry out fault diagnosis on engineered systems within food and drink operations;carry out fault diagnosis on services and systems for food and drink operations,apply core land-based engineering principles: tools and equipment,complete routine assembly of bus/coach body components,establish the operational condition of electrification and plant assets;restore the contact systems to operational condition in the rail engineering industry ,assist in the installation of telecoms equipment,carry out installation of signalling assets,carrying out tests on aircraft control systems,installing aircraft hydraulic systems,installing aircraft lockers and storage units,installing aircraft hydraulic systems,installing aircraft flight guidance and control systems,installing aircraft instrumentation systems,testing aircraft environmental systems,testing aircraft pneumatic systems,testing aircraft de-icing systems;testing aircraft assisted escape systems;testing aircraft hydraulic systems;testing aircraft armament systems,installing aircraft visual display units and computer systems,repairing leisure vehicle composite mouldings,setting cnc turning machines for production of aircraft components,setting cnc milling machines for production of aircraft components,setting cnc machining centres for production of aircraft components,setting cnc machining centres for production of aircraft components,setting cnc machining centres for production of aircraft components,setting cnc machining centres for production of aircraft components,using wet lay-up laminating techniques to produce composite mouldings,using wet lay-up techniques to produce marine composite components,producing marine composite assemblies,repairing marine composite components and assemblies,repairing marine composite components and assemblies,assembling vehicle body sub-assemblies,assembling vehicle body sub-assemblies,fitting electrical and electronic components to commercial and passenger carrying vehicles,producing components by manual machining;producing aircraft components by manual machining,carrying out maintenance activities on process controller equipment within an engineered system,cutting plate and sections using shearing machines;cutting marine steelwork using shearing machines,bending and forming marine sheet metal using hand and machine tools;forming sheetmetal using hand and machine tools;forming marine sheet metal components using hand and machine tools,bending and forming marine sheet metal using hand and machine tools;forming sheetmetal using hand and machine tools;forming marine sheet metal components using hand and machine tools,cutting and shaping platework components,producing aircraft detail assemblies,repair or modify traction and rolling stock electrical circuits;modifying or rewiring electrical circuits,preparing and using cnc turning machines;preparing and using cnc machining centres;preparing and using cnc milling machines,cutting plate and sections using shearing machines;cutting marine steelwork using shearing machines,"assembling pattern, model and engineering woodwork components",erecting structural steelwork;assembling structural steelwork,joining marine sheet metal components using mechanical fasteners;using mechanical fasteners to join marine sheet metal components;assembling components using mechanical fasteners;joining fabricated components using mechanical fasteners,erecting structural steelwork;assembling structural steelwork,preparing mechanised arc welding equipment for production,joining marine sheet metal components using mechanical fasteners;using mechanical fasteners to join marine sheet metal components;assembling components using mechanical fasteners;joining fabricated components using mechanical fasteners
5,carry out fault diagnosis on instrumentation and control equipment and circuits used in food and drink operations,carry out the handover and installation of land-based equipment,complete thermal joining of bus/coach components,isolate and earth contact systems to meet defined isolation requirements in the rail engineering industry,assist with establishing compliance with specifications for signalling equipment,carry out installation of telecoms assets,carrying out tests on aircraft engines and systems,installing aircraft mechanical controls,installing aircraft power supplies,installing aircraft instrumentation systems,installing aircraft instrumentation systems,installing aircraft power supplies,testing aircraft pneumatic systems,testing installed aircraft armament systems;testing uninstalled aircraft assisted escape system (aaes) components;testing uninstalled aircraft armament system components,testing aircraft pneumatic systems,,,,setting cnc turning machines for production of aircraft components,setting cnc milling machines for production of aircraft components,,,,using wet lay-up techniques to produce marine composite components,,producing motorsport composite assemblies,,,,,fitting internal and external trim and fitments to commercial and passenger carrying vehicles,"producing mould, press tool or die components by manual machining","commission engineering products, processes or facilities",developing and marking out templates for metalwork,carrying out maintenance on rigging and lifting equipment;maintaining rigging and lifting equipment,carrying out maintenance on rigging and lifting equipment;maintaining rigging and lifting equipment,making components from wood-based materials,,,,developing and marking out templates for metalwork,assembling structural sub assemblies to produce a public service vehicle;fitting sub assemblies and components to public service vehicles,joining marine sheet metal components using mechanical fasteners;using mechanical fasteners to join marine sheet metal components;assembling components using mechanical fasteners;joining fabricated components using mechanical fasteners,preparing mechanised arc welding equipment for production,joining marine sheet metal components using mechanical fasteners;using mechanical fasteners to join marine sheet metal components;assembling components using mechanical fasteners;joining fabricated components using mechanical fasteners,producing pipe fabrications;assembling fabricated components to produce marine sub-assemblies;producing marine sheet metal assemblies;producing platework assemblies;producing marine sheet metal outfitting assemblies;assembling marine sheet metal components;producing sheetmetal assemblies;producing major structural components/sub-assemblies;producing sheet metal assemblies,"moving materials and components in a marine environment;slinging, lifting and moving materials and components;slinging, lifting and moving materials, machinery and components in a marine environment"
6,carry out preventative planned maintenance on engineered systems within food and drink operations,deliver customer care in land-based engineering,conduct inspections of buses/coaches,plan electrification and plant engineering activities,assist with tests and checks of telecoms equipment,carry out planned maintenance of signalling assets,"carrying out tests on aircraft pneumatic and vacuum systems;carrying out tests on aircraft communication systems;carrying out tests on aircraft pitot static systems;carrying out tests on aircraft passive warning and optical/surveillance systems;carrying out tests on aircraft navigational and computing systems;carrying out tests on aircraft hydraulic systems;carrying out tests on aircraft electrical power control, distribution and protection systems;carrying out tests on aircraft flight guidance and control systems;carrying out tests on aircraft radar systems;carrying out tests on aircraft fuel and storage systems;carrying out tests on aircraft environmental systems",installing aircraft pneumatic systems,,installing aircraft pneumatic systems,installing aircraft pneumatic systems,installing aircraft visual display units and computer systems,,,,,,,setting cnc wood routing and sawing machines for production,setting cnc wood routing and sawing machines for production,,,,,,,,,,,fitting pipework systems to commercial and passenger carrying vehicles,,"configure engineering products, processes or facilities",erecting structural steelwork;assembling structural steelwork,carrying out modifications and rewiring of marine electrical circuits;modifying and rewiring electrical circuits in yachts and boats;modifying and rewiring marine electrical circuits,carrying out modifications and rewiring of marine electrical circuits;modifying and rewiring electrical circuits in yachts and boats;modifying and rewiring marine electrical circuits,using and communicating technical information,,,,erecting structural steelwork;assembling structural steelwork,"assembling, wiring and testing electrical panels/components mounted in enclosures",marking out components for fabrication,producing holes using drilling machines;producing and finishing holes using drilling machines;drilling and finishing holes in marine steelwork,preparing mechanised arc welding equipment for production,welding materials using mechanised arc welding equipment;welding materials with mechanised arc welding equipment,preparing mechanised arc welding equipment for production
7,carry out preventative planned maintenance on instrumentation and control equipment used in food and drink operations,handle refrigerants,contribute to safe working practices in bus/coach engineering and maintenance,transfer responsibility of electrification and plant equipment and components,determine requirements for the safe access to work locations for telecoms engineering;determine requirements for safe access to work locations for signal engineering,carry out removal of components from signalling assets,carrying out tests on aircraft power transmission systems;carrying out checks and tests on replaced airframe major assemblies,installing aircraft power supplies,,installing aircraft power supplies,installing aircraft power supplies,,,,,,,,,,,,,,,,,,,,modifying commercial and passenger carrying vehicles,,create engineering designs,forming pipework by machine bending,carrying out preparations for rigging activities;preparing for rigging activities,carrying out preparations for rigging activities;preparing for rigging activities,using lathes for turning operations,,,,forming pipework by machine bending,assisting in the installation of wooden furniture/outfitting units in yachts and boats;assisting in the installation of wooden furniture/outfitting units for yachts and boats,producing holes using drilling machines;producing and finishing holes using drilling machines;drilling and finishing holes in marine steelwork,producing pipe fabrications;assembling fabricated components to produce marine sub-assemblies;producing marine sheet metal assemblies;producing platework assemblies;producing marine sheet metal outfitting assemblies;assembling marine sheet metal components;producing sheetmetal assemblies;producing major structural components/sub-assemblies;producing sheet metal assemblies,producing holes using drilling machines;producing and finishing holes using drilling machines;drilling and finishing holes in marine steelwork,,producing pipe fabrications;assembling fabricated components to produce marine sub-assemblies;producing marine sheet metal assemblies;producing platework assemblies;producing marine sheet metal outfitting assemblies;assembling marine sheet metal components;producing sheetmetal assemblies;producing major structural components/sub-assemblies;producing sheet metal assemblies
8,comply with statutory regulations and organisational safety requirements in food and drink operations,implement organisational procedures in land-based engineering,diagnose electrical faults in bus/coach systems and components;recondition electrical components in buses/coaches;diagnose mechanical faults in bus/coach systems and components,,diagnose faults in telecoms assets,carry out removal of components from telecoms assets,dismantling aircraft gas turbine engines to module/unit level,,,,,,,,,,,,,,,,,,,,,,,,preparing vehicle body surfaces for finishing,,determine the requirements for engineering activities,forming structural sections using machines,carrying out the application of marine coatings using spray methods;applying marine coatings using spray methods;applying holding primer by spray methods;applying surface coatings to yachts and boats using spray methods,carrying out the application of marine coatings using spray methods;applying marine coatings using spray methods;applying holding primer by spray methods;applying surface coatings to yachts and boats using spray methods,using milling machines,,,,forming structural sections using machines,bending and forming plate using power operated machines,producing pipe fabrications;assembling fabricated components to produce marine sub-assemblies;producing marine sheet metal assemblies;producing platework assemblies;producing marine sheet metal outfitting assemblies;assembling marine sheet metal components;producing sheetmetal assemblies;producing major structural components/sub-assemblies;producing sheet metal assemblies,producing structural steel ancillary components,producing pipe fabrications;assembling fabricated components to produce marine sub-assemblies;producing marine sheet metal assemblies;producing platework assemblies;producing marine sheet metal outfitting assemblies;assembling marine sheet metal components;producing sheetmetal assemblies;producing major structural components/sub-assemblies;producing sheet metal assemblies,,welding materials using mechanised arc welding equipment;welding materials with mechanised arc welding equipment
9,hand over and confirm completion of maintenance activities within food and drink operations,service and repair braking systems on land-based equipment,establish customer technical requirements for buses/coaches,,establish information for signal engineering installation;establish information for telecoms engineering testing;establish information for telecoms engineering installation;establish information for signal engineering testing,carry out replacement of components from signalling assets,drilling and finishing holes in composite and/or metallic aircraft structures or components;drilling and finishing holes in aircraft components,,,,,,,,,,,,,,,,,,,,,,,,repairing and refurbishing commercial and passenger carrying vehicles,,determining welding and related technical requirements to achieve objectives,heat treating materials for fabrication activities,carrying out the manual application of marine coatings;applying marine coatings manually;applying yacht and boat paints/coating materials manually;applying surface coatings manually to yachts and boats;applying yacht and boat paints/coatings manually,carrying out the manual application of marine coatings;applying marine coatings manually;applying yacht and boat paints/coating materials manually;applying surface coatings manually to yachts and boats;applying yacht and boat paints/coatings manually,using oxy-fuel gas cutting equipment,,,,heat treating materials for fabrication activities,carrying out aircraft detail fitting activities,producing structural steel ancillary components,producing structural steel ancillary components,producing structural steel ancillary components,,working efficiently and effectively in engineering
