index,NOS Title,One_suite,supersuite,hierarchical
coscpo03.pdf,contribute to preparations for engineering surveying operations,engineering surveying operations,engineering,21
impem0151s.pdf,maintain compressed air systems and equipment used in food and drink operations,engineering maintenance in food manufacture,engineering,1
impem109s.pdf,comply with statutory regulations and organisational safety requirements in food and drink operations,engineering maintenance in food manufacture,engineering,12
impem110k.pdf,understand how to comply with statutory regulations and organisational safety requirements in food and drink operations,engineering maintenance in food manufacture,engineering,12
impem111s.pdf,use engineering drawings and documents in maintenance activities in food and drink operations,engineering maintenance in food manufacture,engineering,12
impem112k.pdf,understand how to use engineering drawings and documents in maintenance activities in food and drink operations,engineering maintenance in food manufacture,engineering,12
impem115s.pdf,hand over and confirm completion of maintenance activities within food and drink operations,engineering maintenance in food manufacture,engineering,12
impem116k.pdf,understand how to hand over and confirm completion of maintenance activities within food and drink operations,engineering maintenance in food manufacture,engineering,12
impem119s.pdf,maintain mechanical equipment within an engineered system used in food and drink operations,engineering maintenance in food manufacture,engineering,12
impem120k.pdf,understand how to maintain mechanical equipment within an engineered system used in food and drink operations,engineering maintenance in food manufacture,engineering,12
impem121s.pdf,maintain fluid power equipment within an engineered system used in food and drink operations,engineering maintenance in food manufacture,engineering,12
impem122k.pdf,understand how to maintain fluid power equipment within an engineered system used in food and drink operations,engineering maintenance in food manufacture,engineering,12
impem123s.pdf,maintain process controller equipment within an engineered system used in food and drink operations,engineering maintenance in food manufacture,engineering,12
impem124k.pdf,understand how to maintain process controller equipment within an engineered system used in food and drink operations,engineering maintenance in food manufacture,engineering,12
impem125s.pdf,carry out preventative planned maintenance on engineered systems within food and drink operations,engineering maintenance in food manufacture,engineering,12
impem126k.pdf,understand how to carry out preventative planned maintenance on engineered systems within food and drink operations,engineering maintenance in food manufacture,engineering,12
impem127s.pdf,carry out condition monitoring of plant and equipment used within food and drink operations,engineering maintenance in food manufacture,engineering,12
impem128k.pdf,understand how to carry out condition monitoring of plant and equipment used within food and drink operations,engineering maintenance in food manufacture,engineering,12
impem129s.pdf,assist in the installation of equipment to produce an engineered system in food and drink operations,engineering maintenance in food manufacture,engineering,12
impem131s.pdf,apply total productive maintenance (tpm) in food and drink operations,engineering maintenance in food manufacture,engineering,12
impem132k.pdf,understand how to apply total productive maintenance (tpm) in food and drink operations ,engineering maintenance in food manufacture,engineering,12
impem139s.pdf,maintain waste/foul water distribution systems and equipment used in food and drink operations,engineering maintenance in food manufacture,engineering,12
impem141s.pdf,maintain workplace environmental control systems used in food and drink operations,engineering maintenance in food manufacture,engineering,12
impem142k.pdf,understand how to maintain workplace environmental control systems used in food and drink operations,engineering maintenance in food manufacture,engineering,12
impem143s.pdf,maintain emergency power generation equipment used in food and drink operations,engineering maintenance in food manufacture,engineering,12
impem144k.pdf,understand how to maintain emergency power generation equipment used in food and drink operations ,engineering maintenance in food manufacture,engineering,12
impem149s.pdf,maintain gas distribution systems and equipment used in food and drink operations,engineering maintenance in food manufacture,engineering,12
impem150k.pdf,understand how to maintain gas distribution systems and equipment used in food and drink operations  ,engineering maintenance in food manufacture,engineering,12
impem153s.pdf,maintain instrumentation and control systems used in food and drink operations,engineering maintenance in food manufacture,engineering,12
impem154k.pdf,understand how to maintain instrumentation and control systems used in food and drink operations,engineering maintenance in food manufacture,engineering,12
impem162k.pdf,understand how to carry out fault diagnosis on instrumentation and control equipment and circuits used in food and drink operations ,engineering maintenance in food manufacture,engineering,12
impem163s.pdf,carry out preventative planned maintenance on instrumentation and control equipment used in food and drink operations,engineering maintenance in food manufacture,engineering,12
impem165s.pdf,repair/overhaul instrumentation and control equipment used in food and drink operations,engineering maintenance in food manufacture,engineering,12
impem166k.pdf,understand how to repair/overhaul instrumentation and control equipment used in food and drink operations,engineering maintenance in food manufacture,engineering,12
impem167s.pdf,test and calibrate instrumentation and control equipment and circuits used in food and drink operations,engineering maintenance in food manufacture,engineering,12
impem168k.pdf,understand how to test and calibrate instrumentation and control equipment and circuits used in food and drink operations,engineering maintenance in food manufacture,engineering,12
impem169s.pdf,assist in the installation of instrumentation and control equipment used in food and drink operations,engineering maintenance in food manufacture,engineering,12
impem170k.pdf,understand how to assist in the installation of instrumentation and control equipment used in food and drink operations ,engineering maintenance in food manufacture,engineering,12
lanleo1.pdf,work safely in the land-based engineering work area,land based engineering operations,engineering,4
lanleo12.pdf,service and repair clutches and other transmission controlling devices on land-based equipment,land based engineering operations,engineering,4
lanleo13.pdf,service and repair mechanical transmission assemblies on land-based equipment,land based engineering operations,engineering,4
lanleo17.pdf,service and repair land-based cutting and mowing equipment,land based engineering operations,engineering,4
lanleo18.pdf,service and repair land-based harvesting and processing equipment,land based engineering operations,engineering,4
lanleo19.pdf,"service and repair land-based soil preparation, cultivation and plant establishment equipment",land based engineering operations,engineering,4
lanleo2.pdf,implement organisational procedures in land-based engineering,land based engineering operations,engineering,4
lanleo20.pdf,"service and repair land-based transport, handling and storage equipment",land based engineering operations,engineering,4
lanleo22.pdf,service and repair electrical systems on land-based equipment,land based engineering operations,engineering,4
lanleo23.pdf,service and repair electronic control and monitoring systems on land-based equipment,land based engineering operations,engineering,4
lanleo24.pdf,service and repair hydraulic systems on land-based equipment,land based engineering operations,engineering,4
lanleo27.pdf,handle refrigerants,land based engineering operations,engineering,4
lanleo29.pdf,carry out the handover and installation of land-based equipment,land based engineering operations,engineering,4
lanleo3.pdf,deliver customer care in land-based engineering,land based engineering operations,engineering,4
lanleo32.pdf,service and repair land-based treatment application equipment,land based engineering operations,engineering,4
lanleo5.pdf,apply core land-based engineering principles: tools and equipment,land based engineering operations,engineering,4
lanleo6.pdf,"apply core land-based engineering principles: material preparation, shaping and assembling",land based engineering operations,engineering,4
lanleo8.pdf,apply core land-based engineering principles: servicing and maintenance,land based engineering operations,engineering,4
lanleo9.pdf,apply core land-based engineering principles: thermal joining processes,land based engineering operations,engineering,4
pplbacem01.pdf,contribute to safe working practices in bus/coach engineering and maintenance,bus and coach engineering and maintenance,engineering,3
pplbacem06.pdf,carry out bus/coach servicing,bus and coach engineering and maintenance,engineering,3
pplbacem09.pdf,rectify body damage on bus/coach vehicle body components,bus and coach engineering and maintenance,engineering,3
pplbacem10.pdf,identify and locate mechanical faults in bus/coach systems and components,bus and coach engineering and maintenance,engineering,3
pplbacem11.pdf,identify and locate electrical faults in bus/coach systems and components,bus and coach engineering and maintenance,engineering,3
pplbacem12.pdf,identify bus/coach body damage and recommend suitable repair techniques,bus and coach engineering and maintenance,engineering,3
pplbacem13.pdf,complete routine assembly of bus/coach body components,bus and coach engineering and maintenance,engineering,3
pplbacem14.pdf,prepare and treat surfaces and apply paint coats to bus/coach body panels and components,bus and coach engineering and maintenance,engineering,3
pplbacem15.pdf,provide roadside assistance for broken down buses/coaches,bus and coach engineering and maintenance,engineering,3
pplbacem17.pdf,complete thermal joining of bus/coach components,bus and coach engineering and maintenance,engineering,3
pplbacem18.pdf,conduct inspections of buses/coaches,bus and coach engineering and maintenance,engineering,3
pplbacem24.pdf,assess body damage to buses/coaches,bus and coach engineering and maintenance,engineering,3
pplbacem27.pdf,repair damage to bus/coach body components,bus and coach engineering and maintenance,engineering,3
pplbacem28.pdf,set out and assemble bus/coach body components,bus and coach engineering and maintenance,engineering,3
pplbacem29.pdf,recondition mechanical components in buses/coaches,bus and coach engineering and maintenance,engineering,3
pplbacem31.pdf,install ancillary systems and components in buses/coaches,bus and coach engineering and maintenance,engineering,3
pplbacem34.pdf,establish customer technical requirements for buses/coaches,bus and coach engineering and maintenance,engineering,3
pplbacem35.pdf,improve the service provided to customers of buses/coaches,bus and coach engineering and maintenance,engineering,3
pplbacem36.pdf,carry out roadside recovery of buses/coaches,bus and coach engineering and maintenance,engineering,3
pplbacem37.pdf,plan and organise work of self and others,bus and coach engineering and maintenance,engineering,3
pplbacem38.pdf,support learners by coaching in the workplace,bus and coach engineering and maintenance,engineering,3
pplbacem40.pdf,operate an it system in a bus/coach engineering and maintenance environment,bus and coach engineering and maintenance,engineering,3
pplrec10  contribute to safe working practices in the rail engineering industry.pdf,contribute to safe working practices in the rail engineering industry,rail engineering,engineering,6
pplreep07  carry out installation of electrification and plant assets.pdf,carry out installation of electrification and plant assets,rail engineering,engineering,5
pplreep08  plan electrification and plant engineering activities.pdf,plan electrification and plant engineering activities,rail engineering,engineering,6
pplreep09  transfer responsibility of electrification and plant equipment and components.pdf,transfer responsibility of electrification and plant equipment and components,rail engineering,engineering,6
