,Suite_names,hierarchical
0,accessing operations and rigging construction,3
1,accountancy and finance,24
2,activity leadership,42
3,aeronautical engineering suite 2,83
4,aeronautical engineering suite 3,83
5,agricultural management,65
6,air tightness testing,95
7,anti money laundering,18
8,applied waterproof membranes construction,3
9,associated industrial services occupations construction,3
10,automotive engineering suite 3,84
11,bank accounts,15
12,branch management and business and customer commercial relationship management,19
13,building maintenance multi trade repair and refurbishment operations,3
14,building products leadership,63
15,building services engineering technology and project management,58
16,built environment design and consultancy practice,57
17,bulk explosive truck operations,26
18,bus and coach engineering and maintenance,85
19,business continuity management 2014,21
20,cctv strategic and operational management,35
21,chimney engineering construction,3
22,cladding occupations construction,3
23,combined working practices,49
24,composite engineering suite 2,77
25,composite engineering suite 3,77
26,confined spaces,33
27,constructing capital plant steel structures erecting,69
28,construction and civil engineering operations,3
29,construction contracting operations management,57
30,construction design management coordination level 4 nos,3
31,construction diving operations,3
32,construction operations and civil engineering services construction,3
33,construction operations construction,3
34,construction plant or machinery maintenance,3
35,construction senior management,57
36,construction site management,2
37,construction site supervision,2
38,construction using off site manufactured assemblies,3
39,controlling lifting operations construction,3
40,countering financial crime,25
41,credit management,17
42,customer payments for financial products and services,15
43,decorative finishing and industrial painting occupations construction,3
44,demolition construction,3
45,design and draughting,70
46,directors,50
47,down stream gas,89
48,electrical and electronic engineering suite 3,82
49,electrical and electronic engineering suite 3 2004,82
50,electrical and electronic servicing,81
51,electricity network control engineer,30
52,electrotechnical services approved electrician status,92
53,electrotechnical services electrotechnical technology and project management,58
54,electrotechnical services instrumentation,93
55,emergency fire services management,53
56,engineered wood,97
57,engineering and manufacture suite 4,78
58,engineering leadership and management suite 3,79
59,engineering leadership and management suite 4,78
60,engineering leadership and management suite 5,78
61,engineering leadership suite 3,78
62,engineering maintenance and installation suite 2 2008,80
63,engineering maintenance in food manufacture,44
64,engineering maintenance suite 3 2008,80
65,engineering surveying operations,87
66,engineering technical support suite 2 2007,78
67,engineering technical support suite 3 2009,78
68,engineering toolmaking level 3,84
69,engineering toolmaking suite 3,84
70,engineering toolmaking suite 3 2005,84
71,"engineering woodworking, pattern and model making suite 3 2002",84
72,ensuring the compliance of electrical installation work in dwellings with the building regulations england and wales,94
73,erection of precast concrete construction,3
74,expedition leadership and management,61
75,explosive substances and articles,27
76,fabricating steel structures plating,69
77,fabrication and welding engineering suite 3,84
78,fabrication and welding suite 2,84
79,fencing,6
80,"fenestration, installation and surveying",96
81,fibreboard operations,54
82,financial services core competences,16
83,financial services sales process,15
84,financing and credit,17
85,fisheries management,66
86,floorcovering occupations construction,3
87,food business operational management,44
