index,NOS Title,One_suite,hierarchical
sumhv04.pdf,install and test industrial and commercial heating and ventilating pipework systems,heating and ventilating,1
sumhv05.pdf,install and test industrial and commercial heating and ventilating ductwork systems,heating and ventilating,1
sumhv07.pdf,commission industrial and commercial heating and ventilating systems,heating and ventilating,1
sumhv08.pdf,decommission industrial and commercial heating and ventilating systems,heating and ventilating,1
sumhv10.pdf,weld industrial and commercial heating and ventilating pipework,heating and ventilating,5
sumhv11.pdf,clean industrial and commercial ventilation systems,heating and ventilating,4
sumrac04.pdf,install refrigeration systems,refrigeration and air conditioning,3
sumrac05.pdf,service and maintain refrigeration systems,refrigeration and air conditioning,3
sumrac06.pdf,decommission refrigeration systems,refrigeration and air conditioning,3
sumrac07.pdf,commission refrigeration systems,refrigeration and air conditioning,3
sumrac08.pdf,install air conditioning and heat pump systems,refrigeration and air conditioning,2
sumrac09.pdf,service and maintain air conditioning and heat pump systems,refrigeration and air conditioning,2
sumrac10.pdf,decommission air conditioning and heat pump systems,refrigeration and air conditioning,2
sumrac11.pdf,commission air conditioning and heat pump systems,refrigeration and air conditioning,2
