index,NOS Title,One_suite,hierarchical
lmc b1 lead and manage practice that promotes the safeguarding of individuals.pdf,lead and manage practice that promotes the safeguarding of individuals,leadership and management for care services,21
lmca1 manage and develop yourself and your workforce within care services.pdf,manage and develop yourself and your workforce within care services,leadership and management for care services,21
"scdinspa1_provide_information,_advice_and_guidance_about_inspection_activities[1].pdf","provide information, advice and guidance about inspection activities ","inspectors of health, social care, children and young peoples services",16
scdinspb1 manage suitability for registration through evaluation of applications.pdf,manage suitability for registration through evaluation of applications,"inspectors of health, social care, children and young peoples services",16
scdinspc1 plan inspection of services.pdf,plan inspection of services,"inspectors of health, social care, children and young peoples services",16
scdinspc2_work_with_service_providers_to_carry_out_self_assessment[1].pdf,work with service providers to carry out self-assessment ,"inspectors of health, social care, children and young peoples services",16
scdinspc3_inspect_services[1].pdf,inspect services,"inspectors of health, social care, children and young peoples services",16
scdinspc4 manage challenges to inspection findings   previously scdinspc5 .pdf,manage challenges to inspection findings ,"inspectors of health, social care, children and young peoples services",16
scdinspc5  manage personal caseload.pdf,manage personal caseload as an inspector,"inspectors of health, social care, children and young peoples services",17
scdinspd1_evaluate_information_of_concern_received_about_provider_services[1].pdf,evaluate information of concern received about provider services,"inspectors of health, social care, children and young peoples services",16
scdinspd2_plan_investigation_of_service[1].pdf,plan investigation of service,"inspectors of health, social care, children and young peoples services",16
scdinspd3 contribute to investigation of service failures.pdf,contribute to investigation of service failures,"inspectors of health, social care, children and young peoples services",16
scdinspe1_promote_compliance_through_use_of_regulatory_framework.pdf,promote compliance through use of regulatory framework,"inspectors of health, social care, children and young peoples services",16
scdinspe2_support_compliance_through_legal_procedures.pdf,support compliance through legal procedures,"inspectors of health, social care, children and young peoples services",16
"scdinspe3 act to secure the health, safety and wellbeing of individuals.pdf","act to secure the health, safety and wellbeing of individuals","inspectors of health, social care, children and young peoples services",16
scdinspf1_engage_with_people_who_use_services_in_inspection_activities[1].pdf,engage with people who use services and their carers in inspection activities,"inspectors of health, social care, children and young peoples services",16
scdinspf2.pdf,work in partnership to carry out joint inspections,"inspectors of health, social care, children and young peoples services",16
scdinspg1 contribute to the improvement of services.pdf,contribute to the improvement of services,"inspectors of health, social care, children and young peoples services",16
scdlmc a3.pdf,actively engage in the safe selection and recruitment of workers and their retention in care services,leadership and management for care services,20
scdlmca2 lead and manage change within care services v1 19 08 2012.pdf,lead and manage change within care services ,leadership and management for care services,21
scdlmca4 manage a dispersed workforce to meet the needs and preferences of individuals at home.pdf,manage a dispersed workforce to meet the needs and preferences of individuals at home,leadership and management for care services,21
"scdlmca5 manage the allocation, progression and quality of work in care service provision.pdf","manage the allocation, progression and quality of work in care service provision ",leadership and management for care services,21
scdlmcb2 lead and manage service provision that promotes the well being of individuals.pdf,lead and manage service provision that promotes the well being of individuals,leadership and management for care services,21
scdlmcb3 lead and manage the provision of care services that deals effectively with transitions.pdf,lead and manage the provision of care services that deals effectively with transitions and significant life events,leadership and management for care services,15
scdlmcb4 lead and manage practice that involves key people in care service provision.pdf,lead and manage practice that involves key people in care service provision to achieve positive outcomes for individuals,leadership and management for care services,21
scdlmcb5 lead and manage systems procedures and practice for assessments plans and reviews within care services.pdf,"lead and manage systems, procedures and practice for assessments, plans and reviews within care services",leadership and management for care services,21
scdlmcb6 lead and manage provision of care services that supports the development of children and young people.pdf,lead and manage provision of care services that supports the development of children and young people,leadership and management for care services,19
scdlmcb7 lead and manage group living provision within care services v1 03.08.2012.pdf,lead and manage group living provision within care services,leadership and management for care services,21
scdlmcb8 lead and manage provision of care services that supports the development of positive behaviour.pdf,lead and manage provision of care services that supports the development of positive behaviour,leadership and management for care services,21
scdlmcc1 lead practice for health and safety in the work setting v1.pdf,lead and manage practice for health and safety in the work setting,leadership and management for care services,21
scdlmcd1 lead and manage work with networks communities other professionals and organisations.pdf,"lead and manage work with networks, communities, other professionals and organisations for care service provision",leadership and management for care services,21
scdlmcd2 manage arrangements for workers in care services placed within external multidisciplinary teams.pdf,manage arrangements for workers in care services placed within external multi-disciplinary teams,leadership and management for care services,21
