index,NOS Title,One_suite,hierarchical
assess-the-configuration-of-metered-areas-eusldc1.pdf,assess the configuration of metered areas,leakage detection and control,3
control-delivery-of-utility-network-activities-against-operational-plans-and-quality-requirements-eusmunc2.pdf,control delivery of utility network activities against operational plans and quality requirements,multi utility network construction,16
determine-and-manage-control-and-protection-resources-for-utilities-network-construction--eusmunc5.pdf,determine and manage control and protection resources for utilities network construction ,multi utility network construction,15
eusence1.pdf,maintain and develop own technical and operational engineering expertise related to electricity network assets,electricity network control engineer,16
eusence10.pdf,commission assets on the electricity network,electricity network control engineer,16
eusence11.pdf,de-commission assets on the electricity network,electricity network control engineer,16
eusence12.pdf,configure electricity networks to asset owner's requirements,electricity network control engineer,16
eusence13.pdf,determine the requirements for operations and maintenance of electricity network assets,electricity network control engineer,16
eusence14.pdf,schedule operations and maintenance activities on electricity network assets,electricity network control engineer,16
eusence15.pdf,investigate incidents relating to electricity network assets,electricity network control engineer,14
eusence16.pdf,build and manage teams,electricity network control engineer,6
eusence17.pdf,lead meetings,electricity network control engineer,22
eusence19.pdf,manage finance for your area of responsibility,electricity network control engineer,7
eusence2.pdf,obtain the resources to carry out work on electricity network assets,electricity network control engineer,16
eusence21.pdf,monitor and solve customer service problems,electricity network control engineer,1
eusence3.pdf,implement work on electricity network assets,electricity network control engineer,16
eusence4.pdf,evaluate operational processes used on electricity network assets,electricity network control engineer,17
eusence5.pdf,specify methods and procedures to reduce risk on electricity network assets,electricity network control engineer,16
eusence8.pdf,solve electricity network engineering problems with engineering solutions,electricity network control engineer,16
eusence9.pdf,specify methods and procedures to operate and maintain electricity network assets,electricity network control engineer,16
eusgnc001.pdf,create an efficient and effective work environment for site operations on gas network construction,gas network construction,15
eusgnc002.pdf,maintain a safe and secure working environment during site operations on gas network construction,gas network construction,15
eusgnc003.pdf,establish and maintain effective working relationships on gas network construction sites ,gas network construction,15
eusgnc005.pdf,install equipment for safe working on construction sites during gas network construction,gas network construction,15
eusgnc006.pdf,locate and avoid supply apparatus in non routine operations for gas network construction,gas network construction,13
eusgnc008.pdf,reinstate excavation and pavement surfaces in site operations gas network construction,gas network construction,13
eusgnc009.pdf,operate powered tools and equipment and small mobile plant for site operations on gas network construction,gas network construction,11
eusgnc010.pdf,join materials by electrofusion processes for site operations in gas network construction,gas network construction,5
eusgnc011.pdf,joint materials by butt fusion  processes in non routine operations for gas network construction,gas network construction,5
eusgnc012.pdf,install engineering components and assets in gas network construction,gas network construction,16
eusgnc013.pdf,conduct specified testing of gas network engineering components and assets in gas network construction,gas network construction,16
eusgnc014.pdf,conduct and commission specified connections to gas network assets,gas network construction,16
eusgnc015.pdf,determine technical requirements needed to achieve objectives in gas network construction operations,gas network construction,15
eusgnc016.pdf,determine resource requirements needed to achieve objectives in gas network construction,gas network construction,16
eusgnc017.pdf,plan engineering activities for gas network construction,gas network construction,15
eusgnem01.pdf,obtain the resources to carry out work on the utility network assets,gas networks engineering management,16
eusgnem02.pdf,implement work on utility network assets,gas networks engineering management,16
eusgnem03.pdf,evaluate operational processes used on utility network assets,gas networks engineering management,17
eusgnem04.pdf,specify methods and procedures to reduce risk on utility network assets,gas networks engineering management,16
eusgnem05.pdf,implement improvements to the quality of work carried out on utility network assets,gas networks engineering management,16
