Accred Code,Developer Code,Mandatory/ Optional/ Additional Unit ,Unit Title,"SCQF
 Level",SCQF Credit,Date of SCQF Approval ,"Imported From 
(Developer Name)"
Mandatory Section for all pathways (4 Units must be completed),,,,,,,
,"SEMMAN123-01
Unit 1",M ,Complying with Statutory Regulations and Organisational Safety Requirements ,5,5,27/8/2014,
,"SEMMAN23-02
Unit 2",M,Using and Interpreting Engineering Data and Documentation ,5,5,27/8/2014,
,"SEMMAN3-03
Unit 3",M,Working Efficiently and Effectively in Engineering   ,5,5,27/8/2014,
,"SEMAE3004
Unit 4",M,Reinstating the Work Area on Completion of Activities ,5,5,2/9/2014,
"Pathway 1 - Aircraft Manufacture Mechanical
Candidates must complete the 4 mandatory units above plus 4 optional units (a total of 8 units)  ",,,,,,,
Candidates must complete 4 optional units,,,,,,,
,"SEMAE3005
Unit 5",O,Marking Out Composite and/or Metallic Aircraft Components,6,50,2/9/2014,
,"SEMAE3008
Unit 8",O,Installing Aircraft Mechanical Fasteners into Composite and/or Metallic Components ,6,56,2/9/2014,
,"SEMAE3010
Unit 10",O,Producing Composite and/or Metallic Aircraft Sub-assemblies  ,6,57,2/9/2014,
,"SEMAE3011
Unit 11",O,Producing Composite and/or Metallic Aircraft Major Assemblies  ,6,59,2/9/2014,
,"SEMAE3013
Unit 13",O,Repairing Airframes and Structures ,6,57,2/9/2014,
,"SEMAE3026
Unit 26",O,Producing Aircraft Composite Assemblies ,6,58,2/9/2014,
,"SEMAE3039
Unit 39",O,Drilling and Finishing Holes in Composite and/or Metallic Aircraft Structures or Components ,6,58,2/9/2014,
,"SEMCOMP 3-19
Unit 93",O,Applying Finishes to Composite Mouldings,6,55,10/9/2014,
,"SEMCOMP3-08
Unit 202
",O,Producing Composite Mouldings using Pre-Preg Laminating Techniques,6,59,10/9/2014,
,"SEMCOMP3-04
Unit 203",O,Producing Composite Mouldings using Wet Lay up Laminating Techniques,6,60,10/9/2014,
,"SEMCOMP3-06
Unit 204",O,Producing composite mouldings using resin flow infusion techniques,6,58,10/9/2014,
,"SEMCOMP3-15
Unit 205",O,Trimming composite mouldings using hand tools,6,44,10/9/2014,
,"SEMCOMP3-21
Unit 206",O,Identifying defects in composite mouldings,6,44,10/9/2014,
,"SEMCOMP3-20
Unit 207",O,Repairing composite mouldings,6,44,10/9/2014,
,"SEMCOM 3-16
Unit 208",O,Bonding composite mouldings,6,60,10/9/2014,
,"SEMCOMP3-07
Unit 350",O,Producing composite mouldings using resin film infusion techniques,6,59,10/9/2014,
,"SEMCOMP3-14
Unit 351",O,Using curing and consolidation equipment for composite mouldings,6,57,10/9/2014,
,"SEMCOMP3-17
Unit 352",O,Producing composite assemblies,6,55,10/9/2014,
,"SEMCOMP3-18
Unit 353",O,Installing composite mouldings,6,55,10/9/2014,
"Pathway 2 - Aircraft Power Plant
Candidates must complete the 4 mandatory units above plus 2 optional units (a total of 6 units)",,,,,,,
Candidates must complete 2 optional units,,,,,,,
,"SEMAE3031
Unit 31",O,Producing aircraft engine compressor assemblies,6,56,2/9/2014,
,"SEMAE3032
Unit 32",O,Producing aircraft engine combustion assemblies,6,56,2/9/2014,
,"SEMAE3033
Unit 33",O,Producing aircraft engine turbine assemblies,6,59,2/9/2014,
,"SEMAE30
34
Unit 34",O,Producing aircraft engine gearbox assemblies,6,56,2/9/2014,
,"SEMAE3036
Unit 36",O,Producing aircraft engine major assemblies,6,56,2/9/2014,
,"SEMAE3037
Unit 37",O,Dressing aircraft engines,6,55,2/9/2014,
,"SEMMME3-072
Unit 354",O,Repairing and modifying mechanical assemblies ,6,52,2/9/2014,
,"SEMAE3161
Unit 161",O,Carrying out test bed runs on aircraft engines (uninstalled),6,46,2/9/2014,
,"SEMAE3162
Unit 162",O,Overhauling aircraft gas turbine engines by module replacement,6,79,2/9/2014,
,"SEMAE3163
Unit 163",O,Overhauling aircraft gas turbine engine compressor assemblies,6,72,2/9/2014,
,"SEMAE3164
Unit 164",O,Overhauling aircraft gas turbine engine combustion assemblies,6,77,2/9/2014,
,"SEMAE3165
Unit 165",O,Overhauling aircraft gas turbine engine turbine assemblies,6,77,2/9/2014,
,"SEMAE3166
Unit 166",O,Overhauling aircraft gas turbine engine gearbox assemblies,6,73,2/9/2014,
