Accred Code,SSC/B Code,Mandatory/ Optional/ Additional Unit ,Unit Title,"SCQF
 Level",SCQF Credit,Date of SCQF Approval 
,"SEMMAN123-01 
(Unit 1)
",M ,"Complying with statutory regulations and organisational safety requirements 
",5,5,15/9/2010
,,,,,,
"Optional Section - 11 units must be selected. (This must include a minimum of 3 units from Option Group A, a minimum of 1 unit from Option Group B and a minimum of 1 unit from Option Group C)",,,,,,
,,,,,,
Barred Combinations:,,,,,,
"Only one unit from 8, 15 and 21 can be included in the learner’s choice of 11 units",,,,,,
Only one unit from 26 and 49 can be included in the learner’s choice of 11 units,,,,,,
Only one unit from 28 and 46 can be included in the learner’s choice of 11 units,,,,,,
Only one unit from 33 and 48 can be included in the learner’s choice of 11 units,,,,,,
Only one unit from 34 and 50 can be included in the learner’s choice of 11 units,,,,,,
If unit 37 is selected units 67 to 85 cannot be included in the learner’s choice of 11 units,,,,,,
If unit 54 is selected units 59 to 66 cannot be included in the learner’s choice of 11 units,,,,,,
If unit 56 is selected unit 24 or 25 cannot be included in the learner’s choice of 11 units,,,,,,
"Only two units from 98, 99 and 100 may be selected in the learners choice of units ",,,,,,
,,,,,,
Option Group A - Candidates must take a minimum of 3 Units,,,,,,
,"SEMEM4-21
 (Unit 2)",O,Identify and Define Areas of Engineering Research,8,8,22/1/2014
,"SEMEM4-22
(Unit 3)",O,Develop a Research Methodology for Engineering,8,6,22/1/2014
,"SEMEM4-23 
(Unit 4)",O,Propose and Specify Engineering Research,8,8,22/1/2014
,"SEMEM4-06 
(Unit 5)",O,Undertake Engineering Research,8,8,22/1/2014
,"SEMEM4-24
(Unit 6)",O,Evaluate the Results of Engineering Research,8,8,22/1/2014
,"SEMEM4-04 
(Unit 7)",O,Identifying Engineering Design Requirements of Clients,9,8,22/1/2014
,"SEMEM4-07 
(Unit 8)",O,Establish an Engineering Design Brief,9,8,22/1/2014
,"SEMEM4-25
(Unit 9)",O,Develop a Strategy for the Engineering Design Process,9,8,22/1/2014
,"SEMEM4-08
(Unit 10)",O,Create Engineering Designs,8,10,22/1/2014
,"SEMEM4-09
(Unit 11)",O,Evaluate Engineering Designs,9,10,22/1/2014
,"SEMPDI4_05
(Unit 12)",O,Contribute to a Team Feasibility Review of a New Product Design,8,8,22/1/2014
,"SEMPDI4_14 
(Unit 13)",O,Control the New Product Design Change Process,8,9,22/1/2014
,"SEMPDI4_15
(Unit 14)",O,Plan and Control New Product Design Benchmarking Activities,9,8,22/1/2014
,"SEMPDI4_16 
(Unit 15)",O,Establish New Product Development and Introduction Brief,9,8,22/1/2014
,"SEMPDI4_17
(Unit 16)",O,Produce and Evaluate Conceptual Design Options for New Products,8,8,22/1/2014
,"SEMPDI4_18
(Unit 17)",O,Verify New Product Designs using a Computer Model,8,10,22/1/2014
,"SEMPDI4_19
(Unit 18)",O,Verify New Product Designs using a Physical Model,8,10,22/1/2014
,"SEMPDI4_20
(Unit 19)",O,Produce New Product Designs for Manufacture and Assembly,8,9,22/1/2014
,"SEMPDI4_26
(Unit 20)",O,Plan and Control New Product Manufacturing Process Benchmarking Activities,8,10,22/1/2014
