Accred Code,Developer Code,Mandatory/ Optional/ Additional Unit ,Unit Title,"SCQF
 Level",SCQF Credit,Date of SCQF Approval ,"Imported From 
(Developer Name)"
Mandatory Section - 3 units,,,,,,,
,SEMMAN123-01,M ,Complying with statutory regulations and organisational safety requirements,5,5,27/8/2014,
,SEMMAN23-02,M,Using and interpreting engineering data and documentation,5,5,27/8/2014,
,SEMMAN3-03,M,Working efficiently and effectively in engineering,5,5,27/8/2014,
"Optional Section - 5 units must be selected (units may be chosen from Option Group A and/or Group B)
Units selected from Group B must be assessed in the learner's place of work",,,,,,,
Option Group A,,,,,,,
,SEMPEO2-04,O,Producing mechanical engineering drawings using a CAD system ,5,29,6/1/2016,
,SEMPEO2-05,O,Producing components using hand fitting techniques,5,22,6/1/2016,
,SEMPEO2-06,O,Producing mechanical assemblies,5,23,6/1/2016,
,SEMPEO2-07,O,Forming and assembling pipework systems,5,27,6/1/2016,
,SEMPEO2-08,O,Carrying out aircraft detail fitting activities,5,30,6/1/2016,
,SEMPEO2-09,O,Installing aircraft mechanical fasteners,5,22,6/1/2016,
,SEMPEO2-10,O,Producing aircraft detail assemblies,5,28,6/1/2016,
,SEMPEO2-11,O,Preparing and using lathes for turning operations,5,29,6/1/2016,
,SEMPEO2-12,O,Preparing and using milling machines,5,28,6/1/2016,
,SEMPEO2-13,O,Preparing and using grinding machines,5,31,6/1/2016,
,SEMPEO2-14,O,Preparing and proving CNC machine tool programs,5,30,6/1/2016,
,SEMPEO2-15,O,Preparing and using CNC turning machines,5,34,6/1/2016,
,SEMPEO2-16,O,Preparing and using CNC milling machines,5,34,6/1/2016,
,SEMPEO2-17,O,Preparing and using CNC machining centres,5,34,6/1/2016,
,SEMPEO2-18,O,Preparing and using industrial robots,5,34,6/1/2016,
,SEMPEO2-19,O,Maintaining mechanical devices and equipment,5,31,6/1/2016,
,SEMPEO2-20,O,Assembling and testing fluid power systems,5,36,6/1/2016,
,SEMPEO2-21,O,Maintaining fluid power equipment,5,36,6/1/2016,
,SEMPEO2-22,O,Producing sheet metal components and assemblies,5,25,6/1/2016,
,SEMPEO2-23,O,Producing platework components and assemblies,5,36,6/1/2016,
,SEMPEO2-24,O,Cutting and shaping materials using thermal cutting equipment,5,36,6/1/2016,
,SEMPEO2-25,O,Preparing and proving CNC fabrication machine tool programs,5,31,6/1/2016,
,SEMPEO2-26,O,Preparing and using CNC fabrication machinery,5,34,6/1/2016,
,SEMPEO2-27,O,Preparing and using manual metal arc welding equipment,5,29,6/1/2016,
,SEMPEO2-28,O,Preparing and using manual TIG or plasma-arc welding equipment,5,33,6/1/2016,
,SEMPEO2-29,O,"Preparing and using semi-automatic MIG, MAG and flux cored arc welding equipment ",5,34,6/1/2016,
,SEMPEO2-30,O,Preparing and using manual oxy/fuel gas welding equipment,5,29,6/1/2016,
,SEMPEO2-31,O,Preparing and using manual flame brazing and braze welding equipment,5,30,6/1/2016,
,SEMPEO2-32,O,Producing electrical or electronic engineering drawings using a CAD system ,5,32,6/1/2016,
,SEMPEO2-33,O,Wiring and testing electrical equipment and circuits ,5,32,6/1/2016,
,SEMPEO2-34,O,Forming and assembling electrical cable enclosure and support systems,5,27,6/1/2016,
,SEMPEO2-35,O,"Assembling, wiring and testing electrical panels/components mounted in enclosures",5,31,6/1/2016,
