Accred Code,Developer Code,Mandatory/ Optional/ Additional Unit ,Unit Title,"SCQF
 Level",SCQF Credit,Date of SCQF Approval ,"Imported From 
(Developer Name)"
Mandatory Section for all pathways (3 Units must be completed),,,,,,,
,"SEMMAN123-01
Unit 1",M ,Complying with Statutory Regulations and Organisational Safety Requirements ,5,5,27/8/2014,
,"SEMMAN23-02
Unit 2",M,Using and Interpreting Engineering Data and Documentation ,5,5,27/8/2014,
,"SEMMAN3-03
Unit 3",M,Working Efficiently and Effectively in Engineering   ,5,5,27/8/2014,
"Pathway 1 - Electrical/Electronic Installation and Testing
Candidates must complete the 3 mandatory units above plus 1 further mandatory unit and 2 optional units (a total of 6 Units)",,,,,,,
Candidates must complete the following mandatory unit,,,,,,,
,"SEMME3004
Unit 4",M,Installing Cable Runs and Circuits in Marine Structures ,6,55,27/8/2014,
Candidates must complete 2 optional units,,,,,,,
,"SEMME3005
Unit 5",O,Installing Marine Power Generation and Distribution Equipment and Systems  ,6,54,27/8/2014,
,"SEMME3006
 6",O,Installing Marine Communication Equipment and Systems,6,57,27/8/2014,
,"SEMME3007
Unit 7",O,Installing Marine Navigational Equipment and Systems ,6,61,27/8/2014,
,"SEMME3008
Unit 8",O,Installing Marine Sensor Equipment and Systems ,6,57,27/8/2014,
,"SEMME3009
Unit 9",O,Installing Marine Computer Equipment and Systems ,6,57,27/8/2014,
,"SEMME3010
Unit 10",O,Installing Marine Weapons Equipment and Systems ,6,57,27/8/2014,
,"SEMME3012
Unit 12",O,"Installing Marine Lighting, Alarm, Detection and Monitoring Equipment and Systems ",6,54,27/8/2014,
,"SEMME3013
Unit 13",O,"Setting to Work, Testing and Trialling Marine Electrical Power Generation and Distribution Equipment and Systems",7,68,27/8/2014,
,"SEMME3014
Unit 14",O,"Setting to Work, Testing and Trialling Marine Communication Equipment and Systems  ",7,68,27/8/2014,
,"SEMME3015
Unit 15",O,"Setting to Work, Testing and Trialling Marine Navigational Equipment and Systems ",7,68,27/8/2014,
,"SEMME3020
Unit 20",O,"Setting to Work, Testing and Trialling Marine Lighting, Alarm, Detection and Monitoring Equipment and Systems",7,66,27/8/2014,
"Pathway 2 - Electrical Maintenance and Overhaul
Candidates must complete the 3 mandatory units above plus 2 further mandatory units plus 3 optional units (a total of 8 units)",,,,,,,
Candidates must complete the following 2 mandatory units,,,,,,,
,"SEMME3033
Unit 33",M,"Maintaining Marine Lighting, Alarm, Detection and Monitoring Equipment and Systems   ",6,60,27/8/2014,
,"SEMME338
Unit 38",M,Overhauling Marine Electrical Rotating Machines and Domestic Equipment ,6,62,27/8/2014,
Candidates must complete 3 optional units,,,,,,,
,"SEMME3021
Unit 21",O,Diagnosing Faults on Marine Electrical Equipment and Circuits ,7,62,27/8/2014,
,"SEMME3022
Unit 22",O,Modifying and Rewiring Marine Electrical Circuits  ,6,52,27/8/2014,
,"SEMME3004
Unit 4",O,Installing Cable Runs and Circuits in Marine Structures ,6,55,27/8/2014,
,"SEMME3023
Unit 23",O,Testing Marine Electrical and Electronic Equipment and Circuits ,6,50,27/8/2014,
"Pathway 3 - Pipework
Candidates must complete the 3 mandatory units above plus 4 further mandatory units plus 2 optional units (a total 9 units)",,,,,,,
