Accred Code,SSC/B Code,Mandatory/ Optional/ Additional Unit ,Unit Title,"SCQF
 Level",SCQF Credit,Date of SCQF Approval 
H6AJ04,COSVR700,Mandatory,"Maintain systems for health, safety, welfare and environmental protection",7,8,17/4/2013
H6AK04,COSVR701,Mandatory,Assess and recommend work methods,7,11,17/4/2013
H6AL04,COSVR702,Mandatory,Plan work activities and resources to meet work requirements,7,12,17/4/2013
H6AM04,COSVR703,Mandatory,Co-ordinate work control,7,12,17/4/2013
H6AN04,COSVR704,Mandatory,Control work progress against agreed programmes,7,9,17/4/2013
H6AP04,COSVR705,Mandatory,"Allocate and monitor the use of plant, equipment or machinery",7,9,17/4/2013
F3H004,COSVR210,Mandatory,Develop and maintain good working relationships,6,8,27/6/2018
F3DL04,COSVR706,Mandatory,Maintain supplies of materials to meet project requirements,6,8,22/10/2010
F3DK04,COSVR707,Mandatory,Implement communication systems for the project,6,7,22/10/2010
F3DN04,COSVR708,Mandatory,Maintain the dimensional accuracy of the work,6,8,22/10/2010
H6AR04,COSVR709,Mandatory,Control work against agreed quality standards,7,9,17/4/2013
F3DB04,COSVR710,Mandatory,Contribute to controlling work quantities and costs,6,9,22/10/2010
F3DF04,COSVR711,Mandatory,Co-ordinate preparation for site operations,6,8,22/10/2010
F3D904,COSVR713,Mandatory,Allocate work and check people’s performance ,8,9,22/10/2010
Additional Extras - Not Compulsory,,,,,,
H6AS04,COSVR712,Additional,Manage own professional development,6,7,22/10/2010
H6AV04,COSVR714,Additional,Enable learning opportunities,7,7,17/4/2013
F3DC04,COSVR715,Additional,Contribute to the identification of a work team,7,8,22/10/2010
F3DS04,COSVR716,Additional,Plan highways maintenance or repair activities,9,12,22/10/2010
F3DY04,COSVR717,Additional,Supervise highways maintenance or repair activities,6,12,22/10/2010
H6AT04,COSVR718,Additional,Hand over property,7,8,17/4/2013
H6AY04,COSVR719,Additional,Provide customer service in construction,8,9,22/10/2010
F3DT04,COSVR720,Additional,Plan historical conservation/restoration activities,9,12,22/10/2010
F3E004,COSVR721,Additional,Supervise historical conservation/restoration activities,6,12,22/10/2010
F3DR04,COSVR722,Additional,Plan demolition activities,9,12,22/10/2010
F3DX04,COSVR723,Additional,Supervise demolition activities,6,12,22/10/2010
H6B204,COSVR724,Additional,Supervise tunnelling activities,,,
Qualification Structure and SCQF Credit Rating (Accreditation),,,,,,
Awarding Body Name,,,SQA/CIOB/ICE,Date Structure Approved,,17/4/2013
Qualification Title,,,SVQ in Construction Site Supervision (Construction): Building and Civil Engineering at SCQF level 7,SCQF Overall Level,,7
Group Award Code,,,GJ1C 23,SCQF Overall Credit,,127
Date Accredited From,,,8/1/2014,,,
Accreditation End Date,,,31/1/2020,,,
Accreditation Cert End Date,,,31/1/2024,,,
,,,,,,
Structure Information (including how many Units are to be selected),,,,,,
