Accred Code,SSC/B Code,Mandatory/ Optional/ Additional Unit ,Unit Title,"SCQF
 Level",SCQF Credit,Date of SCQF Approval 
Mandatory Section - candidates must complete 3 units  ,,,,,,
,PPLREC01,M,Prepare to Undertake Duties in the Rail Engineering Industry,5,3,4/12/2013
,PPLREC10,M,Contribute to Safe Working Practices in the Rail Engineering Industry,5,3,4/12/2013
,PPLREEP10,M,Assist in Preparing Resources for Electrification and Plant Engineering Activities,5,18,10/12/2014
 Group 1 (candidates must complete 1 unit),,,,,,
,PPLREEP07,O,Carry out Installation of Electrification and Plant Assets,6,21,10/12/2014
,PPLREEP04,O,Assist in Preventative and Corrective Maintenance of Traction Cabling Systems,5,19,10/12/2014
,,,,,,
Qualification Structure and SCQF Credit Rating (Accreditation),,,,,,
Awarding Body Name,,,EAL,Date Structure Approved,,10/12/2014
Qualification Title,,,SVQ 2 Rail Engineering: Electrification Construction Maintenance at SCQF Level 5,SCQF Overall Level,,5
Group Award Code,,,GK58 22,SCQF Overall Credit,,43 - 45
Date Accredited From,,,26/2/2015,,,
Accreditation End Date,,,28/2/2020,,,
Accreditation Cert End Date,,,28/2/2022,,,
,,,,,,
Structure Information  ( 3 mandatory units plus 1 unit from group 1 - a total of 4 units),,,,,,
