Accred Code,SSC/B Code,Mandatory/ Optional/ Additional Unit ,Unit Title,SCQF Level,SCQF Credit,Date of SCQF Approval ,"Imported From 
(SSC/B Name)"
Mandatory Section (3 Units must be completed for all pathways),,,,,,,
,SEMMAN123-01,M ,Complying with Statutory Regulations and Organisational Safety Requirements ,5,5,27/8/2014,
,SEMMAN23-02 ,M,Using and interpreting engineering data and documentation,5,5,27/8/2014,
,SEMMAN3-03,M,Working Efficiently and Effectively in Engineering,5,5,27/8/2014,
"Pathway 1 - Pipe and Tube Fabrication
Candidates must complete the 3 mandatory units above plus 5 from the Optional Section (Optional Section 1 Unit must be chosen from Option Group A,  1 from Option Group B, 2 from Option Group C and 1 from Option Group D) (a total of 8 units)",,,,,,,
Option Group A Candidates must select 1 unit,,,,,,,
,SEMFWE322,O,Marking Out Components for Metalwork ,6,47,13/1/2016,
,SEMFWE327,O,Developing and Marking Out Templates for Metalwork ,6,49,13/1/2016,
Option Group B Candidates must select 1 unit,,,,,,,
,SEMFWE333,O,Cutting and Shaping Materials using Portable Thermal Cutting Equipment ,6,35,13/1/2016,
,SEMFWE334,O,Cutting Materials using Saws and Abrasive Discs ,6,32,13/1/2016,
Option Group C Candidates must select 2 units,,,,,,,
,SEMFWE344,O,Forming Pipework by Machine Bending ,6,40,13/1/2016,
,SEMFWE345,O,Producing Pipe Fabrications ,6,40,13/1/2016,
,SEMFWE337,O,Producing and Finishing Holes using Drilling Machines ,6,36,13/1/2016,
Option Group D Candidates must select 1 unit,,,,,,,
,SEMFWE328,O,Joining Fabricated Components using Mechanical Fasteners ,6,36,13/1/2016,
,SEMFWE346,O,Producing Socket and Flange Fillet Welded Joints in Pipe using a Manual Welding Process,6,49,13/1/2016,
,SEMFWE329,O,Bonding Engineering Materials using Adhesives ,6,38,13/1/2016,
,SEMFWE339,O,"Slinging, Lifting and Moving Materials and Components ",6,29,13/1/2016,
"Pathway 2 - Manual Welding
Candidates must complete the 3 Mandatory Units above plus 1 further optional units (4 units in total)",,,,,,,
Candidates must complete 1 of the following optional units,,,,,,,
,SEMFWE304,O,Welding Materials by the Manual Metal Arc Process ,6,57,13/1/2016,
,SEMFWE305,O,Welding Materials by the Semi-automatic MIG/MAG and flux cored arc Processes,6,57,13/1/2016,
,SEMFWE306,O,Welding Materials by the Manual TIG and Plasma Arc Welding Process ,6,57,13/1/2016,
,SEMFWE307,O,Welding Materials by the Manual Oxy/fuel Gas Welding Process,6,57,13/1/2016,
,SEMFWE308,O,Welding Pipe/Tube using Multiple Manual Arc Welding Processes ,6,64,13/1/2016,
,SEMFWE309,O,Welding Plate using Multiple Manual Arc Welding Processes ,6,64,13/1/2016,
"Pathway 3 - Welding Machine Setting and Operating
Candidates must complete the 3 Mandatory Units above plus 2 further optional  units -  1 from Group A and 1 from Group B (5 units in total)",,,,,,,
Candidates must complete 1 of the following optional units,,,,,,,
,SEMFWE310,O,Preparing Mechanised Arc Welding Equipment for Production,6,48,13/1/2016,
,SEMFWE311,O,"Preparing Resistance Spot, Seam and Projection Welding Machines for Production",6,48,13/1/2016,
Plus 1 more unit from the following Group B,,,,,,,
,SEMFWE316,O,Welding Materials with Mechanised Arc Welding Equipment ,6,40,13/1/2016,
,SEMFWE317,O,"Welding Materials using Resistance Spot, Seam and Projection Welding Machines ",6,40,13/1/2016,
"Pathway 4 - Plateworking (3mm upwards)
Candidates must complete the 3 Mandatory Units above plus 6 optional units (1 Unit must be chosen from Option Group A,  1 from Option Group B, 2 from Option Group C and 2 from Option Group D) (9 units in total)",,,,,,,
Must complete 1 unit from the following Group A,,,,,,,
,SEMFWE322,O,Marking Out Components for Metalwork ,6,47,13/1/2016,
,SEMFWE327,O,Developing and Marking Out Templates for Metalwork ,6,49,13/1/2016,
Must complete 1 unit from the following Group B,,,,,,,
,SEMFWE332,O,Cutting Plate and Sections using Shearing Machines ,6,30,13/1/2016,
,SEMFWE333,O,Cutting and Shaping Materials using Portable Thermal Cutting Equipment ,6,35,13/1/2016,
,SEMFWE334,O,Cutting Materials using Saws and Abrasive Discs ,6,32,13/1/2016,
,SEMFWE366,O,Operating CNC Fabrication Equipment,6,44,13/1/2016,
Must complete 2 units from the following Group C,,,,,,,
,SEMFWE335,O,Bending and Forming Plate using Press Brakes or Bending Machines ,,36,13/1/2016,
,SEMFWE336,O,Forming Platework using Power Rolling Machines ,6,36,13/1/2016,
,SEMFWE337,O,Producing and Finishing Holes using Drilling Machines ,6,36,13/1/2016,
,SEMFWE338,O,Producing Platework Assemblies ,6,40,13/1/2016,
Must complete 2 units from the following Group D,,,,,,,
,SEMFWE328,O,Joining Fabricated Components using Mechanical Fasteners ,6,36,13/1/2016,
,SEMFWE331,O,Producing Fillet Welded Joints using a Manual Welding Process ,6,50,13/1/2016,
,SEMFWE339,O,"Slinging, Lifting and Moving Materials and Components ",6,29,13/1/2016,
