Accred Code,Developer Code,Mandatory/ Optional/ Additional Unit ,Unit Title,"SCQF
 Level",SCQF Credit,Date of SCQF Approval ,"Imported From 
(Developer Name)"
Mandatory Section for all pathways (3 Units must be completed),,,,,,,
,"SEMMAN123-01
Unit 1",M ,Complying with Statutory Regulations and Organisational Safety Requirements ,5,5,27/8/2014,
,"SEMMAN23-02
Unit 2",M,Using and Interpreting Engineering Data and Documentation ,5,5,27/8/2014,
,"SEMMAN3-03
Unit 3",M,Working Efficiently and Effectively in Engineering   ,5,5,27/8/2014,
"Pathway 1 - Computer Control Programming
Candidates must complete the 3 mandatory units above plus 2 from the Optional Section (1 Unit must be chosen from Option Group A and 1 from Option Group B) (a total of 5 units)",,,,,,,
Optional Section (2 units to be selected as follows),,,,,,,
Option Group A - Candidates must select 1 unit,,,,,,,
,SEMETS329,O,"Providing Operational Support for Computer Control
Programs",6,43,13/1/2016,
,SEMETS330,O,Loading and Proving Computer Control Programs,6,52,13/1/2016,
Option Group B Candidates must select 1 unit,,,,,,,
,SEMETS332,O,"Producing Off-line Programs for Programmable Logic
Controller Equipment",6,46,13/1/2016,
,SEMETS333,O,Producing Operating Programs for Industrial Robots,6,46,13/1/2016,
,SEMETS334,O,"Producing Off-line Programs for CNC Laser Profiling
Machines",6,46,13/1/2016,
,SEMETS335,O,"Producing Off-line Programs for CNC Fabrication
Machines",6,46,13/1/2016,
,SEMETS336,O,Producing Off-line Programs for CNC Turning Machines,6,46,13/1/2016,
,SEMETS337,O,Producing Off-line Programs for CNC Milling Machines,6,46,13/1/2016,
,SEMETS341,O,Producing Off-line Programs for CNC Boring Machines,6,46,13/1/2016,
,SEMETS342,O,"Producing Off-line Programs for CNC Machining
Centres",6,46,13/1/2016,
"Pathway 2 - Technical Services
Candidates must complete the 3 mandatory units above plus 1 further mandatory unit and 3 optional units (optional units must be chosen as follows - at least 1 Unit must be chosen from Option Group A ) (a total of 7 units)",,,,,,,
1 further mandatory unit - candidates must complete this unit,,,,,,,
,SEMETS343,M,Resolving engineering or manufacturing support problems,6,53,13/1/2016,
Optional Section - 3 units must be selected (at least 1 must be chosen from Group A),,,,,,,
Option Group A - at least 1 unit must be selected,,,,,,,
,SEMETS344,O,Planning Engineering Activities,6,57,13/1/2016,
,SEMETS345,O,Implementing Engineering Activities,6,59,13/1/2016,
,SEMETS346,O,Monitoring Engineering Activities,6,60,13/1/2016,
,SEMETS347,O,Producing Technical Information for Engineering Activities,7,49,13/1/2016,
,SEMETS348,O,Obtaining Resources for Engineering Activities,7,50,13/1/2016,
,SEMETS349,O,Obtaining and Controlling Materials for Engineering Activities,7,61,13/1/2016,
,SEMETS350,O,Providing Technical Sales and Marketing support for Engineering Activities,7,45,13/1/2016,
,SEMETS351,O,Implementing Quality Control Systems and Procedures in an Engineering Environment,7,49,13/1/2016,
,SEMETS352,O,Scheduling Engineering Activities,7,68,13/1/2016,
,SEMETS353,O,Determining Engineering Requirements for the Supply of Products or Services,7,64,13/1/2016,
,SEMETS354,O,Carrying out Condition Monitoring of Engineering Plant and Equipment,6,42,13/1/2016,
,SEMETS355,O,Carrying out Fault Diagnosis on Engineering Plant and Equipment,6,63,13/1/2016,
