Accred Code,SSC/B Code,Mandatory/ Optional/ Additional Unit ,Unit Title,SCQF Level,SCQF Credit,Date of SCQF Approval 
Mandatory Group 1 for all pathways (1 unit must be completed),,,,,,
,PPLREC06,M,Plan for Further Professional Development in the Rail Engineering Industry,6,7,17/12/2014
Mandatory Group 2 1 of these units must be completed for all pathways - PPLRES05 for Signalling pathways or PPLRET05 for Telecoms pathways (1 unit must be completed),,,,,,
,PPLRES05,M,Determine Requirements for Safe Access to Work Locations for Signal Engineering,5,29,17/12/2014
OR,,,,,,
,PPLRET05,M,Determine Requirements for the Safe Access to Work Locations for Telecoms Engineering,5,29,17/12/2014
"Pathway 1 - Signalling Installation
Candidates must complete the 2 mandatory units above from Mandatory Group 1 & 2 plus a further 8 Mandatory Units from this pathway plus 2 units from the Optional Group of Pathway 1 (12 units in total) ",,,,,,
,PPLRES02,M ,Establish Information for Signal Engineering Installation,6,6,17/12/2014
,PPLRES06,M,Allocate and Monitor Resources for Signal Engineering Activities,6,31,17/12/2014
,PPLRES07,M,Reinstate the Work Area after Signal Engineering Activities,5,9,17/12/2014
,PPLRES09,M,Carry out Installation of Signalling Assets,6,43,17/12/2014
,PPLRES12,M,Adjust Signalling Components and Equipment to Meet Operational Requirements,6,46,17/12/2014
,PPLRES23,M,Transfer Responsibility of Signalling Assets,6,10,17/12/2014
,PPLRES24,M,Contribute to Technical Leadership of Signal Engineering Activities,7,26,17/12/2014
,PPLRES25,M,Organise Local Signal Engineering Activities,7,38,17/12/2014
Optional Group Pathway 1 (2 Units to be selected),,,,,,
,PPLRES03,O,Establish Information for Signal Engineering Testing,6,6,17/12/2014
,PPLRES18,O,Establish Compliance with Specifications for Signalling Assets,6,21,17/12/2014
,PPLRES04,O,Plan Signal Maintenance Testing Activities,6,29,17/12/2014
,PPLRES20,O,Conduct Maintenance Testing of Signalling Assets,6,24,17/12/2014
"Pathway 2 - Signalling Maintenance and Fault Finding
Candidates must complete the 2 mandatory units above from Mandatory Group 1 & 2 plus a further 12 mandatory units from this pathway (14 units in total)  ",,,,,,
,PPLRES01,M,Establish Information for Signal Engineering Maintenance and/or Fault Finding,6,6,17/12/2014
,PPLRES04,M,Plan Signal Maintenance Testing Activities,6,29,17/12/2014
,PPLRES06,M,Allocate and Monitor Resources for Signal Engineering Activities,6,31,17/12/2014
,PPLRES07,M,Reinstate the Work Area after Signal Engineering Activities,5,9,17/12/2014
,PPLRES11,M,Carry out Planned Maintenance of Signalling Assets,6,41,17/12/2014
,PPLRES12,M,Adjust Signalling Components and Equipment to Meet Operational Requirements,6,46,17/12/2014
,PPLRES14,M,Carry Out Removal of Components from Signalling Assets,6,45,17/12/2014
,PPLRES16,M,Carry Out Replacement of Components from Signalling Assets,6,45,17/12/2014
,PPLRES22,M,Diagnose Faults in Signalling Assets,6,51,17/12/2014
,PPLRES23,M,Transfer Responsibility of Signalling Assets,6,10,17/12/2014
,PPLRES24,M,Contribute to Technical Leadership of Signal Engineering Activities,7,26,17/12/2014
,PPLRES25,M,Organise Local Signal Engineering Activities,7,38,17/12/2014
"Pathway 3 - Signalling Functional Testing
Candidates must complete the 2 mandatory units above from Mandatory Group 1 & 2 plus a further 7 mandatory units from this pathway (9 units in total) ",,,,,,
,PPLRES03,M,Establish Information for Signal Engineering Testing,6,6,17/12/2014
,PPLRES17,M,Assist with Establishing Compliance with Specifications for Signalling Equipment,5,15,17/12/2014
,PPLRES18,M,Establish Compliance with Specifications for Signalling Assets,6,21,17/12/2014
,PPLRES19,M,Conduct Functional Testing of Newly Installed Signalling Systems,6,34,17/12/2014
,PPLRES23,M,Transfer Responsibility of Signalling Assets,6,10,17/12/2014
,PPLRES24,M,Contribute to Technical Leadership of Signal Engineering Activities,7,26,17/12/2014
,PPLRES25,M,Organise Local Signal Engineering Activities,7,38,17/12/2014
"Pathway 4 - Telecoms Installation
Candidates must complete the 2 mandatory units above from Mandatory Group 1 & 2 plus a further 11 mandatory units from this pathway (13 units in total)",,,,,,
,PPLRET02,M,Establish Information for Telecoms Engineering Installation,6,6,17/12/2014
,PPLRET03,M,Establish Information for Telecoms Engineering Testing,6,6,17/12/2014
,PPLRET06,M,Allocate and Monitor Resources for Telecoms Engineering Activities,6,31,17/12/2014
,PPLRET07,M,Reinstate the Work Area after Telecoms Engineering Activities,5,9,17/12/2014
,PPLRET09,M,Carry out Installation of Telecoms Assets,6,43,17/12/2014
,PPLRET12,M,Adjust Telecoms Components and Equipment to Meet Operational Requirements,6,46,17/12/2014
,PPLRET19,M,Establish Compliance with Specifications for Newly Installed Telecoms Assets,6,21,17/12/2014
,PPLRET20,M,Conduct Specified Testing of Telecoms Systems,6,44,17/12/2014
,PPLRET22,M,Transfer Responsibility of Telecoms Assets,6,10,17/12/2014
,PPLRET23,M,Contribute to Technical Leadership of Telecoms Engineering Activities,7,26,17/12/2014
,PPLRET24,M,Organise Local Telecoms Engineering Activities,7,38,17/12/2014
"Pathway 5 - Telecoms Maintenance and Fault Finding
Candidates must complete the 2 mandatory units above from Mandatory Group 1 & 2 plus a further 13 mandatory units from this pathway (15 units in total) ",,,,,,
,PPLRET01,M,Establish Information for Telecoms Engineering Maintenance and/or Fault Finding,6,6,17/12/2014
,PPLRET04,M,Plan Telecoms Maintenance Testing Activities,6,29,17/12/2014
,PPLRET06,M,Allocate and Monitor Resources for Telecoms Engineering Activities,6,31,17/12/2014
,PPLRET07,M,Reinstate the Work Area after Telecoms Engineering Activities,5,9,17/12/2014
,PPLRET11,M,Carry out Planned Maintenance of Telecoms Assets,6,41,17/12/2014
,PPLRET12,M,Adjust Telecoms Components and Equipment to Meet Operational Requirements,6,46,17/12/2014
,PPLRET14,M,Carry Out Removal of Components from Telecoms Assets,6,45,17/12/2014
,PPLRET16,M,Carry Out Replacement of Components from Telecoms Assets,6,45,17/12/2014
,PPLRET18,M,Establish Compliance with Specifications for Maintained Telecoms Assets,6,21,17/12/2014
,PPLRET21,M,Diagnose Faults in Telecoms Assets,6,51,17/12/2014
,PPLRET22,M,Transfer Responsibility of Telecoms Assets,6,10,17/12/2014
,PPLRET23,M,Contribute to Technical Leadership of Telecoms Engineering Activities,7,26,17/12/2014
,PPLRET24,M,Organise Local Telecoms Engineering Activities,7,38,17/12/2014
"Pathway 6 - Telecoms System Testing
Candidates must complete the 2 mandatory units above from Mandatory Group 1 & 2 plus a further 5 mandatory units from this pathway (7 units in total)",,,,,,
,PPLRET03,M,Establish Information for Telecoms Engineering Testing,6,6,17/12/2014
,PPLRET06,M,Allocate and Monitor resources for Telecoms Engineering Activities,6,31,17/12/2014
,PPLRET19,M,Establish Compliance with Specifications for Newly Installed Telecoms Assets,6,21,17/12/2014
,PPLRET20,M,Conduct Specified Testing of Telecoms Systems,6,44,17/12/2014
,PPLRET22,M,Transfer Responsibility of Telecoms Assets,6,10,17/12/2014
,,,,,,
,,,,,,
,,,,,,
Qualification Structure and SCQF Credit Rating (Accreditation),,,,,,
Awarding Body Name,,,EAL,Date Structure Approved,,17/12/2014
Qualification Title,,,SVQ 3 Rail Engineering: Signalling and Telecoms at SCQF Level 6,SCQF Overall Level,,6
Group Award Code,,,GK57 23,SCQF Overall Credit,,148 - 434
Date Accredited From,,,26/2/2015,,,
Accreditation End Date,,,28/2/2020,,,
Accreditation Cert End Date,,,28/2/2023,,,
Structure Information (Candidates must complete the unit from Mandatory Group 1 and one further mandatory unit from Mandatory Group 2 and one of the optional pathways),,,,,,
