,data-driven keywords,expert-driven keywords,intersection of data- and expert-driven keywords,data-driven only keywords
2010 incremental change to the nos in interpreting,"['language' 'interpreter' 'assignment' 'mentor' 'interpreting'
 'translation' 'vehicle' 'terminology' 'motor' 'register' 'caravan' 'user'
 'trainee' 'fall' 'motorcycle' 'opinion' 'reflect' 'commitment' 'trailer'
 'truck']","['interpreting', 'trainee', 'communicate', 'preparation', 'language', 'twoway', 'development', 'sight', 'translation', 'maintain', 'working', 'relationships', 'motor', 'vehicle', 'environment']","['motor', 'trainee', 'vehicle', 'language', 'interpreting', 'translation']","['commitment', 'terminology', 'assignment', 'reflect', 'mentor', 'trailer', 'user', 'motorcycle', 'opinion', 'register', 'caravan', 'interpreter', 'fall', 'truck']"
abnormal load escorting,"['escort' 'load' 'vehicle' 'sfl' 'traffic' 'movement' 'escorting' 'duty'
 'road' 'route' 'end' 'congestion' 'police' 'convoy' 'transport'
 'roadside' 'stakeholder' 'accident' 'excursion' 'exchanger']","['abnormal', 'indivisible', 'load', 'vehicle', 'escort', 'escorting']","['escort', 'load', 'escorting', 'vehicle']","['movement', 'transport', 'sfl', 'route', 'congestion', 'accident', 'stakeholder', 'exchanger', 'roadside', 'duty', 'police', 'road', 'end', 'traffic', 'excursion', 'convoy']"
"access operations and rigging broadcast, film and video","['scaffold' 'occupation' 'arrest' 'fall' 'erect' 'conform' 'project' 'ppe'
 'plant' 'machinery' 'simulation' 'tube' 'cantilever' 'ladder' 'erecting'
 'move' 'transference' 'fire' 'pavement' 'goodwill']","['safety', 'security', 'working', 'practices', 'materials', 'equipment', 'legislation', 'emergencies', 'work', 'scaffolds', 'erecting', 'preparing', 'dismantling', 'procedures', 'basic', 'scaffold', 'ladders', 'hand', 'tools', 'ancillary']","['scaffold', 'erecting']","['project', 'simulation', 'goodwill', 'machinery', 'pavement', 'transference', 'conform', 'ladder', 'move', 'cantilever', 'erect', 'arrest', 'tube', 'occupation', 'ppe', 'fall', 'fire', 'plant']"
accessing operations and rigging construction,"['scaffold' 'occupation' 'anchor' 'erect' 'ppe' 'height' 'tie' 'tube'
 'dismantle' 'rope' 'conductor' 'install' 'fall' 'accident' 'rigging'
 'installation' 'erecting' 'earth' 'instrument' 'roof']","['scaffolds', 'erect', 'tube', 'fitting', 'scaffold', 'erecting', 'boards', 'ladders', 'stability', 'ropes', 'accessplatforms', 'scaffolding', 'fall', 'protection', 'rigging', 'rope', 'cradle', 'lightningconductor', 'airterminations', 'systems']","['scaffold', 'erect', 'rigging', 'tube', 'rope', 'erecting', 'fall']","['installation', 'earth', 'conductor', 'tie', 'install', 'occupation', 'dismantle', 'accident', 'height', 'ppe', 'roof', 'instrument', 'anchor']"
accident repair body,"['vehicle' 'panel' 'repair' 'motor' 'bonnet' 'mig' 'joining' 'fitting'
 'rectification' 'sector' 'brazing' 'aluminium' 'removal' 'caravan'
 'removing' 'implicit' 'metal' 'motorcycle' 'spot' 'cleaning']","['remove', 'trim', 'met', 'components', 'vehicles', 'motor', 'non', 'permanently', 'fixed', 'vehicle', 'body', 'panels', 'replace', 'exterior', 'repairs', 'identify', 'misalignment', 'welding', 'operations', 'mig']","['mig', 'motor', 'vehicle']","['implicit', 'brazing', 'metal', 'sector', 'motorcycle', 'joining', 'repair', 'removing', 'fitting', 'removal', 'panel', 'cleaning', 'rectification', 'bonnet', 'aluminium', 'caravan', 'spot']"
accident repair joining,"['spot' 'resistance' 'joining' 'weld' 'peel' 'vehicle' 'excretion'
 'exclusivity' 'exclusion' 'exclude' '·production' 'excretory'
 'excitation' 'excise' 'exchanger' 'exchange' 'excess' 'excitement'
 'execute' 'excursion']","['motor', 'vehicle', 'body', 'resistance', 'spot', 'welding', 'operations']","['spot', 'resistance', 'vehicle']","['excretion', 'exchanger', 'excise', 'joining', 'exclude', '·production', 'excitation', 'weld', 'exclusion', 'execute', 'excess', 'exclusivity', 'exchange', 'excursion', 'peel', 'excretory', 'excitement']"
"accident repair mechanical, electrical and trim","['vehicle' 'removal' 'refitting' 'renew' 'refrigerant' 'renewal' 'gas'
 'removing' 'alignment' 'refit' 'fitment' 'glass' 'examination' 'fitting'
 'protective' 'remove' 'mac' 'engine' 'air' 'flushing']","['remove', 'renew', 'refit', 'mechanical', 'components', 'following', 'accident', 'damage', 'electrical', 'trim', 'electromechanical', 'electronic', 'reinstate', 'systems', 'type', 'directly', 'safety', 'handle', 'automotive', 'refrigerants']","['renew', 'remove', 'refit']","['flushing', 'air', 'glass', 'renewal', 'removing', 'refitting', 'alignment', 'fitting', 'fitment', 'refrigerant', 'protective', 'removal', 'examination', 'vehicle', 'gas', 'engine', 'mac']"
accident repair paint,"['vehicle' 'foundation' 'panel' 'paint' 'rectification' 'delay'
 'substrate' 'refinishing' 'adjacent' 'fault' 'blend' 'repair' 'surface'
 'masking' 'mixing' 'asset' 'defect' 'shop' 'supplier' 'colour']","['data', 'automotive', 'environment', 'foundation', 'materials', 'repair', 'motor', 'vehicles', 'vehicle', 'paint', 'substrate', 'edge', 'panel', 'spray', 'technical', 'preparation', 'plastic', 'static', 'substrates', 'defects']","['foundation', 'panel', 'vehicle', 'paint', 'substrate', 'repair']","['asset', 'fault', 'supplier', 'blend', 'rectification', 'defect', 'delay', 'refinishing', 'adjacent', 'surface', 'shop', 'colour', 'mixing', 'masking']"
accident repair smart cosmetic,"['panel' 'vehicle' 'foundation' 'paint' 'substrate' 'repair' 'coat'
 'alloy' 'wheel' 'colour' 'mixing' 'viscosity' 'non' 'matching' 'adjacent'
 'spray' 'rectification' 'extraction' 'fitting' 'refinishing']","['repair', 'motor', 'vehicle', 'exterior', 'minor', 'body', 'panels', 'nonstructural', 'dents', 'damage', 'prepare', 'substrate', 'foundation', 'topcoats', 'apply', 'materials', 'vehicles', 'complete', 'paint', 'automotive']","['foundation', 'vehicle', 'paint', 'substrate', 'repair']","['non', 'panel', 'wheel', 'rectification', 'spray', 'refinishing', 'adjacent', 'colour', 'alloy', 'matching', 'viscosity', 'mixing', 'coat', 'fitting', 'extraction']"
accident repair smart pdr,"['dent' 'panel' 'repair' 'vehicle' 'removal' 'crease' 'swage' 'motor'
 'metallurgy' 'alignment' 'bar' 'plain' 'mm' 'protective' 'fault'
 'excretion' 'exchanger' 'excise' 'exhibitor' 'excitation']","['remove', 'dents', 'creases', 'motor', 'vehicle', 'flat', 'panels', 'body', 'swage', 'lines', 'vehicles', 'access', 'difficult', 'restricted', 'multiple']","['motor', 'swage', 'vehicle']","['excretion', 'exchanger', 'excise', 'plain', 'repair', 'alignment', 'exhibitor', 'bar', 'protective', 'fault', 'excitation', 'removal', 'panel', 'mm', 'dent', 'crease', 'metallurgy']"
