NOS file name,Suite as per ActiveIS,Suite extracted from pdf
astacea1.pdf,green deal energy advice;energy advisers;air conditioning energy assessment,"domestic energy assessors; non domestic energy assessors; nos for theproduction of orss, decs and ars; air conditioning energy assessors; onconstruction domestic energy assessors"
astccr1.pdf,specialist cleaning;cleaning and support services generic,cleaning services; specialist cleaning;
astdea2.pdf,energy advisers;green deal energy advice,domestic energy assessors
astdea3.pdf,energy advisers;green deal energy advice,domestic energy assessors
astdea4.pdf,energy advisers,"domestic energy assessors, home inspectors"
astdea5.pdf,green deal energy advice,domestic energy assessors
astfm501.pdf,facilities management,empty
astfm517.pdf,facilities management,empty
astgda1.pdf,green deal energy advice,green deal advisers
astgda2.pdf,energy advisers;green deal energy advice,green deal advisers
astgda3.pdf,energy advisers,green deal advisers
astgda4.pdf,green deal energy advice,green deal advisers
astgda5.pdf,energy advisers;green deal energy advice,green deal advisers
astgda6.pdf,energy advisers;green deal energy advice,green deal advisers
astgda7.pdf,energy advisers;green deal energy advice,green deal advisers
astndea5.pdf,energy advisers;green deal energy advice,non domestic energy assessors
astndea6.pdf,green deal energy advice;energy advisers,non domestic energy assessors
astndea7.pdf,energy advisers;green deal energy advice,non domestic energy assessors
astndea8.pdf,green deal energy advice;energy advisers,non domestic energy assessors
astndea9.pdf,green deal energy advice;energy advisers,non domestic energy assessors
astor4.pdf,energy advisers;green deal energy advice,"nos for the production of ors, decs and ars"
astor5.pdf,green deal energy advice;energy advisers,"nos for the production of ors, decs and ars"
astsotv1.pdf,older traditional and vulnerable building energy efficiency measures,energy advice and reporting for traditional properties
astsotv2.pdf,older traditional and vulnerable building energy efficiency measures,energy advice and reporting for traditional properties
astsotv3.pdf,older traditional and vulnerable building energy efficiency measures,energy advice and reporting for traditional properties
ccsccs13l.pdf,delivery of arts projects and live events,community arts; community arts management
ccsccs16l.pdf,blacksmithing,community arts
ccsccs17l.pdf,event security operations;cultural venue operations;delivery of arts projects and live events,community arts; community arts management; event security operations;cultural and heritage venue operations;
ccsccs2l.pdf,delivery of arts projects and live events,community arts
ccscv24l.pdf,cultural venue operations;cultural venue management,cultural venue operations; cultural and heritage venue operations;
ccslem1.pdf,live events and promotions management,live events management
ccsmt14.pdf,sound recording and music technology,music technology; live events
ccsmt16.pdf,sound recording and music technology,music technology; live events
ccsmt17.pdf,sound recording and music technology;live events and promotions management,music technology; live events management
ccsmt19.pdf,sound recording and music technology,
ccsmt20.pdf,sound recording and music technology;live events and promotions management,music technology; live events management
ccsmt28.pdf,sound recording and music technology,music technology; live events
ccsmt29.pdf,sound recording and music technology;live events and promotions management,music technology; live events management
ccsmt30.pdf,sound recording and music technology,music technology; live events
ccsmt31.pdf,sound recording and music technology,music technology; live events
ccsmt34.pdf,sound recording and music technology,music technology; live events
ccsmt6.pdf,sound recording and music technology,music technology; live events
ccssl25l.pdf,live events and promotions management,technical theatre and live performance sound and lighting ; live eventsmanagement
ccssl27l.pdf,live events and promotions management,technical theatre and live performance sound and lighting ; live eventsmanagement
ccssl2l.pdf,live events and promotions management,technical theatre and live performance sound and lighting ; live eventsmanagement
ccssl7l.pdf,live events and promotions management,technical theatre and live performance sound and lighting ; live eventsmanagement
ccstp10l.pdf,live events and promotions management;cultural venue management,technical theatre and live performance core ; live events management
ccstp15l.pdf,live events and promotions management,technical theatre and live performance core ; live events management
ccstp18l.pdf,live events and promotions management,technical theatre and live performance core ; live events management
ccstp20l.pdf,live events and promotions management,technical theatre and live performance core ; live events management
ccstp24l.pdf,events management,technical theatre and live performance core
ccstp25l.pdf,live events and promotions management,technical theatre and live performance core ; live events management
ccstp27l.pdf,live events and promotions management,technical theatre and live performance core ; live events management
ccstp28l.pdf,live events and promotions management,technical theatre and live performance core ; live events management
ccstp29l.pdf,live events and promotions management,technical theatre and live performance core ; live events management
ccstp31l.pdf,live events and promotions management,technical theatre and live performance core ; live events management
ccstp32l.pdf,live events and promotion;live events,technical theatre and live performance core ; live events
ccstp33l.pdf,live events and promotions management,technical theatre and live performance core ; live events management
ccstp38l.pdf,live events and promotions management,technical theatre and live performance core ; live events management
ccstp42l.pdf,live events and promotions management,technical theatre and live performance core ; live events management
ccstp47l.pdf,live events and promotions management,technical theatre and live performance core ; live events management
ccstp49l.pdf,live events and promotions management,technical theatre and live performance core ; live events management
ccstp50l.pdf,live events and promotions management,technical theatre and live performance core ; live events management
ccstp5l.pdf,live events and promotions management,technical theatre and live performance core ; live events management
cfabaa626.pdf,business and administration 2013;animal technology;equine;skills cfa;fencing,business and administration nos 2013 ; animal technology
cfabcm003.pdf,business continuity management 2013,management consultants and business analysts
cfabcm005.pdf,business continuity management 2013,management consultants and business analysts
cfabes002.pdf,business and enterprise support 2013,empty
cfabes003.pdf,business and enterprise support 2013,empty
cfabes004.pdf,business and enterprise support 2013,empty
cfabes005.pdf,business and enterprise support 2013,empty
cfabes006.pdf,business and enterprise support 2013,empty
cfabes007.pdf,business and enterprise support 2013,empty
cfabes008.pdf,business and enterprise support 2013,empty
cfabes009.pdf,business and enterprise support 2013,empty
cfabes010l.pdf,business and enterprise support 2013,empty
cfabes011.pdf,business and enterprise support 2013,empty
cfabes012.pdf,business and enterprise support 2013,empty
cfabes013.pdf,business and enterprise support 2013,empty
cfabes014.pdf,business and enterprise support 2013,empty
cfabes015.pdf,business and enterprise support 2013,empty
cfabes016.pdf,business and enterprise support 2013,empty
cfabes017.pdf,business and enterprise support 2013,empty
cfabes018.pdf,business and enterprise support 2013,empty
cfabes019.pdf,business and enterprise support 2013,empty
cfabes020.pdf,business and enterprise support 2013,empty
cfabes021.pdf,business and enterprise support 2013,empty
cfabes022.pdf,business and enterprise support 2013,empty
cfacs1.pdf,company secretary,empty
cfacsb7.pdf,"customer service occupations;arts, media and publishing;librarians and related professional;crafts, creative arts and design;quality and customer care managers;artistic and literary occupations;customer service occupations;ticketing occupations;admissions;box office;visitor services;booking office",customer service 2013 ; cultural and heritage venue operations; ticketing;
cfacsd8.pdf,customer service 2013;gambling operations;cultural venue operations;ticketing;leisure management,customer service 2013 ; gambling; cultural and heritage venue operations;ticketing;
cfam_laa3.pdf,management and leadership;community arts management;cultural venue management;animal technology;marketing 2013;skills for security essential employability;securing void properties,management and leadership; marketing 2013 ; animal technology; communityarts management; cultural and heritage venue management;
cfam_lba7.pdf,management and leadership;community arts management;cultural venue management;animal technology;cultural venue operations;treework,management and leadership; animal technology; community arts management; cultural and heritage venue management;
cfam_lca4.pdf,leisure management;leadership and management;community justice,management and leadership; leisure management
cfam_lea3.pdf,management and leadership;marketing 2013;event security operations;animal technology;cultural venue operations;events management;engineering leadership suite 3;securing void properties,management and leadership; marketing 2013 ; leadership management incare services; event security operations; cultural and heritage venuemanagement; animal technology
cfapsu015.pdf,procurement and supply,empty
cfarma004.pdf,risk management 2014;qualified person medicinal products,management consultants and business analysts; business and relatedassociate professionals n e crisk management 2014
cfas7.7l.pdf,sales 2010;events management;skills for security essential employability;remote monitoring operations,sales 2010
cfaspa1.pdf,business and administration specialist parking administration 2013,elementary security occupations; parking and civil enforcement occupations
cfaspa2.pdf,business and administration specialist parking administration 2013,elementary security occupation; parking and civil enforcement occupations
cfaspa3.pdf,business and administration specialist parking administration 2013,elementary security occupations; parking and civil enforcement occupations
cfaspa4.pdf,business and administration specialist parking administration 2013,elementary security occupations; parking and civil enforcement occupations
cognmas1.pdf,nuclear material accountancy and safeguards,"nuclear materials, accountancy, safeguards and control nmas"
cognmas10.pdf,nuclear material accountancy and safeguards,"nuclear materials, accountancy, safeguards and control nmas"
cognmas11.pdf,nuclear material accountancy and safeguards,"nuclear materials, accountancy, safeguards and control nmas"
cognmas12.pdf,nuclear material accountancy and safeguards,"nuclear materials, accountancy, safeguards and control nmas"
cognmas13.pdf,nuclear material accountancy and safeguards,"nuclear materials, accountancy, safeguards and control nmas"
