,Avg group similarity,NOS 1,NOS 2
Pair 0,1.0,"[coglata4-11] ""Plan and monitor small scale processing activities"" (""coglata4-11.pdf"", Current, Original)","[coglata4-11] ""Plan and monitor small scale processing activities"" (""plan-and-monitor-small-scale-processing-activities-coglata4-11.pdf"", Current, Original)"
Pair 1,1.0,"[semaut3-111] ""Installing the front and rear structural frames in a leisure vehicle"" (""semaut3111.pdf"", Current, Original)","[ska111] ""Installing the front and rear structural frames in a leisure vehicle"" (""ska111.pdf"", Current, Original)"
Pair 2,1.0,"[impft156k] ""Principles of evaporation and drying"" (""impft156k.pdf"", Current, Original)","[impft156k] ""Principles of evaporation and drying "" (""impft156kl.pdf"", Legacy, Original)"
Pair 3,1.0,"[sfhci.h] ""Insert and remove a catheter or cannula for the introduction of contrast agents for imaging procedures"" (""insert-and-remove-a-catheter-o-sfhci.pdf"", Current, Original)","[sfhci.h] ""Insert and remove a catheter or cannula for the introduction of contrast agents for imaging procedures"" (""sfhci.h.pdf"", Current, Original)"
Pair 4,1.0,"[semlata2-07] ""Demonstrate scientific or technical methods, techniques and skills to others in the workplace"" (""semlata207.pdf"", Current, Original)","[semlata3-20] ""Demonstrate scientific or technical methods, techniques and skills to others in the workplace"" (""semlata320.pdf"", Current, Original)"
Pair 5,1.0,"[sfhci.b ] ""Interpret and report on imaging examinations "" (""interpret-and-report-on-imaging-examinations--sfhci.pdf"", Current, Original)","[sfhci.b ] ""Interpret and report on imaging examinations "" (""sfhci.b .pdf"", Current, Original)"
Pair 6,1.0,"[semlata3-15] ""Assess your own scientific or technical knowledge and skills for workplace activities"" (""semlata315.pdf"", Current, Original)","[semlata4-12] ""Assess your own scientific or technical knowledge and skills for workplace activities"" (""semlata412.pdf"", Current, Original)"
Pair 7,1.0,"[coglata2-09] ""Clean and tidy the workplace after scientific or technical learning activities"" (""clean-and-tidy-the-workplace-after-scientific-or-technical-learning-activities-coglata2-09.pdf"", Current, Original)","[coglata2-09] ""Clean and tidy the workplace after scientific or technical learning activities"" (""coglata2-09.pdf"", Current, Original)"
Pair 8,1.0,"[semaut3-129] ""Preparing electrical equipment for installation into leisure vehicles"" (""semaut3129.pdf"", Current, Original)","[ska129] ""Preparing electrical equipment for installation into leisure vehicles"" (""ska129.pdf"", Current, Original)"
Pair 9,1.0,"[semaut3-122] ""Final inspection and testing of leisure vehicles"" (""semaut3122.pdf"", Current, Original)","[ska122] ""Final inspection and testing of leisure vehicles"" (""ska122.pdf"", Current, Original)"
Pair 10,1.0,"[eusfes34] ""Be aware of and control workplace hazards"" (""be-aware-of-and-control-workplace-hazards-eusfes34.pdf"", Current, Original)","[euswo34] ""Be aware of and control workplace hazards"" (""be-aware-of-and-control-workplace-hazards-euswo34.pdf"", Current, Original)"
Pair 11,1.0,"[semaut3-114] ""Installing domestic equipment in leisure vehicles"" (""semaut3114.pdf"", Current, Original)","[ska114] ""Installing domestic equipment in leisure vehicles"" (""ska114.pdf"", Current, Original)"
Pair 12,1.0,"[coglata4-04] ""Carry out risk assessments on scientific or technical activity"" (""carry-out-risk-assessments-on-scientific-or-technical-activity-coglata4-04.pdf"", Current, Original)","[coglata4-04] ""Carry out risk assessments on scientific or technical activity"" (""coglata4-04.pdf"", Current, Original)"
Pair 13,1.0,"[coglata2-04] ""Carry out routine maintenance, cleaning and checking of scientific or technical equipment"" (""carry-out-routine-maintenance--cleaning-and-checking-of-scientific-or-technical-equipment-coglata2-04.pdf"", Current, Original)","[coglata2-04] ""Carry out routine maintenance, cleaning and checking of scientific or technical equipment"" (""coglata2-04.pdf"", Current, Original)"
Pair 14,1.0,"[coglata3-09] ""Carry out scientific or technical investigations"" (""carry-out-scientific-or-technical-investigations-coglata3-09.pdf"", Current, Original)","[coglata3-09] ""Carry out scientific or technical investigations"" (""coglata3-09.pdf"", Current, Original)"
Pair 15,1.0,"[coglata2-01] ""Follow health and safety procedures for scientific or technical activities"" (""coglata2-01.pdf"", Current, Original)","[coglata2-01] ""Follow health and safety procedures for scientific or technical activities"" (""follow-health-and-safety-procedures-for-scientific-or-technical-activities-coglata2-01.pdf"", Current, Original)"
