,Keywords,Keywords_2
administer-emergency-and-critical-nursing-care-to-veterinary-patients-lanrvn10.pdf,specialist nursing; care plan; animal care,"['feeding, manage, medication, monitoring', '4']"
administer-emergency-first-aid-lanrvn12.pdf,emergency first aid; emergency treatment; animal care,"['nurses, animals, samples', '4']"
adminster-medication-to-veterinary-patients--lanrvn24.pdf,veterinary; nursing,"['animals, duties, conduct, theatre', '4']"
admit-and-discharge-veterinary-patients-lanrvn7.pdf,admission; discharge,"['nurses, animals, examination, monitor', '4']"
assess-the-configuration-of-metered-areas-eusldc1.pdf,leakage; valves; meters; water quality,"['Danger, risk, hazards', '5']"
assist-in-administering-and-maintaining-anaesthetics-or-sedation-to-veterinary-patients-lanrvn21.pdf,sedation; anaesthetics; veterinary; animal care,"['nurses, animals, surgical, materials', '4']"
assist-qualified-veterinary-staff-during-medical-procedures-and-diagnostic-investigations-lanrvn26.pdf,medical procedures,"['veterinary, nurses, conditions', '4']"
assist-the-veterinary-surgeon--lanrvn18.pdf,surgical equipment; animal care; veterinary; suction,"['veterinary, nurses, radiography, ultrasound, endoscopy', '4']"
assist-the-veterinary-surgeon-as-a-general-theatre-assistant-during-surgical-procedures--lanrvn17.pdf,animal care; veterinary nurse; surgical,"['veterinary, nurses,', '4']"
assist-the-veterinary-surgeon-in-preparing-sedation-and-anaesthesia-materials-and-equipment-for-veterinary-lanrvn19.pdf,sedation; anaesthesia; animal care,"['veterinary, nurses, equipment, monitoring', '4']"
astfm301.pdf,"monitor, facilities, provision, effectiveness, manage, services","['Facilities Management Services; Energy Management; Energy Efficiency;', '5']"
astfm323.pdf,"space management, property space, single or multiple occupation, space needs, entitlements, allocation, optimisation, planning, decision making, culture","['Space management; Property Space; Single or Multiple Occupation; Space', 'Needs; Energy Efficiency Measures', '5']"
astfm401.pdf,"facilities management, organisation, compliance, systems, policies, services","['Facilities Management; Systems; Policies; Services; Energy Efficiency', 'Measures', '4']"
astfm402.pdf,"facilities management, organisation,","['Facilities Management; Energy Management', '4']"
astfm403.pdf,"facilities management, services, environment, clients, technical, specialist","['Facilities Management; Services; Environment; Energy Management', '4']"
