index,NOS Title,One_suite,supersuite,hierarchical
assess-the-configuration-of-metered-areas-eusldc1.pdf,assess the configuration of metered areas,leakage detection and control,engineering,87
astatt1.pdf,prepare to carry out air tightness testing ,air tightness testing,engineering,22
astatt10.pdf,"carry out air tightness testing on large and complex, high rise and phased hand over zonal buildings",air tightness testing,engineering,22
astatt2.pdf,prepare building for air tightness testing,air tightness testing,engineering,22
astatt3.pdf,carry out air tightness testing for single dwellings and other small buildings  ,air tightness testing,engineering,22
astatt4.pdf,carry out air tightness testing for non-simple buildings,air tightness testing,engineering,22
astatt5.pdf,prepare and issue the air tightness test report  ,air tightness testing,engineering,22
astatt6.pdf,calculate the area of building envelopes,air tightness testing,engineering,22
astatt7.pdf,manage all calibrated equipment,air tightness testing,engineering,140
astatt8.pdf,initiate and progress contracts with clients to carry out air tightness testing ,air tightness testing,engineering,22
astatt9.pdf,quality assure the air tightness testing process ,air tightness testing,engineering,22
carry-out-the-maintenance-of-treatment-processing-plant-and-equipment-eustpc03.pdf,carry out the maintenance of treatment processing plant and equipment,treatment processing and control in the water industry,engineering,34
cogesa1.1.pdf,create the complex specification for explosive substances and/or articles,explosive substances and articles,engineering,101
cogesa1.10 .pdf,carry out the research strategy and analyse the information collected on explosive substances and/or articles,explosive substances and articles,engineering,98
cogesa1.11 .pdf,carry out investigations and analyse the information collected on explosive substances and/or articles,explosive substances and articles,engineering,98
cogesa1.12 .pdf,contribute to carrying out investigations and analysing the information collected on explosive substances and/or articles,explosive substances and articles,engineering,98
cogesa1.13.pdf,evaluate and document complex research and findings on explosive substances and/or articles,explosive substances and articles,engineering,98
cogesa1.14.pdf,assess and document research and findings on explosive substances and/or articles,explosive substances and articles,engineering,98
cogesa1.15.pdf,develop a dissemination plan for explosive substances and/or articles,explosive substances and articles,engineering,98
cogesa1.16.pdf,carry out small scale processing for explosive substances and/or articles,explosive substances and articles,engineering,101
cogesa1.17.pdf,design the scale-up process for explosive substances and/or articles,explosive substances and articles,engineering,101
cogesa1.18 .pdf,create the specification for the design of complex explosive articles,explosive substances and articles,engineering,101
cogesa1.19 .pdf,create the specification for the design of an explosive article,explosive substances and articles,engineering,101
cogesa1.20.pdf,identify and analyse the factors applicable to the explosive article design specification,explosive substances and articles,engineering,76
cogesa1.21.pdf,generate design options for explosive articles,explosive substances and articles,engineering,76
cogesa1.22.pdf,evaluate design options for explosive articles,explosive substances and articles,engineering,76
cogesa1.24.pdf,build prototype(s) of selected design(s) for complex explosive articles,explosive substances and articles,engineering,25
cogesa1.25 .pdf,build prototype(s) of selected design(s) for explosive articles,explosive substances and articles,engineering,25
cogesa1.3.pdf,assimilate and evaluate the information on explosive substances and/or articles,explosive substances and articles,engineering,101
cogesa1.4 .pdf,gather and interpret the information on explosive substances and/or articles,explosive substances and articles,engineering,101
cogesa1.6.pdf,prepare the research strategy for explosive substances and/or articles,explosive substances and articles,engineering,98
cogesa1.7.pdf,prepare the research programme for explosive substances and/or articles,explosive substances and articles,engineering,98
