,14,4,6,11,5,9,8,15,10,12,7,13
lenght,3,4,48,41,21,158,258,60,4,41,786,529
avg dist,0.056,0.441,0.794,0.795,0.797,0.808,0.829,0.832,0.865,0.882,0.888,0.895
0,assisting in the preparation of docks and slips for vessel operations,specify methods and procedures to reduce risk on electricity network assets,provide technical support,identify and analyse the factors applicable to the explosive article design specification,work safely in the land-based engineering work area,prepare and treat surfaces and apply paint coats to bus/coach body panels and components,apply core land-based engineering principles: thermal joining processes,"lift, transfer and position explosive substances and/or articles loads",lead meetings,assess the configuration of metered areas,prepare to carry out air tightness testing ,create the complex specification for explosive substances and/or articles
1,prepare docks and slips for the receiving of boats and yachts,specify risk reduction methods and procedures,unit 36: provide technical support within polymer processing and related operations,generate design options for explosive articles,apply core land-based engineering principles: cooling and lubrication,repairing airframes and structures,complete thermal joining of bus/coach components,escort the explosive substances and articles load,"develop, negotiate and agree proposals to offer land- based services and products",contribute to efficiency in the workplace,"carry out air tightness testing on large and complex, high rise and phased hand over zonal buildings",carry out the research strategy and analyse the information collected on explosive substances and/or articles
2,preparing docks and slips for vessel operations,carrying out the application of signature reduction coverings,"install domestic gas cookers, tumble dryers and leisure appliances",evaluate design options for explosive articles,service and repair clutches and other transmission controlling devices on land-based equipment,moulding acrylic aircraft components,conduct inspections of buses/coaches,obtain information on explosive substances and articles load,contributing to making decisions in a continuing airworthiness environment,organize own work and maintain standards,prepare building for air tightness testing,carry out investigations and analyse the information collected on explosive substances and/or articles
3,,applying signature reduction coverings,install gas fired ducted air heaters and appliances,design the complex explosive display,service and repair mechanical transmission assemblies on land-based equipment,producing aircraft components by plastic injection moulding,"programme, deploy and collect data from data-logging equipment",plan the route and timings for the delivery and collection of explosive substances and articles by road,negotiating in a continuing airworthiness environment,produce profiles of rock faces and landforms,carry out air tightness testing for single dwellings and other small buildings  ,contribute to carrying out investigations and analysing the information collected on explosive substances and/or articles
4,,,maintain gas fired ducted air heaters and appliances,design the explosive display,service and repair wheeled and tracked steering systems on land-based equipment,applying aircraft paint finishes by hand,marking out composite and/or metallic aircraft components,obtain information on the destination and schedule of the explosive load by rail,,supervise the blasting operation,carry out air tightness testing for non-simple buildings,evaluate and document complex research and findings on explosive substances and/or articles
5,,,install gas meters and regulators (2.5 to 16.0m3/hr),using e-mail,service and repair land-based cutting and mowing equipment,applying aircraft paint finishes by spray guns,cutting and shaping aircraft components,obtain information on the destination and schedule of the explosive load by sea,,contribute to health and safety in the blasting workplace,prepare and issue the air tightness test report  ,assess and document research and findings on explosive substances and/or articles
6,,,install gas meters and regulators (2.5 to 1076m3/hr),it communication fundamentals,service and repair land-based harvesting and processing equipment,"applying transfers, decals and livery to aircraft",bending and forming aircraft components,obtain information on the destination and schedule of the explosive load by air,,"receive, store and issue explosive materials",calculate the area of building envelopes,develop a dissemination plan for explosive substances and/or articles
7,,,install gas meters and regulators above 1076m3/hr,obtain and return grip equipment,"service and repair land-based soil preparation, cultivation and plant establishment equipment",stripping and removing aircraft finishes,cutting and shaping soft furnishing materials,load the vehicle with explosive substances and articles,,receive and handle explosive materials on-site,initiate and progress contracts with clients to carry out air tightness testing ,carry out small scale processing for explosive substances and/or articles
8,,,respond to reported gas upstream emergencies,contribute to the security of the work environment in the rail industry,implement organisational procedures in land-based engineering,applying finishes to aircraft composite mouldings,drilling and finishing holes in composite and/or metallic aircraft structures or components,supervise the loading of the vehicle with explosive substances and articles by others,,charge blast holes to specification,quality assure the air tightness testing process ,design the scale-up process for explosive substances and/or articles
9,,,respond to reported gas downstream emergencies,producing aeronautical electrical engineering drawings using computer aided techniques,"service and repair land-based transport, handling and storage equipment",producing aircraft composite mouldings using pre-preg laminating techniques,loading and proving aircraft component cnc machine tool programs,unload explosive substances and articles from the vehicle,,blast to specification,carry out the maintenance of treatment processing plant and equipment,create the specification for the design of complex explosive articles
10,,,"strength testing, gas tightness testing and direct purging ",producing aeronautical electronic engineering drawings using computer aided techniques,service and repair electronic control and monitoring systems on land-based equipment,trimming aircraft composite mouldings using hand tools,carrying out aircraft component cnc machine tool programming,supervise the unloading of explosive substances and articles from the vehicle by others,,deal with misfires,build prototype(s) of selected design(s) for complex explosive articles,create the specification for the design of an explosive article
11,,,"apply environmental legislation, working practices and principles (mechanical services)",producing aeronautical mechanical engineering drawings using computer aided techniques,service and repair hydraulic systems on land-based equipment,identifying defects in aircraft composite mouldings,setting cnc turning machines for production of aircraft components,"maintain the safety and the security of the load, self and property",,determine the blast requirements,build prototype(s) of selected design(s) for explosive articles,assimilate and evaluate the information on explosive substances and/or articles
12,,,"maintain domestic gas cookers, tumble dryers and leisure appliances",producing aeronautical engineering drawings/models using 3d computer aided techniques,service and repair pneumatic systems on land-based equipment,repairing aircraft composite mouldings,machining aircraft components using cnc turning machines,elevate and track camera dollies,,design and arrange for the authorization of the blast specification,provide leadership in your area of responsibility ,gather and interpret the information on explosive substances and/or articles
13,,,oversee the work environment,providing technical guidance on aeronautical engineering activities,inspect and test land-based machinery and equipment,setting plastic injection moulding machines for production of aircraft components,setting cnc milling machines for production of aircraft components,service and repair wheels and tracks on land-based equipment,,work safely,maintain awareness of driving conditions,prepare the research strategy for explosive substances and/or articles
14,,,organise the working environment,providing technical advice and guidance on continuing airworthiness certification activities,service and repair land-based treatment application equipment,producing aircraft composite mouldings using spray lay-up laminating techniques,machining aircraft components using cnc milling machines,lay basic flat track,,work safely,operate the vehicle systems,prepare the research programme for explosive substances and/or articles
15,,,prepare to carry out work,designing electronic circuit layouts using cad tools,apply core land-based engineering principles: mechanical principles,producing aircraft composite mouldings using resin film infusion techniques,setting cnc machining centres for production of aircraft components,lay complex track,,conduct an assessment of the risks in the workplace,drive the vehicle on public roads  ,submit proposals for research work for explosive substances and/or articles
16,,,"identify systems, equipment and components",evaluating and recommending circuit design options,apply core land-based engineering principles: tools and equipment,producing aircraft composite mouldings using resin transfer moulding techniques,machining aircraft components using cnc machining centres,"prepare and move traction and rolling stock assets, components and equipment",,assess data and produce reports,drive the vehicle in restricted spaces,plan the research into explosive substances and/or articles
17,,,"install domestic heating systems, equipment and components",providing technical guidance to others,"apply core land-based engineering principles: material preparation, shaping and assembling",producing aircraft composite mouldings using hot press moulding techniques,producing aircraft components by manual machining,"supervise the movement of traction and rolling stock assets, components and equipment",,contribute to preparations for engineering surveying operations,couple and uncouple the vehicle,develop and maintain effective working relationships
18,,,"install plumbing systems, equipment and components",identifying engineering design requirements of clients,apply core land-based engineering principles: calculations,producing aircraft composite mouldings using filament winding techniques,drilling and finishing holes in aircraft components,rig camera cranes and jib arms,,determine and manage control and protection resources for utilities network construction ,complete pre-driving preparations ,prepare and position explosive effects
19,,,install weathering systems,producing engineering specifications,service and repair step-less or power-shift transmission systems on land based-equipment,producing aircraft composite mouldings using pultrusion techniques,marking out components for experimental vehicle engineering,rig camera dollies,,working in low risk confined spaces,carry out routine servicing procedures on polymer process plant and equipment,initiate the explosive effect
20,,,install gas water heating and wet central heating ,establish an engineering design brief,service and repair suspension systems on land-based equipment,producing aircraft composite mouldings using atl/afp laminating techniques,using hand fitting techniques to produce components for experimental vehicle engineering,rig car mounts in or on vehicles,,working in medium risk confined spaces,contribute to the handover of production activities,assess the explosive substances and/or articles for disposal
21,,,"decommission plumbing systems, equipment and components",create engineering designs,,using curing and consolidation equipment for aircraft composite mouldings,fabricating structural components for experimental vehicle engineering,rig remote heads and systems,,working in high risk confined spaces,contribute to the maintenance of plant and equipment in food and drink operations,dispose of explosive substances and/or articles by complex mechanical breakdown procedures
22,,,"fit and fix cooling systems, equipment and components",evaluate engineering designs,,producing aircraft components using wet lay-up techniques,machining components for experimental vehicle engineering,rig static mounts for productions,,emergency rescue and recovery of casualties from confined spaces,provide relevant people with technical and functional information,dispose of explosive substances and/or articles by non-complex mechanical breakdown procedures
23,,,"decommission cooling systems, equipment and components",providing technical advice and guidance on engineering or manufacturing requirements,,producing aircraft components using pre-preg laminating techniques,cutting and shaping sheet metal for experimental vehicle engineering,moving materials and components in an aircraft environment,,manage work in confined spaces,"service and maintain mechanical systems, equipment and components",dispose of explosive substances and/or articles by complex chemical breakdown procedures
24,,,"commission cooling systems, equipment and components",develop a strategy for the engineering design process,,producing aircraft components using resin infusion techniques,assembling components for experimental vehicle engineering by resistance spot welding,positioning and securing aircraft access structures,,prepare resources for pipe jointing activities,"identify faults in plumbing systems, equipment and components",dispose of explosive substances and/or articles by non-complex chemical breakdown procedures
25,,,"install industrial and commercial heating & ventilation systems, equipment and components",produce detailed drawings using computer aided techniques,,producing aircraft components by acrylic moulding,assembling components for experimental vehicle engineering by manual torch brazing and soldering,dismantling and removing aircraft access structures,,create an efficient and effective work environment for site operations on gas network construction,"rectify faults in plumbing systems, equipment and components",dispose of explosive substances and/or articles by complex biological breakdown procedures
26,,,maintain gas water heating and wet central heating appliances,determining engineering software requirements,,producing aircraft components by injection moulding,fitting pipework systems to commercial and passenger carrying vehicles,"slinging, lifting and moving materials and components",,maintain a safe and secure working environment during site operations on gas network construction,"service and maintain cooling systems, equipment and components",dispose of explosive substances and/or articles by non-complex biological breakdown procedures
27,,,"decommission heating & ventilation systems, equipment and components",producing  engineering software design,,carrying out trimming operations on aircraft composite components,joining components for commercial and passenger carrying vehicles using a manual welding process,"slinging, lifting and moving materials and components",,install equipment for safe working on construction sites during gas network construction,"identify and rectify faults in cooling systems, equipment and components",dispose of explosive substances and/or articles by complex burning procedures
28,,,commission mechanical systems,producing engineering software implementation,,carrying out bonding operations on aircraft composite components,assembling components for commercial and passenger carrying vehicles by resistance spot welding,setting up and preparing loads for moving,,locate and avoid supply apparatus in non routine operations for gas network construction,"service industrial and commercial heating & ventilation systems, equipment and components",dispose of explosive substances and/or articles by non-complex burning procedures
29,,,establish electrical control (and supply) of mechanical building services and systems,testing engineering software,,carrying out repairs to aircraft composite mouldings,machining components for commercial and passenger carrying vehicle applications,moving materials and components in a marine environment,,reinstate excavation and pavement surfaces in site operations gas network construction,"maintain industrial and commercial heating & ventilation systems, equipment and components",dispose of explosive substances and/or articles by complex incineration procedures
30,,,install gas pipework up to 35mm ,performing engineering software analysis techniques,,checking aircraft composite mouldings for defects,marking out motorsport components for fabrication,carrying out preparations for rigging activities,,operate powered tools and equipment and small mobile plant for site operations on gas network construction,"service and maintain ductwork systems, equipment and components",dispose of explosive substances and/or articles by non-complex incineration procedures
31,,,carry out safe electrical working practices on electrical control (and supply) for mechanical building services systems,measuring engineering software quality,,preparing vehicle body surfaces for finishing,cutting and shaping sheet and tube materials to fabricate motorsport components,positioning and securing marine access structures,,join materials by electrofusion processes for site operations in gas network construction,"identify faults in mechanical systems, equipment and components",dispose of explosive substances and/or articles by complex deflagration procedures
32,,,gas tightness testing and direct purging ,performing engineering software configuration management,,spraying vehicle body surfaces,forming sheet and tube materials to fabricate motorsport components,removing marine access structures,,joint materials by butt fusion  processes in non routine operations for gas network construction,"rectify and modify mechanical systems, equipment and components",dispose of explosive substances and/or articles by non-complex deflagration procedures
33,,,install domestic gas space heating appliances,performing engineering software acquisition,,lacquering and polishing veneered vehicle components,forming pipework for motorsport vehicles,carrying out maintenance on rigging and lifting equipment,,excavate and maintain holes and trenches for utilities network construction,maintain compressed air systems and equipment used in food and drink operations,dispose of explosive substances and/or articles by complex detonation procedures
34,,,maintain domestic gas space heating appliances,performing engineering software safety assessments,,manufacturing vehicle composite mouldings using wet lay-up techniques,producing pipe assemblies for motorsport vehicles,checking rigging and lifting equipment,,locate and avoid supply apparatus for utilities network construction,comply with statutory regulations and organisational safety requirements in food and drink operations,dispose of explosive substances and/or articles by non-complex detonation procedures
35,,,electrical fault finding on domestic gas appliances,performing low level programming for engineering software,,manufacturing vehicle composite mouldings using pre-preg laminating techniques,inspecting motorsport components by penetrant flaw detection techniques,assisting in mooring and berthing operations,,maintain a safe and secure working environment in utilities network construction,understand how to comply with statutory regulations and organisational safety requirements in food and drink operations,dispose of explosive substances and/or articles by function as intended procedures
36,,,monitor and solve customer service problems,performing computer system security assessments for engineering software,,manufacturing vehicle components by resin casting,carrying out visual inspection of welded motorsport components or structures,carrying out manual splicing of wire and fibre ropes,,"operate powered tools, equipment and small mobile plant for utilities network construction",use engineering drawings and documents in maintenance activities in food and drink operations,carry out post-disposal tasks for explosive substances and/or articles
37,,,install and commission communication systems for smart meters,producing mechanical engineering drawings using a cad system,,manufacturing vehicle components by acrylic moulding,inspecting motorsport components by magnetic particle testing,carrying out the installation of rigging and lifting equipment,,prepare to undertake duties in the rail engineering industry,understand how to use engineering drawings and documents in maintenance activities in food and drink operations,determine the existence of a suitable disposal procedure for explosive substances and/or articles
38,,,deliver customer care in land-based engineering,producing electrical or electronic engineering drawings using a cad system,,bonding vehicle composite components,loading and proving programs for cnc wood routing and sawing activities,moor and berth boats and yachts,,reinstate excavations and surfaces during utilities network construction operations,work in engineering food and drink operations ,contribute to post-disposal tasks for explosive substances and/or articles
39,,,establish customer technical requirements for buses/coaches,producing cad models (drawings) using a cad system,,trimming vehicle composite mouldings using hand tools,setting cnc wood routing and sawing machines for production,prepare boats and yachts for moving within a marina yard,,plan the allocation of storage space for boats and yachts ashore,understand how to work in engineering food and drink operations,adapt an existing disposal procedure for explosive substances and/or articles
40,,,improve the service provided to customers of buses/coaches,using computer software packages to assist with engineering activities,,repairing defects in vehicle composite mouldings,operating cnc wood routing and sawing machines,move and store boats and yachts on land,,access overhead line equipment construction sites,hand over and confirm completion of maintenance activities within food and drink operations,design a new disposal procedure for explosive substances and/or articles
41,,,establish customer requirements for a mechanical fire protection system,,,applying finishes to vehicle composite mouldings,producing furniture and structural components for leisure vehicles,check and maintain yacht and boat lifting and support equipment,,,understand how to hand over and confirm completion of maintenance activities within food and drink operations,plan the disposal of explosive substances and/or articles (complex)
42,,,prepare and produce quotations for mechanical fire protection systems,,,repairing and refurbishing commercial and passenger carrying vehicles,producing replacement components for maintenance activities,prepare vessel for rigging and de-rigging,,,carry out fault diagnosis on engineered systems within food and drink operations,plan the disposal of explosive substances and/or articles (non-complex)
43,,,design systems for mechanical fire protection,,,restoring motorsport mechanical components to usable condition by repair,leading welding and fabrication activities,inspect and maintain yacht rigging,,,understand how to carry out fault diagnosis on engineered systems within food and drink operations,manage tasks for the disposal of explosive substances and/or articles
