,131,121,137,60,138,85,64,56,91,74,70,23,21,13,111,38,41,20,45,68,16,124,98,113,5,115,33,47,44,25,29,125,132,82,30,43,80,28,106,32,118,136,112,139,105,57,79,129,127,71,96,46,97,48,76,50,117,53,90,18,51,69,134,26,54,123,63,87,39,22,84,52,59,135,65,67,126,108,31,24,122,99,81,128,35,34,15,107,55,94,40,61,101,109,116,49,6
lenght,3,3,4,5,6,5,9,10,4,4,3,7,4,17,7,16,9,38,8,18,7,16,15,3,4,4,6,5,4,5,7,6,3,5,7,3,6,9,6,6,8,5,33,22,8,72,19,22,21,5,8,77,5,28,13,3,9,18,3,4,84,71,6,23,33,12,30,5,13,35,7,3,26,12,3,47,9,6,7,137,13,10,3,130,16,132,15,5,5,24,33,106,117,3,8,3,14
avg dist,0.056,0.15,0.191,0.198,0.202,0.226,0.248,0.251,0.262,0.301,0.321,0.345,0.347,0.35,0.367,0.37,0.398,0.402,0.412,0.418,0.42,0.421,0.432,0.433,0.441,0.441,0.442,0.446,0.447,0.453,0.462,0.469,0.472,0.473,0.474,0.476,0.482,0.486,0.487,0.487,0.494,0.508,0.51,0.511,0.525,0.53,0.532,0.536,0.54,0.543,0.55,0.552,0.553,0.555,0.561,0.562,0.564,0.573,0.581,0.585,0.59,0.591,0.593,0.594,0.596,0.597,0.597,0.605,0.606,0.606,0.608,0.608,0.614,0.616,0.618,0.621,0.624,0.625,0.626,0.629,0.63,0.631,0.645,0.645,0.647,0.648,0.649,0.649,0.658,0.66,0.665,0.673,0.676,0.683,0.685,0.709,0.718
0,assisting in the preparation of docks and slips for vessel operations,contribute to the handling of incidents and resources in the utilities sector,plan the route and timings for the delivery and collection of explosive substances and articles by road,drilling and finishing holes in composite and/or metallic aircraft structures or components,positioning and securing aircraft access structures,supervise the blasting operation,carrying out the application of surface treatments on composite mouldings,assembling components for experimental vehicle engineering by manual torch brazing and soldering,investigate explosives-related safety incidents,providing technical guidance on aeronautical engineering activities,preparing sand for moulding and coremaking,vacuum forming aircraft components,maintaining rotor systems on rotorcraft,"install domestic gas cookers, tumble dryers and leisure appliances",carry out complex sampling operations,"rectify and modify mechanical systems, equipment and components",assembling structural steelwork,"identify faults in plumbing systems, equipment and components",installing aircraft mechanical fasteners into composite and/or metallic components,repairing airframes and structures,establish customer requirements for a mechanical fire protection system,install metal decking and edge trims,carry out the research strategy and analyse the information collected on explosive substances and/or articles,"accept, verify and store materials required for process operations",specify methods and procedures to reduce risk on electricity network assets,support learners by coaching in the workplace,carrying out maintenance on marine pantry and galley equipment,disconnecting and removing marine electrical and electronic equipment,assembling large transformer and inductor cores,build prototype(s) of selected design(s) for complex explosive articles,contribute to the handover of production activities,commission assets on the electricity network,service and repair wheels and tracks on land-based equipment,locate and avoid supply apparatus in non routine operations for gas network construction,use engineering drawings and documents in maintenance activities in food and drink operations,assembling and fitting commutators,working in low risk confined spaces,carry out condition monitoring of plant and equipment used within food and drink operations,manage continuous improvement in activities for explosive substances and articles,handle refrigerants,allocate and check work in your team ,assisting in mooring and berthing operations,prepare materials for processing according to instructions,"lift, transfer and position explosive substances and/or articles loads",solve explosives process problems,apply core land-based engineering principles: thermal joining processes,producing aeronautical electrical engineering drawings using computer aided techniques,manage stock levels and stock inventories of explosive substances and/or articles,contribute to safe working practices in bus/coach engineering and maintenance,manufacturing vehicle components by resin casting,assess the suitability of explosives facilities,producing aircraft detail assemblies,work effectively in a team involved in activities for explosive substances and/or articles,carry out routine servicing procedures on polymer process plant and equipment,identify and analyse the factors applicable to the explosive article design specification,maintaining propeller/propulsor systems on aircraft,manage your own resources ,constructing the floor of a leisure vehicle,contribute to efficiency in the workplace,monitor and solve customer service problems,assist in the installation of equipment to produce an engineered system in food and drink operations,moulding acrylic aircraft components,elevate and track camera dollies,overhaul and repair engines on land-based equipment,maintain awareness of driving conditions,develop and implement assurance systems for explosives safety,bending and forming aircraft components,assess the configuration of metered areas,overhauling marine electrical power generation and distribution equipment and systems,prepare to carry out air tightness testing ,contribute to preparations for engineering surveying operations,couple and uncouple the vehicle,marking out composite and/or metallic aircraft components,carrying out preparations for rigging activities,prepare and treat surfaces and apply paint coats to bus/coach body panels and components,applying aircraft paint finishes by hand,maintain and develop own technical and operational engineering expertise related to electricity network assets,monitoring and analysing data from semiconductor processes,comply with statutory regulations and organisational safety requirements in food and drink operations,reinstating the work area on completion of activities,plan polymer process activities,analyse and identify aggregated hazards and risks for explosives,prepare resources for pipe jointing activities,unit 3 – obtain and communicate information in the rail engineering industry,carrying out maintenance of aircrew protective helmets and electrical headsets,carry out the maintenance of treatment processing plant and equipment,oversee the work environment,evaluate the effectiveness of specified targets search operations,conduct inspections of buses/coaches,plan munition clearance and search operations and programmes,service and repair electrical systems on land-based equipment,cutting and shaping aircraft components,create the complex specification for explosive substances and/or articles,processing electronic components within the manufacturing system,develop and maintain effective working relationships,solar thermal/photovoltaic panels post installation activities ,work safely in the land-based engineering work area
1,prepare docks and slips for the receiving of boats and yachts,contribute to developing and maintaining positive caller relationships in the utilities sector,obtain information on the destination and schedule of the explosive load by rail,drilling and finishing holes in aircraft components,dismantling and removing aircraft access structures,charge blast holes to specification,heat treating materials for fabrication activities,joining materials by manual torch brazing and soldering,contribute to the investigation of explosives safety incidents,providing technical advice and guidance on continuing airworthiness certification activities,making sand moulds and cores for casting,removing and replacing components of aircraft pneumatic and vacuum systems,maintaining rotor drive systems on rotorcraft,install gas fired ducted air heaters and appliances,carry out testing operations,modifying airframes,erecting structural steelwork,"rectify faults in plumbing systems, equipment and components",assembling structures for experimental vehicle engineering using mechanical fasteners,repairing aircraft composite mouldings,prepare and produce quotations for mechanical fire protection systems,install studs by stud welding,carry out investigations and analyse the information collected on explosive substances and/or articles,"unit 9: accept, verify and store materials required",specify risk reduction methods and procedures,support learners by mentoring in the workplace,installing marine pantry and galley equipment and services,disconnecting and removing marine mechanical equipment,winding transformer and inductor coils,build prototype(s) of selected design(s) for explosive articles,provide relevant people with technical and functional information,de-commission assets on the electricity network,lay basic flat track,reinstate excavation and pavement surfaces in site operations gas network construction,understand how to use engineering drawings and documents in maintenance activities in food and drink operations,cutting and forming materials to produce hovercraft skirts ,working in medium risk confined spaces,understand how to carry out condition monitoring of plant and equipment used within food and drink operations,contribute to the improvement of routine working practices,service and repair land-based air-conditioning/refrigeration systems,provide leadership for your team,carrying out manual splicing of wire and fibre ropes,prepare to start up a machine-based production process,escort the explosive substances and articles load,resolve explosives operational problems,complete thermal joining of bus/coach components,producing aeronautical electronic engineering drawings using computer aided techniques,audit stock levels and stock inventories for explosive substances and/or articles,use hand tools and equipment in bus/coach engineering and maintenance,manually casting components,define explosives facilities requirement,producing composite and/or metallic aircraft sub-assemblies,make presentations on explosives matters,assisting in the installation of electrical/electronic equipment in yachts and boats,generate design options for explosive articles,installing marine power transmission systems and equipment,develop your competence in working with munitions or specified targets,constructing the walls and roof of a leisure vehicle,organize own work and maintain standards,deliver customer care in land-based engineering,understand how to assist in the installation of equipment to produce an engineered system in food and drink operations,producing aircraft components by plastic injection moulding,rig camera dollies,carrying out test bed runs on aircraft engines (uninstalled),operate the vehicle systems,producing technical details for aeronautical engineering activities,fitting pipework systems to commercial and passenger carrying vehicles,work safely,installing marine weapons equipment and systems,"carry out air tightness testing on large and complex, high rise and phased hand over zonal buildings",determine and manage control and protection resources for utilities network construction ,service and repair braking systems on land-based equipment,marking out components for experimental vehicle engineering,carrying out maintenance on rigging and lifting equipment,preparing vehicle body surfaces for finishing,applying aircraft paint finishes by spray guns,configure electricity networks to asset owner's requirements,adjusting and sustaining semiconductor processes,understand how to comply with statutory regulations and organisational safety requirements in food and drink operations,carrying out routine servicing of aircraft,unit 38: plan polymer process activities within polymer processing and related operations,shut down the explosives process,join materials by electrofusion processes for site operations in gas network construction,working in a rail engineering environment,carrying out maintenance of aircrew protective clothing,contribute to the maintenance of plant and equipment in food and drink operations,organise the working environment,develop and update explosives standard operating procedure/s,inspecting motorsport components by penetrant flaw detection techniques,assist in searching for specified targets,installing aircraft cableforms/looms,cutting and shaping soft furnishing materials,carry out small scale processing for explosive substances and/or articles,checking the compliance of electronic components,contribute to the efficiency and effectiveness of work,identify solar thermal/photovoltaic installation requirements,service and repair mechanical transmission assemblies on land-based equipment
2,preparing docks and slips for vessel operations,solve problems for telephone callers in the utilities sector,obtain information on the destination and schedule of the explosive load by sea,producing holes using drilling machines,positioning and securing marine access structures,blast to specification,heat treating materials for fabrication activities,carrying out manual torch brazing and soldering of marine pipework,investigate incidents relating to electricity network assets,providing technical guidance to others,producing and preparing sand moulds and cores for casting,"overhauling components of aircraft pneumatic, vacuum and environmental equipment",maintaining rotor blade and tail pylon folding systems on rotorcraft,maintain gas fired ducted air heaters and appliances,unit 22: carry out simple sampling operations within polymer processing and related operations,modifying aircraft mechanical systems,assisting in the assembly of marine steelwork components,"identify and rectify faults in cooling systems, equipment and components",assembling components using mechanical fasteners,carrying out repairs to aircraft composite mouldings,design systems for mechanical fire protection,obtain the resources to carry out work on electricity network assets,contribute to carrying out investigations and analysing the information collected on explosive substances and/or articles,"receive, store and handle processing chemicals, reagents and other consumables",carrying out the application of signature reduction coverings,support learners by mentoring in the rail engineering workplace,maintaining marine pantry and galley equipment and services,assisting in the disconnection and removal of yacht and boat electrical/electronic equipment,assembling transformers and inductors,making vehicle trim prototypes and patterns,hand over and confirm completion of maintenance activities within food and drink operations,manage commissioning and handover of plant and equipment in food manufacture,lay complex track,excavate and maintain holes and trenches for utilities network construction,read and extract information from service drawings and specifications for food and drink operations,producing hovercraft skirt assemblies,working in high risk confined spaces,monitoring aeronautical engineering activities,unit 25: contribute to the improvement of routine working practices within polymer processing and related operations,installing marine refrigeration and air conditioning equipment,lead the work of teams and individuals to achieve their objective,moor and berth boats and yachts,start up and maintain a machine-based production process,obtain information on explosive substances and articles load,rectify process problems,assembling components for experimental vehicle engineering by resistance spot welding,producing aeronautical mechanical engineering drawings using computer aided techniques,carry out stock checks of explosive substances and/or articles,carry out basic vehicle repairs in bus/coach engineering and maintenance,fettling cast components,ensure explosives facilities are fit for purpose,producing composite and/or metallic aircraft major assemblies,provide technical or safety advice and/or guidance to others on explosives,assisting in the installation of ancillary equipment in yachts and boats,evaluate design options for explosive articles,overhauling marine power transmission systems,manage your own resources and professional development ,"assembling a leisure vehicle chassis, floor and running gear",contribute to health and safety in the blasting workplace,establish customer technical requirements for buses/coaches,assist in the installation of engineering services equipment used in food and drink operations,producing aircraft composite mouldings using pre-preg laminating techniques,rig car mounts in or on vehicles,overhauling aircraft gas turbine engines by module replacement,drive the vehicle on public roads  ,implementing aeronautical engineering activities,forming pipework for motorsport vehicles,work safely,"setting to work, testing and trialling marine electrical power generation and distribution equipment and systems",prepare building for air tightness testing,create an efficient and effective work environment for site operations on gas network construction,rig tracking  cars and trailers,using hand fitting techniques to produce components for experimental vehicle engineering,checking rigging and lifting equipment,flattening and polishing vehicle bodies,"applying transfers, decals and livery to aircraft",determine the requirements for operations and maintenance of electricity network assets,selecting and preparing materials and components for manufacturing,work in engineering food and drink operations ,installing aircraft armament systems,control delivery of utility network activities against operational plans and quality requirements,supervise the shutdown of explosives processing,joint materials by butt fusion  processes in non routine operations for gas network construction,carry out maintenance on electrification and plant equipment and components,"carrying out maintenance of aircrew nuclear, biological and chemical (nbc) respirators and equipment","service and maintain mechanical systems, equipment and components",prepare to carry out work,evaluate operational processes used on electricity network assets,carrying out visual inspection of welded motorsport components or structures,contribute to removing the threat of munitions,testing aircraft cableforms/looms,loading and proving aircraft component cnc machine tool programs,design the scale-up process for explosive substances and/or articles,checking the compliance of electrical equipment,establish and maintain effective working relationships in polymer processing and related operations,produce specifications for solar thermal/photovoltaic installations,service and repair wheeled and tracked steering systems on land-based equipment
3,,,obtain information on the destination and schedule of the explosive load by air,producing and finishing holes using drilling machines,removing marine access structures,determine the blast requirements,heat treating materials for marine fabrication activities,joining materials using manual torch brazing and soldering,investigate incidents relating to engineering activities,providing technical advice and guidance on engineering or manufacturing requirements,,maintaining vacuum systems on aircraft,maintaining flight control systems on rotorcraft,install gas meters and regulators (2.5 to 16.0m3/hr),unit 23: carry out simple testing operations within polymer processing and related operations,modifying aircraft electrical systems,lining off for assembly and erection of marine steelwork and components,"identify faults in mechanical systems, equipment and components",joining fabricated components using mechanical fasteners,repairing defects in vehicle composite mouldings,install mechanical fire protection,implement work on electricity network assets,evaluate and document complex research and findings on explosive substances and/or articles,,applying signature reduction coverings,support learners by coaching in the rail engineering workplace,overhauling marine pantry and galley equipment,assisting in the disconnection and removal of yacht and boat mechanical and ancillary equipment,fitting small transformer and inductor cores,installing electrical/electronic engine/transmission control units to prototype vehicles,understand how to hand over and confirm completion of maintenance activities within food and drink operations,"commission engineering products, processes or facilities",,locate and avoid supply apparatus for utilities network construction,understand how to read and extract information from service drawings and specifications for food and drink operations ,,emergency rescue and recovery of casualties from confined spaces,"carrying out condition monitoring of mould, press tool or die equipment",unit 46: contribute to the continuous improvement of the business within polymer processing and related operations,maintaining marine refrigeration and air conditioning equipment,manage and oversee the quality of work,carrying out mooring and berthing operations,shutdown a machine-based production process,load the vehicle with explosive substances and articles,unit 47: rectify process problems within polymer processing and related operations,joining components for commercial and passenger carrying vehicles using a manual welding process,producing aeronautical engineering drawings/models using 3d computer aided techniques,maintain stock control systems for explosive substances and/or articles,carry out basic vehicle checks and servicing in bus/coach engineering and maintenance,producing cast components by manual means,conduct safety checks on explosives facilities,producing aircraft composite assemblies,assess explosives licence applications,assisting in the installation of domestic equipment in yachts and boats,design the complex explosive display,,contribute to an effective and safe working environment in the utilities sector,"finishing the floor assembly, fitting front bulkhead and part fitting services in a leisure vehicle",,improve the service provided to customers of buses/coaches,understand how to assist in the installation of engineering services equipment used in food and drink operations,trimming aircraft composite mouldings using hand tools,rig remote heads and systems,overhauling aircraft gas turbine engine compressor assemblies,drive the vehicle in restricted spaces,implementing quality assurance systems in an aeronautical engineering environment,producing pipe assemblies for motorsport vehicles,conduct an assessment of the risks in the workplace,"setting to work, testing and trialling marine weapons equipment and systems",carry out air tightness testing for single dwellings and other small buildings  ,maintain a safe and secure working environment during site operations on gas network construction,,marking out motorsport components for fabrication,carrying out the installation of rigging and lifting equipment,,stripping and removing aircraft finishes,schedule operations and maintenance activities on electricity network assets,preparing manufacturing systems equipment for operation,understand how to work in engineering food and drink operations,installing aircraft assisted escape mechanisms,determine technical requirements needed to achieve objectives in gas network construction operations,separate recoverable materials and waste produced by the explosive process,,carry out maintenance on electrification and plant assets,carrying out maintenance of aircrew life preserver equipment,"service and maintain cooling systems, equipment and components","install domestic heating systems, equipment and components",monitor and evaluate engineering processes,inspecting motorsport components by magnetic particle testing,move and transport munitions,producing aircraft wiring layouts and routeings,carrying out aircraft component cnc machine tool programming,create the specification for the design of complex explosive articles,,unit 40: establish and maintain effective working relationships within polymer processing and related operations,,service and repair land-based cutting and mowing equipment
4,,,,drilling and finishing holes in marine steelwork,setting up and securing marine access structures,design and arrange for the authorization of the blast specification,carrying out heat treatment of springs,joining marine pipework by manual torch brazing and soldering,,,,producing aircraft components by vacuum forming,,install gas meters and regulators (2.5 to 1076m3/hr),unit 34: carry out complex sampling operations within polymer processing and related operations,modifying aircraft avionics systems,outfitting marine steelwork,carry out fault diagnosis on engineered systems within food and drink operations,using mechanical fasteners to join marine sheet metal components,repairing and refurbishing commercial and passenger carrying vehicles,commission mechanical fire protection systems,determine resource requirements needed to achieve objectives in gas network construction,assess and document research and findings on explosive substances and/or articles,,,,reassembling and refitting marine mechanical equipment,dismantling and removing marine electrical equipment,,setting up and testing prototype vehicle electrical/electronic engine/transmission control units,carry out the handover and installation of land-based equipment,leading installation or commissioning activities,,reinstate excavations and surfaces during utilities network construction operations,using and interpreting engineering data and documents,,manage work in confined spaces,"installing marine lighting, alarm, detection and monitoring equipment and systems",improve the quality of engineering products or processes,overhauling marine refrigeration and air conditioning equipment,build and manage teams,carrying out manual splicing operations,select and prepare used products for processing,supervise the loading of the vehicle with explosive substances and articles by others,solve electricity network engineering problems with engineering solutions,assembling components for commercial and passenger carrying vehicles by resistance spot welding,produce detailed drawings using computer aided techniques,maintain stocks to specified levels,carry out bus/coach servicing,"fettling, finishing and checking cast components",develop and implement the explosives facility decommissioning plan,assembling aircraft transparencies,prepare and submit an explosives licence application,cutting and shaping wooden components for yachts and boats using hand tools,design the explosive display,,"evaluate and develop your own knowledge, understanding and skills in the bus/coach engineering and maintenance environment",installing the front and rear structural frames in a leisure vehicle,,,assist in the installation of instrumentation and control equipment used in food and drink operations,identifying defects in aircraft composite mouldings,rig static mounts for productions,overhauling aircraft gas turbine engine combustion assemblies,complete pre-driving preparations ,determine the requirements for engineering activities,bending and forming plate using power operated machines,prepare to undertake duties in the rail engineering industry,maintaining marine electrical power generation and distribution equipment and systems,carry out air tightness testing for non-simple buildings,install equipment for safe working on construction sites during gas network construction,,producing jig and fixture components using hand fitting techniques,check and maintain yacht and boat lifting and support equipment,,applying finishes to aircraft composite mouldings,specify methods and procedures to operate and maintain electricity network assets,monitoring and analysing data from electronic circuit manufacturing processes,apply total productive maintenance (tpm) in food and drink operations,testing installed aircraft engines,plan engineering activities for gas network construction,prepare the explosives process area and equipment,,establish the operational condition of electrification and plant assets,carrying out maintenance of aircrew inertia reels and restraint harnesses,"service industrial and commercial heating & ventilation systems, equipment and components","install plumbing systems, equipment and components",evaluate engineering risk assessments,inspecting welded components or structures for visual quality and dimensional accuracy,contribute to the movement or transportation of munitions,"producing aircraft electrical sub-assemblies, cableforms and looms",setting cnc turning machines for production of aircraft components,create the specification for the design of an explosive article,,establish and maintain effective working relationships on gas network construction sites ,,service and repair land-based harvesting and processing equipment
5,,,,,dismantling and removing access structures,,applying surface treatments,joining marine materials by manual torch brazing and soldering,,,,manufacturing vehicle components by vacuum forming,,install gas meters and regulators above 1076m3/hr,unit 35: carry out testing operations within polymer processing and related operations,modifying aircraft armament systems and components,undertake overhead line equipment main steelwork installation under direction,understand how to carry out fault diagnosis on engineered systems within food and drink operations,joining marine sheet metal components using mechanical fasteners,restoring motorsport mechanical components to usable condition by repair,handover mechanical fire protection system to customer,assist in preparing resources for electrification and plant engineering activities,develop a dissemination plan for explosive substances and/or articles,,,,setting to work and testing marine pantry and galley equipment and services,,,,"handing over and confirming the completion of mould, press tool or die equipment maintenance activities","support commissioning of plant, equipment and process in food manufacture",,,using and communicating technical information,,plan the allocation of storage space for boats and yachts ashore,"setting to work, testing and trialling marine lighting, alarm, detection and monitoring equipment and systems",conducting business improvement activities,setting to work and testing marine refrigeration and air conditioning equipment,leading a team in a continuing airworthiness environment,,prepare to produce products by hand-based operations,unload explosive substances and articles from the vehicle,rectifying aeronautical engineering problems,leading welding and fabrication activities,determining engineering software requirements,unit 10: supply materials required for process operations within polymer processing and related operations,rectify mechanical faults in bus/coach systems and components,,conduct decommissioning tasks on explosives facility,producing aircraft engine compressor assemblies,,assisting in the installation of wooden furniture/outfitting units for yachts and boats,designing electronic circuit layouts using cad tools,,"maintain and develop your knowledge, understanding and skills in the rail engineering industry",installing the side walls and associated equipment in a leisure vehicle,,,understand how to assist in the installation of instrumentation and control equipment used in food and drink operations ,setting plastic injection moulding machines for production of aircraft components,track cameras,overhauling aircraft gas turbine engine turbine assemblies,conducting and monitoring static tests on vehicles,specify methods and procedures to achieve engineering requirements,forming structural sections using machines,,overhauling and repairing marine electrical power generation and distribution equipment and systems,prepare and issue the air tightness test report  ,maintain a safe and secure working environment in utilities network construction,,marking out components for fabrication,prepare vessel for rigging and de-rigging,,spraying vehicle body surfaces,install engineering components and assets in gas network construction,adjusting and sustaining electronic circuit manufacturing processes,understand how to apply total productive maintenance (tpm) in food and drink operations ,testing aircraft power transmission systems,plan utility network construction operations,move materials within the explosives process,,assist in preventative and corrective maintenance of traction cabling systems,carrying out maintenance of aircraft multi-seat life rafts and emergency packs,"maintain industrial and commercial heating & ventilation systems, equipment and components",install weathering systems,,,enable areas cleared of munitions or specified targets to be remediated,modifying aircraft cableforms and looms,machining aircraft components using cnc turning machines,assimilate and evaluate the information on explosive substances and/or articles,,achieve effective working relationships with colleagues in bus/coach engineering and maintenance,,implement organisational procedures in land-based engineering
6,,,,,,,applying heat treatment to engineering materials,preparing brazing machines for production,,,,vacuum forming marine composite materials,,respond to reported gas upstream emergencies,take samples and measurements for quality assurance purposes,modifying aircraft avionic systems,undertake overhead line equipment small part steelwork installation under direction,carry out fault diagnosis on services and systems for food and drink operations,installing aircraft mechanical fasteners,repairing leisure vehicle composite mouldings,maintain and test the operational performance of mechanical fire protection,allocate and monitor resources for electrification and plant engineering activities,prepare the research strategy for explosive substances and/or articles,,,,,,,,hand over and confirm completion of traction and rolling stock maintenance activities,,,,using and communicating technical information,,,"maintaining marine lighting, alarm, detection and monitoring equipment and systems",,,leading mechanical manufacturing or inspection activities,,finish products,supervise the unloading of explosive substances and articles from the vehicle by others,solve engineering or manufacturing problems,leading rail welding activities,producing  engineering software design,unit 28: pick polymer stock and make up orders within polymer processing and related operations,rectify electrical faults in bus/coach systems and components,,"propose decommissioning of engineering equipment, processes or facilities",producing aircraft engine combustion assemblies,,assisting in the assembly of wooden structural components to produce yachts and boats,evaluating and recommending circuit design options,,plan for further professional development in the rail engineering industry,installing furniture and structural units in leisure vehicles,,,install ancillary systems and components in buses/coaches,producing aircraft composite mouldings using spray lay-up laminating techniques,,overhauling aircraft gas turbine engine gearbox assemblies,conducting and monitoring road tests on vehicles,schedule engineering activities ,forming pipework by machine bending,,overhauling and repairing marine communication equipment and systems,calculate the area of building envelopes,access overhead line equipment construction sites,,producing structural steel ancillary components,inspect and maintain yacht rigging,,lacquering and polishing veneered vehicle components,conduct specified testing of gas network engineering components and assets in gas network construction,,understand how to repair/overhaul instrumentation and control equipment used in food and drink operations,testing aircraft hydraulic systems,plan and organise work of self and others,prepare explosives process materials,,carry out preventative and corrective maintenance of traction cabling systems ,carrying out maintenance of aircrew personal survival packs (psp),"service and maintain ductwork systems, equipment and components","decommission plumbing systems, equipment and components",,,complete munitions or specified targets search reports,"installing, testing and modifying aircraft cableforms/looms in a mechanical structure",setting cnc milling machines for production of aircraft components,gather and interpret the information on explosive substances and/or articles,,maintain effective working relationships with colleagues in the rail engineering industry,,"service and repair land-based transport, handling and storage equipment"
7,,,,,,,finishing surfaces by applying treatments,joining materials using brazing machines,,,,,,respond to reported gas downstream emergencies,,modifying aircraft propulsion equipment and systems,install overhead line equipment main steelwork,understand how to carry out fault diagnosis on services and systems for food and drink operations,joining public service vehicle components by mechanical processes,carrying out repairs on composite mouldings,,allocate and monitor resources for signal engineering activities,prepare the research programme for explosive substances and/or articles,,,,,,,,,,,,,,,carrying out condition monitoring on marine mechanical equipment,,,leading electrical/electronic product manufacturing or testing activities ,,configure and set processing systems to meet production requirements,"maintain the safety and the security of the load, self and property",solving welding problems in production,assembling jig and fixture structures using a manual welding process,producing engineering software implementation,identify and deal with defects and discrepancies in traction and rolling stock,rectify body damage on bus/coach vehicle body components,,"plan and decommission engineering equipment, processes or facilities",producing aircraft engine turbine assemblies,,carrying out routine servicing of yacht and boat mechanical and ancillary equipment,identifying engineering design requirements of clients,,working efficiently and effectively in engineering,installing domestic equipment in leisure vehicles,,,assist in the installation of signalling equipment,producing aircraft composite mouldings using resin film infusion techniques,,overhauling aircraft piston engines,setting up motorsport vehicles,implement engineering processes,bending and forming plate using press brakes or bending machines,,overhauling and repairing marine navigational equipment and systems,initiate and progress contracts with clients to carry out air tightness testing ,,,marking out components for metalwork,preparing for rigging activities,,applying finishes to vehicle composite mouldings,conduct and commission specified connections to gas network assets,,,testing aircraft pneumatic systems,planning aeronautical engineering activities,supervise the preparation of the explosives processing operation,,carry out installation of electrification and plant equipment and components,carrying out maintenance of aircrew quick-release fasteners (qrf),maintain compressed air systems and equipment used in food and drink operations,"fit and fix cooling systems, equipment and components",,,assist with the movement and transportation of munitions,producing aircraft cableforms and looms,machining aircraft components using cnc milling machines,assess the explosive substances and/or articles for disposal,,developing working relationships in a continuing airworthiness environment,,service and repair electronic control and monitoring systems on land-based equipment
