,42,38,9,29,4,36,27,24,25,16,26,35,20,45,21,31,7,19,14,44,15,40,8,43,10,11,34,33,18,32,39,5,28,13,37,30
lenght,3,3,38,6,4,4,6,5,13,87,23,44,89,32,8,7,34,61,123,17,54,173,14,11,211,193,10,19,169,185,56,20,17,165,27,12
avg dist,0.056,0.15,0.402,0.436,0.441,0.441,0.482,0.529,0.561,0.63,0.64,0.655,0.657,0.669,0.677,0.681,0.695,0.706,0.707,0.708,0.71,0.725,0.74,0.743,0.753,0.757,0.771,0.775,0.78,0.781,0.783,0.786,0.788,0.79,0.797,0.809
0,assisting in the preparation of docks and slips for vessel operations,contribute to the handling of incidents and resources in the utilities sector,"identify faults in plumbing systems, equipment and components",supervise the blasting operation,specify methods and procedures to reduce risk on electricity network assets,support learners by coaching in the workplace,working in low risk confined spaces,obtain and return grip equipment,identify and analyse the factors applicable to the explosive article design specification,apply core land-based engineering principles: thermal joining processes,using e-mail,prepare materials for processing according to instructions,repairing airframes and structures,"lift, transfer and position explosive substances and/or articles loads",manufacturing vehicle components by resin casting,develop emergency response systems and procedures for explosives safety,"install domestic gas cookers, tumble dryers and leisure appliances",prepare and treat surfaces and apply paint coats to bus/coach body panels and components,carry out routine servicing procedures on polymer process plant and equipment,carrying out preparations for rigging activities,maintain awareness of driving conditions,manage stock levels and stock inventories of explosive substances and/or articles,provide technical support,elevate and track camera dollies,prepare to carry out air tightness testing ,carry out the maintenance of treatment processing plant and equipment,identifying and following clean room/clean work area protocols,evaluate the effectiveness of specified targets search operations,"programme, deploy and collect data from data-logging equipment",create the complex specification for explosive substances and/or articles,develop and implement assurance systems for explosives safety,work safely in the land-based engineering work area,contribute to preparations for engineering surveying operations,"rectify and modify mechanical systems, equipment and components",develop and maintain effective working relationships,assess the configuration of metered areas
1,prepare docks and slips for the receiving of boats and yachts,contribute to developing and maintaining positive caller relationships in the utilities sector,"rectify faults in plumbing systems, equipment and components",charge blast holes to specification,specify risk reduction methods and procedures,support learners by mentoring in the workplace,working in medium risk confined spaces,providing technical guidance on aeronautical engineering activities,generate design options for explosive articles,complete thermal joining of bus/coach components,it communication fundamentals,prepare to start up a machine-based production process,moulding acrylic aircraft components,escort the explosive substances and articles load,preparing sand for moulding and coremaking,investigate explosives-related safety incidents,install gas fired ducted air heaters and appliances,applying aircraft paint finishes by hand,assist in the installation of equipment to produce an engineered system in food and drink operations,carrying out maintenance on rigging and lifting equipment,operate the vehicle systems,audit stock levels and stock inventories for explosive substances and/or articles,unit 36: provide technical support within polymer processing and related operations,service and repair wheels and tracks on land-based equipment,"carry out air tightness testing on large and complex, high rise and phased hand over zonal buildings",provide leadership in your area of responsibility ,monitoring and analysing data from semiconductor processes,manage continuous improvement in activities for explosive substances and articles,marking out composite and/or metallic aircraft components,carry out the research strategy and analyse the information collected on explosive substances and/or articles,plan polymer process activities,apply core land-based engineering principles: cooling and lubrication,determine and manage control and protection resources for utilities network construction ,service and repair electrical systems on land-based equipment,manage your own resources ,contribute to efficiency in the workplace
2,preparing docks and slips for vessel operations,solve problems for telephone callers in the utilities sector,"identify and rectify faults in cooling systems, equipment and components",blast to specification,carrying out the application of signature reduction coverings,support learners by mentoring in the rail engineering workplace,working in high risk confined spaces,providing technical advice and guidance on continuing airworthiness certification activities,evaluate design options for explosive articles,conduct inspections of buses/coaches,contribute to the security of the work environment in the rail industry,start up and maintain a machine-based production process,producing aircraft components by plastic injection moulding,obtain information on explosive substances and articles load,making sand moulds and cores for casting,contribute to the investigation of explosives safety incidents,maintain gas fired ducted air heaters and appliances,applying aircraft paint finishes by spray guns,understand how to assist in the installation of equipment to produce an engineered system in food and drink operations,checking rigging and lifting equipment,drive the vehicle on public roads  ,carry out stock checks of explosive substances and/or articles,monitor and solve customer service problems,lay basic flat track,prepare building for air tightness testing,contribute to the handover of production activities,adjusting and sustaining semiconductor processes,develop and update explosives standard operating procedure/s,cutting and shaping aircraft components,carry out investigations and analyse the information collected on explosive substances and/or articles,unit 38: plan polymer process activities within polymer processing and related operations,service and repair mechanical transmission assemblies on land-based equipment,prepare resources for pipe jointing activities,installing aircraft mechanical fasteners into composite and/or metallic components,develop your competence in working with munitions or specified targets,organize own work and maintain standards
3,,,"identify faults in mechanical systems, equipment and components",deal with misfires,applying signature reduction coverings,support learners by coaching in the rail engineering workplace,emergency rescue and recovery of casualties from confined spaces,providing technical guidance to others,design the complex explosive display,assembling components for experimental vehicle engineering by resistance spot welding,producing aeronautical electrical engineering drawings using computer aided techniques,shutdown a machine-based production process,producing aircraft composite mouldings using pre-preg laminating techniques,plan the route and timings for the delivery and collection of explosive substances and articles by road,manually casting components,"meet safety, health and environmental requirements in the workplace for the polymer industry",install gas meters and regulators (2.5 to 16.0m3/hr),"applying transfers, decals and livery to aircraft",assist in the installation of engineering services equipment used in food and drink operations,assisting in mooring and berthing operations,drive the vehicle in restricted spaces,maintain stock control systems for explosive substances and/or articles,install and commission communication systems for smart meters,lay complex track,carry out air tightness testing for single dwellings and other small buildings  ,contribute to the maintenance of plant and equipment in food and drink operations,selecting and preparing materials and components for manufacturing,solve explosives process problems,bending and forming aircraft components,contribute to carrying out investigations and analysing the information collected on explosive substances and/or articles,control delivery of utility network activities against operational plans and quality requirements,service and repair wheeled and tracked steering systems on land-based equipment,create an efficient and effective work environment for site operations on gas network construction,producing aircraft detail assemblies,manage your own resources and professional development ,produce profiles of rock faces and landforms
4,,,carry out fault diagnosis on engineered systems within food and drink operations,determine the blast requirements,,,manage work in confined spaces,providing technical advice and guidance on engineering or manufacturing requirements,design the explosive display,assembling components for experimental vehicle engineering by manual torch brazing and soldering,producing aeronautical electronic engineering drawings using computer aided techniques,select and prepare used products for processing,trimming aircraft composite mouldings using hand tools,obtain information on the destination and schedule of the explosive load by rail,fettling cast components,investigate incidents relating to electricity network assets,install gas meters and regulators (2.5 to 1076m3/hr),stripping and removing aircraft finishes,understand how to assist in the installation of engineering services equipment used in food and drink operations,carrying out manual splicing of wire and fibre ropes,couple and uncouple the vehicle,maintain stocks to specified levels,deliver customer care in land-based engineering,rig camera cranes and jib arms,carry out air tightness testing for non-simple buildings,provide relevant people with technical and functional information,preparing manufacturing systems equipment for operation,resolve explosives operational problems,cutting and shaping soft furnishing materials,evaluate and document complex research and findings on explosive substances and/or articles,install metal decking and edge trims,service and repair land-based cutting and mowing equipment,maintain a safe and secure working environment during site operations on gas network construction,producing composite and/or metallic aircraft sub-assemblies,allocate and check work in your team ,contribute to health and safety in the blasting workplace
5,,,understand how to carry out fault diagnosis on engineered systems within food and drink operations,design and arrange for the authorization of the blast specification,,,plan the allocation of storage space for boats and yachts ashore,,designing electronic circuit layouts using cad tools,joining components for commercial and passenger carrying vehicles using a manual welding process,producing aeronautical mechanical engineering drawings using computer aided techniques,prepare to produce products by hand-based operations,identifying defects in aircraft composite mouldings,obtain information on the destination and schedule of the explosive load by sea,producing and preparing sand moulds and cores for casting,monitor and respond to alarms on utility networks and assets,install gas meters and regulators above 1076m3/hr,applying finishes to aircraft composite mouldings,assist in the installation of instrumentation and control equipment used in food and drink operations,carrying out the installation of rigging and lifting equipment,complete pre-driving preparations ,unit 10: supply materials required for process operations within polymer processing and related operations,establish customer technical requirements for buses/coaches,rig camera dollies,prepare and issue the air tightness test report  ,"service and maintain mechanical systems, equipment and components",monitoring and analysing data from electronic circuit manufacturing processes,contribute to the improvement of routine working practices,drilling and finishing holes in composite and/or metallic aircraft structures or components,assess and document research and findings on explosive substances and/or articles,install studs by stud welding,service and repair land-based harvesting and processing equipment,install equipment for safe working on construction sites during gas network construction,producing composite and/or metallic aircraft major assemblies,provide leadership for your team,"receive, store and issue explosive materials"
6,,,carry out fault diagnosis on services and systems for food and drink operations,,,,,,evaluating and recommending circuit design options,assembling components for commercial and passenger carrying vehicles by resistance spot welding,producing aeronautical engineering drawings/models using 3d computer aided techniques,finish products,repairing aircraft composite mouldings,obtain information on the destination and schedule of the explosive load by air,producing cast components by manual means,investigate incidents relating to engineering activities,respond to reported gas upstream emergencies,preparing vehicle body surfaces for finishing,understand how to assist in the installation of instrumentation and control equipment used in food and drink operations ,moor and berth boats and yachts,service and repair braking systems on land-based equipment,unit 28: pick polymer stock and make up orders within polymer processing and related operations,improve the service provided to customers of buses/coaches,rig car mounts in or on vehicles,calculate the area of building envelopes,"service and maintain cooling systems, equipment and components",adjusting and sustaining electronic circuit manufacturing processes,rectify process problems,loading and proving aircraft component cnc machine tool programs,develop a dissemination plan for explosive substances and/or articles,maintain and develop own technical and operational engineering expertise related to electricity network assets,"service and repair land-based soil preparation, cultivation and plant establishment equipment",locate and avoid supply apparatus in non routine operations for gas network construction,modifying airframes,lead the work of teams and individuals to achieve their objective,receive and handle explosive materials on-site
7,,,understand how to carry out fault diagnosis on services and systems for food and drink operations,,,,,,identifying engineering design requirements of clients,inspecting motorsport components by penetrant flaw detection techniques,produce detailed drawings using computer aided techniques,configure and set processing systems to meet production requirements,setting plastic injection moulding machines for production of aircraft components,load the vehicle with explosive substances and articles,"fettling, finishing and checking cast components",,respond to reported gas downstream emergencies,spraying vehicle body surfaces,install ancillary systems and components in buses/coaches,check and maintain yacht and boat lifting and support equipment,rig tracking  cars and trailers,contribute to safe working practices in bus/coach engineering and maintenance,establish customer requirements for a mechanical fire protection system,rig remote heads and systems,initiate and progress contracts with clients to carry out air tightness testing ,"service industrial and commercial heating & ventilation systems, equipment and components",processing electronic components within the manufacturing system,unit 25: contribute to the improvement of routine working practices within polymer processing and related operations,carrying out aircraft component cnc machine tool programming,carry out small scale processing for explosive substances and/or articles,commission assets on the electricity network,implement organisational procedures in land-based engineering,reinstate excavation and pavement surfaces in site operations gas network construction,modifying aircraft mechanical systems,contribute to the efficiency and effectiveness of work,work safely
