,Top skills extracted,Corresponding top clusters,Suite size
It and telecoms,Management; Business analysis; Cost; Business process; Make decision; Guide others; Compliance; Storage; Systems development; Change management; Database; Information security; Schedule; Catalogue; Systems design; Acquisition; Software development; Training; Adoption; Installation,Business management; Business analysis and it projects; It support; Employee development; Bi and data warehousing; Procurement; Software development; Claims administration; Hr management; Electronics; Recruitment; Audit and compliance; Design and process engineering; Mainframe programming; Electrical work; Financial asset management; Shipping and warehouse operations; Archiving and libraries; It security operations; Networks,271
Clinical health skills,Management; Anatomy; Physiology; Corporate governance; External link; Instruction; Storage; Parameter; Therapy; Risk assessment; Informed consent; History; Medical device; Record keeping; Infection control; Promote; Treatment planning; Prescription; Collection; Fault,Physiotherapy and beauty; Languages; Audit and compliance; Business management; Respiratory disease; Phlebotomy; Social work and caregiving; Mental health; Office administration; Data engineering; Claims administration; Shipping and warehouse operations; Biotechnology manufacturing; Dermatology; Driving and automotive maintenance; Recruitment; Clinical research; Marketing strategy and branding; Critical care; Tissue culture,221
Aeronautical engineering suite 3,Management; Risk assessment; Aviation; Civil aviation authority; Aviation safety; Civil aviation; Civil; Instruction; Military aviation; Mod; Calibration; Compliance; Iso; Fault; Repair; Lock; Storage; Schedule; Voltage; Transformer,"Aviation; Electrical work; Electrical engineering; Construction; Driving and automotive maintenance; Audit and compliance; Languages; Data engineering; Manufacturing methods; Business management; Welding and machining; Claims administration; Hr management; Heating, ventilation and plumbing; Electronics; Shipping and warehouse operations; Animation; Networks; Oil and gas extraction; It support",193
Explosive substances and articles,Explosive; Compliance; Storage; Management; Instruction; Transport; Risk assessment; Cost; Packaging; Trial; Peer review; Consumables; Inspection; Contingency plan; Fault; Database; Record keeping; Tolerance; Schedule; Parameter,Structural engineering; Driving and automotive maintenance; Shipping and warehouse operations; Hr management; Audit and compliance; Business management; Claims administration; Procurement; Manufacturing methods; Research methods and statistics; Languages; Clinical research; Mainframe programming; Electronics; Supply chain management; Employee development; Office administration; Electrical work; Data engineering; Accounting admin,187
Retail,Sales; Instruction; Merchandising; Visual merchandising; Storage; Promote; Cost; Floor; Cleaning; Training; Transaction; Visual design; Visual effect; Food; Comment; Packaging; Schedule; Sort; Food safety; Sorting,General sales; Retail; Shipping and warehouse operations; Claims administration; Construction; Driving and automotive maintenance; Employee development; Marketing strategy and branding; Languages; Graphic and digital design; Procurement; Office administration; Social work and caregiving; Animation; Retail management; Accounting admin; Journalism and writing; Manufacturing methods; Welding and machining; Mainframe programming,164
Marine engineering suite 3,Risk assessment; Iso; Iso standard; Compliance; Fault; First aid; Craft; Cable; Adhesive; Cleanliness; Consumables; Permit; Sealant; Inspection; Calibration; Interpret drawing; Installation; Schedule; Cleaning; Coupling,"Construction; Welding and machining; Languages; Electrical engineering; Audit and compliance; Driving and automotive maintenance; Electrical work; Hr management; Heating, ventilation and plumbing; It security standards; Extracurricular activities and childcare; Oil and gas extraction; Manufacturing methods; Social work and caregiving; Critical care; Mainframe programming; Health, safety and environment; Data engineering; Accounting admin; Animation",148
Health and social care,Make decision; Mental health; Learning disability; Trauma; Promote; Human development; Condition dementia; Management; Risk assessment; Risk management; Initiative; Disciplinary procedure; Age; Fear; Instruction; Child development; Training; Life support; People work; Cleanliness,Mental health; Social work and caregiving; Business management; Surgery; Marketing strategy and branding; Research methods and statistics; Languages; Audit and compliance; Office administration; Financial asset management; Retail management; Employee development; Hr management; Digital marketing; Recruitment; Teaching; Claims administration; Driving and automotive maintenance; Phlebotomy; Critical care,139
Supply chain management,Food; Transport; Management; Supply chain; Compliance; Logistics; Freight; Supply chain management; Storage; Instruction; Livestock; Food safety; Schedule; Welfare; Cost; Benchmarking; Cleaning; Financial analysis; Sort; Unload,"Languages; Driving and automotive maintenance; Procurement; Shipping and warehouse operations; Hr management; Business management; Supply chain management; Retail management; Claims administration; Environmental planning; Office administration; Electrical work; Logistics administration; Accounting and financial management; Social work and caregiving; General sales; Manufacturing methods; Employee development; Health, safety and environment; Business analysis and it projects",130
Equine,Welfare; Instruction; Training; Cleaning; Promote; Age; Training programme; Vaccination; Management; Storage; Anatomy; Psychology; Physiology; Crop; Collection; Inspection; Ride horse; Food; Livestock; Season,Hr management; Claims administration; Employee development; Driving and automotive maintenance; Social work and caregiving; Physiotherapy and beauty; Languages; Marketing strategy and branding; Environmental planning; Business management; Screening and immunisation; Extracurricular activities and childcare; Shipping and warehouse operations; Archiving and libraries; Mental health; Teaching; Respiratory disease; Oil and gas extraction; General practice; Phlebotomy,129
General healthcare,Promote; Management; Corporate governance; Sort; Listen; Storage; Transport; Instruction; Infection control; Cost; Make decision; Information governance; Collection; Learning style; Rehabilitation; Fault; Transporting; Acting; Training; Initiative,Audit and compliance; Business management; Office administration; Driving and automotive maintenance; Marketing strategy and branding; Social work and caregiving; Recruitment; Employee development; Languages; Physiotherapy and beauty; Hr management; Mainframe programming; Procurement; Shipping and warehouse operations; Teaching; Claims administration; Phlebotomy; Archiving and libraries; Supply chain management; Clinical information systems,118
