,index,URN,NOS Title,correct_exact_matches
0,-identify-and-develop-potential-partnerships-for-working-in-the-food-and-drink-supply-chain-impbg401.pdf,IMPBG401,Identify and develop potential partnerships for working in the food and drink supply chain,Mapping; Food; Cost; Timeline; Supply chain
1,-managing-process-condition-g257information-in-downstream-operations-cogdo16.pdf,COGDO16,Managing process condition information in downstream operations,Permit; Book; Parameter; Instruction; Mass balance; Scanning; Schedule
2,acquire-content-material-for-editorial-use-sksj17.pdf,SKSJ17,Acquire content material for editorial use,Proof; Grammar; Editing; Blogging; Structure text; Spelling; Caption; Compliance; Social medium; Search engine optimisation; Tell a story; Content management
3,administer-emergency-and-critical-nursing-care-to-veterinary-patients-lanrvn10.pdf,LANRVN10,Administer emergency and critical nursing care to veterinary patients,Management; Instruction; Food; Infection control; Nursing; Animal specie; Welfare
4,administer-emergency-first-aid-lanrvn12.pdf,LANRVN12,Administer emergency first aid and assist with the provision of emergency treatment to veterinary patients,Hair; Infection control; First aid; Biopsy; Fault; Test equipment; Schedule
5,adminster-medication-to-veterinary-patients--lanrvn24.pdf,LANRVN24,Adminster medication to veterinary patients,Surgery; Surgical procedure; Sterility; Surgical instrument; Hand hygiene; Anatomy
6,admit-and-discharge-veterinary-patients-lanrvn7.pdf,LANRVN7,Admit and discharge veterinary patients,Management; Therapy; Infection control; Sample collection; Welfare
7,advise-a-potential-client-on-a-post-production-project-skspp02.pdf,SKSPP02,Advise a potential client on a post production project,Cost; Workflow; Storage
8,advise-and-guide-your-organisation-on-compliance-matters-fspcomp9.pdf,FSPCOMP9,Advise and guide your organisation on compliance matters,Management; Training; Compliance
9,advise-on-rectification-of-quality-issues-related-to-wood-or-wood-based-materials-prowt9.pdf,PROWT9,Advise on rectification of quality issues related to wood or wood-based materials,Sustainability; Adhesive; Panel; Environmental issue; Machinery; Weathering; Storage; Fault; Treat wood; Scheme
10,advise-on-selection-and-application-of-wood-or-wood-based-materials-prowt8.pdf,PROWT8,Advise on selection and application of wood or wood-based materials,Machinery; Retail setting; Weathering; Wholesale; Storage; React
11,advise-production-from-a-post-production-perspective-skspp01.pdf,SKSPP01,Advise production from a post production perspective,Production process; Cost; Workflow; Capture; Transcoding; Schedule
